a-dc1,a-dc2,a-dc3,a-dc4,a-dc5,a-dc6,a-dc7,a-dc8,b-dc1,b-dc2,b-dc3,b-dc4,b-dc5,b-dc6,b-dc7,b-dc8,condition
1054.0,239.0,55.55,19.05,1070.0,211.1,52.46,14.0,199.4,65.07,21.15,8.36,372.5,122.1,43.27,18.18,0
1043.0,234.8,54.49,18.71,1068.0,210.2,52.59,14.07,198.7,65.41,21.53,8.529,370.8,121.1,42.96,17.91,0
1044.0,236.5,54.32,18.78,1069.0,210.7,53.46,14.22,199.3,65.53,21.6,8.664,368.4,120.4,42.58,17.77,0
1040.0,233.5,52.95,18.15,1075.0,210.9,52.96,14.13,207.6,65.92,21.99,8.832,364.8,118.7,41.85,17.29,0
1041.0,233.3,54.47,18.21,1073.0,211.0,53.2,14.27,200.8,65.48,21.83,8.854,362.0,117.7,41.38,17.16,0
1049.0,234.7,54.68,18.3,1075.0,212.7,52.98,14.31,204.6,65.72,22.05,8.924,363.1,117.9,41.64,17.29,0
1053.0,236.9,54.23,18.36,1082.0,213.3,53.43,14.34,199.3,66.41,22.07,8.936,363.8,118.6,41.85,17.36,0
1057.0,237.9,54.51,18.47,1082.0,213.1,52.94,14.26,201.4,65.83,22.04,8.947,366.1,119.3,42.1,17.51,0
1062.0,239.3,55.23,18.63,1087.0,214.0,53.2,14.27,200.5,65.88,21.92,8.899,366.9,119.8,42.27,17.69,0
1068.0,240.5,54.43,18.75,1086.0,213.7,53.94,14.27,197.6,65.86,21.79,8.868,368.4,120.6,42.62,17.84,0
1082.0,242.9,55.75,19.09,1085.0,214.1,53.81,14.3,197.9,65.68,21.75,8.839,371.0,121.8,42.93,18.08,0
1095.0,245.7,57.0,19.36,1098.0,215.6,53.99,14.3,196.7,65.94,21.75,8.815,372.9,122.5,43.22,18.05,0
1069.0,239.2,56.04,18.68,1083.0,213.6,53.4,14.23,202.1,65.09,21.61,8.741,368.5,120.9,42.67,17.77,0
1068.0,239.9,55.68,18.61,1082.0,212.8,53.64,14.24,195.5,65.52,21.63,8.8,367.7,120.7,42.54,17.71,0
1073.0,241.4,55.23,18.74,1080.0,212.6,53.44,14.36,202.4,65.7,21.77,8.831,369.4,121.5,42.89,17.93,0
1079.0,239.9,55.56,18.56,1083.0,213.2,53.11,14.23,199.6,66.19,21.93,8.835,370.4,121.3,42.56,17.65,0
1048.0,234.9,52.26,18.12,1074.0,211.4,53.39,14.23,197.0,65.65,21.74,8.793,365.6,119.7,41.94,17.35,0
1042.0,232.1,53.37,17.91,1073.0,211.0,53.28,14.25,199.4,66.25,21.97,8.896,365.6,119.2,41.78,17.32,0
1046.0,232.5,53.09,17.83,1072.0,209.7,53.54,14.17,195.5,65.72,21.91,8.949,362.1,118.1,41.28,17.0,0
