A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
1262.000,367.000,104.300,33.460,1241.000,352.600,103.600,32.070,245.500,71.880,24.580,8.174,380.500,110.500,37.560,13.390,baseline
1267.000,367.600,104.500,33.680,1243.000,353.000,103.500,32.120,244.300,72.040,24.670,8.182,382.200,111.200,37.840,13.440,baseline
1270.000,368.400,105.000,33.660,1245.000,353.100,103.600,32.110,245.900,72.380,24.730,8.227,383.000,111.200,37.830,13.410,baseline
1267.000,367.100,103.900,33.330,1239.000,352.000,103.100,31.970,245.300,72.140,24.580,8.155,377.500,110.100,37.250,13.220,baseline
1262.000,364.700,103.500,33.080,1238.000,351.900,102.900,32.010,246.500,71.840,24.650,8.143,375.700,108.700,37.060,13.120,baseline
1256.000,365.700,103.600,33.100,1234.000,351.000,103.000,32.000,243.500,71.650,24.580,8.173,375.600,108.900,37.070,13.100,baseline
1249.000,364.900,103.500,33.070,1237.000,350.800,103.000,32.000,243.700,71.960,24.610,8.172,374.500,109.300,37.230,13.160,baseline
1258.000,364.300,103.800,33.260,1239.000,351.900,103.200,32.110,245.600,71.930,24.680,8.173,375.800,109.400,37.430,13.200,baseline
1263.000,365.100,103.700,33.330,1244.000,352.900,103.200,32.150,244.500,72.020,24.810,8.210,378.300,109.900,37.460,13.320,baseline
1267.000,366.200,104.400,33.480,1243.000,353.500,103.800,32.250,245.100,72.540,24.820,8.201,379.800,110.900,37.780,13.390,baseline
1271.000,367.800,104.900,33.620,1245.000,354.600,103.900,32.330,246.500,72.530,24.890,8.283,381.200,111.400,37.960,13.530,baseline
1274.000,370.400,105.500,33.770,1254.000,354.000,104.000,32.260,247.700,72.910,25.000,8.314,382.200,110.900,37.740,13.390,baseline
1273.000,367.100,104.400,33.510,1249.000,353.900,103.800,32.260,246.800,72.480,24.780,8.216,376.000,109.900,37.250,13.190,baseline
