Subject:	S202
Project:	glassroutes
Time:	2015-01-19_15-28-37

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
222	55736.375	1981.276	0;baselinestart;1421699335567;	0	baselinestart	1421699335567	
576	55766.320	2011.292	0;baselineend;1421699365571;	0	baselineend	1421699365571	
582	55766.819	2011.795	16;hardstart;1421699366073	16	hardstart	1421699366073	
942	55797.417	2042.337	16;hard;1421699396594	16	hard	1421699396594	
948	55797.863	2042.842	10;passed;1421699397094	10	passed	1421699397094	
1096	55810.428	2055.382	16;hardstart;1421699409595	16	hardstart	1421699409595	
1455	55840.901	2085.860	16;hard;1421699440114	16	hard	1421699440114	
1461	55841.362	2086.343	10;passed;1421699440615	10	passed	1421699440615	
1609	55853.962	2098.924	15;easystart;1421699453116	15	easystart	1421699453116	
1968	55884.393	2129.382	15;easy;1421699483637	15	easy	1421699483637	
1974	55884.877	2129.866	10;passed;1421699484138	10	passed	1421699484138	
2122	55897.371	2142.426	15;easystart;1421699496639	15	easystart	1421699496639	
2482	55927.946	2172.947	15;easy;1421699527160	15	easy	1421699527160	
2488	55928.472	2173.450	10;passed;1421699527661	10	passed	1421699527661	
2635	55940.950	2185.948	16;hardstart;1421699540162	16	hardstart	1421699540162	
2995	55971.494	2216.469	16;hard;1421699570682	16	hard	1421699570682	
3001	55971.934	2216.953	10;passed;1421699571183	10	passed	1421699571183	
3148	55984.385	2229.450	15;easystart;1421699583684	15	easystart	1421699583684	
3508	56014.933	2259.990	15;easy;1421699614201	15	easy	1421699614201	
3514	56015.547	2260.474	10;passed;1421699614702	10	passed	1421699614702	
3661	56027.911	2272.973	15;easystart;1421699627202	15	easystart	1421699627202	
4022	56058.569	2303.577	15;easy;1421699657723	15	easy	1421699657723	
4027	56058.976	2304.017	10;passed;1421699658224	10	passed	1421699658224	
4175	56071.538	2316.558	15;easystart;1421699670724	15	easystart	1421699670724	
4535	56102.072	2347.077	15;easy;1421699701243	15	easy	1421699701243	
4540	56102.467	2347.519	10;passed;1421699701744	10	passed	1421699701744	
4688	56114.978	2360.059	16;hardstart;1421699714244	16	hardstart	1421699714244	
5048	56145.519	2390.580	16;hard;1421699744763	16	hard	1421699744763	
5053	56146.026	2391.041	10;passed;1421699745264	10	passed	1421699745264	
5201	56158.553	2403.582	15;easystart;1421699757764	15	easystart	1421699757764	
5560	56189.008	2434.017	15;easy;1421699788285	15	easy	1421699788285	
5567	56189.575	2434.627	10;passed;1421699788787	10	passed	1421699788787	
5714	56202.054	2447.083	16;hardstart;1421699801287	16	hardstart	1421699801287	
6074	56232.566	2477.603	16;hard;1421699831805	16	hard	1421699831805	
6080	56233.118	2478.149	10;passed;1421699832306	10	passed	1421699832306	
6375	56258.066	2503.166	15;easystart;1421699857306	15	easystart	1421699857306	
6735	56288.616	2533.687	15;easy;1421699887828	15	easy	1421699887828	
6741	56289.145	2534.191	10;passed;1421699888329	10	passed	1421699888329	
6887	56301.596	2546.604	16;hardstart;1421699900829	16	hardstart	1421699900829	
7248	56332.114	2577.209	16;hard;1421699931345	16	hard	1421699931345	
7254	56332.616	2577.691	10;passed;1421699931846	10	passed	1421699931846	
7401	56345.130	2590.190	16;hardstart;1421699944346	16	hardstart	1421699944346	
7761	56375.631	2620.711	16;hard;1421699974866	16	hard	1421699974866	
7767	56376.177	2621.257	10;passed;1421699975367	10	passed	1421699975367	
7915	56388.618	2633.775	15;easystart;1421699987868	15	easystart	1421699987868	
8274	56419.102	2664.211	15;easy;1421700018387	15	easy	1421700018387	
8281	56419.770	2664.841	10;passed;1421700018888	10	passed	1421700018888	
8428	56432.193	2677.298	15;easystart;1421700031388	15	easystart	1421700031388	
8788	56462.772	2707.819	15;easy;1421700061907	15	easy	1421700061907	
8793	56463.133	2708.259	10;passed;1421700062409	10	passed	1421700062409	
8941	56475.691	2720.799	16;hardstart;1421700074909	16	hardstart	1421700074909	
9301	56506.205	2751.319	16;hard;1421700105429	16	hard	1421700105429	
9306	56506.668	2751.781	10;passed;1421700105931	10	passed	1421700105931	
9454	56519.212	2764.299	16;hardstart;1421700118432	16	hardstart	1421700118432	
9814	56549.706	2794.820	16;hard;1421700148954	16	hard	1421700148954	
9820	56550.210	2795.367	10;passed;1421700149454	10	passed	1421700149454	
9966	56562.677	2807.739	15;easystart;1421700161954	15	easystart	1421700161954	
10327	56593.296	2838.385	15;easy;1421700192472	15	easy	1421700192472	
10334	56593.810	2838.952	10;passed;1421700192972	10	passed	1421700192972	
10481	56606.201	2851.407	15;easystart;1421700205474	15	easystart	1421700205474	
10841	56636.826	2881.970	15;easy;1421700235991	15	easy	1421700235991	
10846	56637.303	2882.391	10;passed;1421700236492	10	passed	1421700236492	
10993	56649.725	2894.846	15;easystart;1421700248994	15	easystart	1421700248994	
11354	56680.315	2925.472	15;easy;1421700279515	15	easy	1421700279515	
11360	56680.840	2925.975	10;passed;1421700280016	10	passed	1421700280016	
11655	56705.870	2951.014	15;easystart;1421700305017	15	easystart	1421700305017	
12015	56736.326	2981.533	15;easy;1421700335540	15	easy	1421700335540	
12020	56736.824	2981.975	10;passed;1421700336041	10	passed	1421700336041	
12168	56749.398	2994.515	16;hardstart;1421700348541	16	hardstart	1421700348541	
12528	56779.885	3025.036	16;hard;1421700379064	16	hard	1421700379064	
12682	56792.936	3038.101	15;easystart;1421700392066	15	easystart	1421700392066	
13041	56823.356	3068.557	15;easy;1421700422583	15	easy	1421700422583	
13046	56823.883	3068.999	10;passed;1421700423084	10	passed	1421700423084	
13195	56836.476	3081.622	16;hardstart;1421700435586	16	hardstart	1421700435586	
13555	56866.969	3112.122	16;hard;1421700466105	16	hard	1421700466105	
13560	56867.432	3112.584	10;passed;1421700466606	10	passed	1421700466606	
13708	56879.991	3125.125	16;hardstart;1421700479107	16	hardstart	1421700479107	
14068	56910.458	3155.686	16;hard;1421700509627	16	hard	1421700509627	
14074	56910.965	3156.191	10;passed;1421700510128	10	passed	1421700510128	
14221	56923.365	3168.646	16;hardstart;1421700522629	16	hardstart	1421700522629	
14581	56953.942	3199.188	16;hard;1421700553147	16	hard	1421700553147	
14587	56954.521	3199.692	10;passed;1421700553648	10	passed	1421700553648	
14735	56967.036	3212.231	15;easystart;1421700566148	15	easystart	1421700566148	
15094	56997.549	3242.710	15;easy;1421700596668	15	easy	1421700596668	
15101	56998.078	3243.277	10;passed;1421700597169	10	passed	1421700597169	
15247	57010.447	3255.649	16;hardstart;1421700609669	16	hardstart	1421700609669	
15607	57040.977	3286.212	16;hard;1421700640187	16	hard	1421700640187	
15613	57041.492	3286.716	10;passed;1421700640687	10	passed	1421700640687	
15760	57053.986	3299.213	16;hardstart;1421700653188	16	hardstart	1421700653188	
16292	57099.073	3344.311	50;startClassifying;1421700698214;	50	startClassifying	1421700698214	
16293	57189.991	3344.395	50;startClassifying;1421700709212;	50	startClassifying	1421700709212	
16294	57190.007	3344.479	50;startClassifying;1421700710713;	50	startClassifying	1421700710713	
16295	57190.011	3344.541	50;startClassifying;1421700721711;	50	startClassifying	1421700721711	
16296	57190.026	3344.646	50;startClassifying;1421700723212;	50	startClassifying	1421700723212	
16657	57217.784	3463.031	h;100.0;0.0	h	100.0	0.0	
