Subject:	S203
Project:	glassroutes
Time:	2015-01-20_13-37-11

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
49031.404	0	2714.748	0	2049.000	409.400	65.830	16.290	1804.000	337.800	48.770	8.605	196.800	32.370	6.581	2.216	357.300	73.750	16.950	6.494	
49031.572	0	2714.832	0	2058.000	411.200	65.500	16.410	1815.000	338.700	47.760	8.618	197.600	32.410	6.674	2.209	359.800	74.470	17.140	6.580	
49031.684	0	2714.916	0	2064.000	416.500	65.980	16.620	1801.000	339.000	48.380	8.473	200.300	32.550	6.655	2.214	358.400	74.190	16.790	6.439	
49031.798	0	2715.042	0	2039.000	407.300	64.140	16.020	1805.000	337.000	48.020	8.468	198.200	32.480	6.498	2.208	353.900	73.420	16.710	6.387	
49031.909	0	2715.126	0	2036.000	407.700	64.360	15.920	1811.000	335.800	48.040	8.486	196.300	32.380	6.578	2.202	354.900	73.620	16.720	6.381	
49031.922	0	2715.209	0	2019.000	408.900	64.830	16.060	1791.000	337.800	47.680	8.417	196.100	32.410	6.633	2.209	354.400	73.320	16.890	6.459	
49032.027	0	2715.272	0	2034.000	406.000	65.150	16.130	1796.000	333.700	47.580	8.496	196.800	32.200	6.523	2.199	353.700	73.750	16.750	6.424	
49032.140	0	2715.356	0	2034.000	411.400	64.450	16.260	1794.000	337.100	47.960	8.483	195.900	32.310	6.559	2.184	355.500	73.700	16.780	6.463	
49032.153	0	2715.440	0	2055.000	414.400	64.600	16.150	1813.000	338.700	47.900	8.561	196.300	32.220	6.595	2.211	358.500	74.400	16.860	6.525	
49032.258	0	2715.525	0	2053.000	411.800	65.840	16.470	1811.000	339.300	48.120	8.590	196.400	32.170	6.662	2.230	360.600	75.110	17.320	6.678	
49032.336	0	2715.609	0	2085.000	412.900	65.930	16.530	1829.000	340.000	48.090	8.545	198.100	32.600	6.621	2.238	362.100	75.220	17.370	6.582	
49032.377	0	2715.693	0	2080.000	418.900	65.720	16.220	1827.000	338.200	47.270	8.480	199.800	32.350	6.634	2.233	359.100	74.150	16.850	6.459	
49032.475	0	2715.777	0	2061.000	407.000	65.080	16.120	1821.000	336.800	47.720	8.493	197.600	32.010	6.519	2.183	353.100	74.100	16.790	6.401	
49032.591	0	2715.861	0	2056.000	405.300	64.670	15.880	1822.000	334.400	48.120	8.518	197.000	32.010	6.555	2.190	352.600	73.010	16.670	6.319	
49032.690	0	2715.924	0	2043.000	406.200	64.480	16.020	1820.000	337.100	47.970	8.489	197.600	31.860	6.572	2.168	352.200	73.280	16.710	6.396	
49032.790	0	2716.029	0	2044.000	406.900	64.480	15.940	1810.000	338.200	48.140	8.408	196.300	31.980	6.547	2.189	351.300	73.120	16.730	6.364	
49032.803	0	2716.092	0	2049.000	403.900	64.630	16.060	1813.000	336.100	47.600	8.577	192.900	31.890	6.602	2.179	351.000	73.230	16.720	6.390	
49032.908	0	2716.176	0	2066.000	404.700	65.410	16.180	1829.000	335.900	48.320	8.498	194.500	31.900	6.565	2.190	353.300	73.500	16.950	6.407	
49033.015	0	2716.302	0	2055.000	409.700	64.630	16.280	1826.000	339.200	48.010	8.522	197.100	32.180	6.579	2.187	356.500	73.860	16.930	6.406	
49033.115	0	2716.387	0	2048.000	412.400	66.160	16.290	1829.000	335.200	48.010	8.475	196.200	32.320	6.586	2.193	354.400	73.510	16.860	6.309	
49033.231	0	2716.471	0	2047.000	405.900	63.510	15.900	1813.000	333.900	47.740	8.370	197.000	31.910	6.495	2.168	350.000	72.020	16.400	6.253	
49033.336	0	2716.555	0	2004.000	401.600	64.180	15.850	1818.000	335.400	47.870	8.411	193.500	31.810	6.516	2.164	348.500	72.000	16.410	6.237	
49033.349	0	2716.638	0	2005.000	402.900	63.900	15.990	1810.000	336.200	47.880	8.482	195.200	31.910	6.459	2.152	348.900	72.100	16.320	6.278	
49033.454	0	2716.722	0	2024.000	401.600	63.840	15.760	1801.000	335.100	47.630	8.453	193.500	31.840	6.412	2.130	348.100	72.180	16.330	6.210	
49033.550	0	2716.785	0	2014.000	400.900	64.380	15.920	1793.000	335.400	47.500	8.428	194.000	31.670	6.440	2.152	348.500	71.960	16.520	6.257	
49033.651	0	2716.890	0	2019.000	401.400	63.980	16.200	1813.000	337.500	47.650	8.523	193.400	31.840	6.459	2.169	349.100	72.690	16.520	6.357	
49033.664	0	2716.953	0	2024.000	404.400	64.190	16.110	1799.000	336.500	47.780	8.521	195.300	31.860	6.518	2.192	352.400	72.820	16.580	6.401	
49033.769	0	2717.037	0	2018.000	407.100	64.200	16.190	1803.000	336.700	48.260	8.555	196.100	32.080	6.555	2.165	354.000	72.900	16.710	6.346	
49033.881	0	2717.121	0	2030.000	402.000	64.000	15.960	1805.000	336.600	47.300	8.381	196.900	31.840	6.426	2.170	346.900	71.540	16.380	6.209	
49033.988	0	2717.205	0	1987.000	396.900	63.260	15.620	1794.000	333.400	47.650	8.419	192.500	31.510	6.392	2.136	344.800	71.590	16.170	6.125	
49034.000	0	2717.289	0	2002.000	398.100	62.990	15.760	1801.000	334.800	47.790	8.513	194.500	31.540	6.420	2.143	346.000	71.930	16.250	6.216	
49034.092	0	2717.373	0	2013.000	399.100	63.310	15.860	1789.000	333.100	48.220	8.526	193.300	31.560	6.424	2.142	345.600	71.460	16.200	6.165	
49034.197	0	2717.500	0	2016.000	397.800	64.400	15.740	1797.000	333.700	47.950	8.471	195.700	31.480	6.438	2.148	345.300	71.270	16.290	6.176	
49034.285	0	2717.563	0	1995.000	397.000	64.480	15.820	1796.000	334.600	47.560	8.478	193.400	31.580	6.427	2.135	346.700	72.050	16.350	6.232	
49034.299	0	2717.647	0	2010.000	403.700	63.770	15.900	1802.000	336.600	47.840	8.491	195.100	31.650	6.475	2.139	349.800	72.500	16.450	6.283	
49034.447	0	2717.752	0	1998.000	401.000	64.810	16.050	1804.000	336.800	47.610	8.550	194.800	31.810	6.495	2.161	349.000	72.510	16.430	6.214	
49034.460	0	2717.815	0	1990.000	398.600	63.050	15.620	1789.000	333.400	47.980	8.443	190.600	31.550	6.423	2.143	344.200	71.080	16.050	6.138	
49034.636	0	2717.899	0	1989.000	391.400	63.190	15.490	1784.000	332.200	47.980	8.446	193.400	31.590	6.388	2.128	342.200	70.920	16.100	6.134	
49034.732	0	2717.983	0	1987.000	394.700	62.790	15.630	1792.000	333.700	47.500	8.485	195.900	31.620	6.369	2.157	343.100	70.870	16.130	6.135	
49034.745	0	2718.067	0	2002.000	396.900	63.400	15.760	1800.000	334.800	47.400	8.499	192.300	31.530	6.426	2.164	343.000	70.580	16.160	6.122	
49034.864	0	2718.150	0	1991.000	395.600	63.190	15.660	1793.000	334.000	47.210	8.518	193.000	31.590	6.450	2.155	342.600	71.000	16.120	6.142	
49034.966	0	2718.234	0	1997.000	401.200	63.740	15.860	1779.000	335.200	48.280	8.514	194.600	31.690	6.416	2.173	344.300	71.480	16.140	6.200	
49035.066	0	2718.318	0	2000.000	396.900	64.410	15.770	1793.000	336.800	48.050	8.510	197.200	31.750	6.467	2.164	347.300	71.580	16.330	6.180	
49035.179	0	2718.402	0	2009.000	403.800	63.540	15.770	1787.000	335.100	47.900	8.408	194.700	31.840	6.439	2.162	344.700	70.430	16.090	6.182	
49035.192	0	2718.465	0	1981.000	396.000	62.680	15.450	1792.000	335.100	47.860	8.390	194.100	31.490	6.462	2.132	341.500	70.000	15.920	6.069	
49035.301	0	2718.571	0	1965.000	396.900	62.200	15.570	1784.000	337.400	47.540	8.494	190.500	31.510	6.433	2.141	338.100	69.450	15.780	6.025	
49035.413	0	2718.676	0	1992.000	394.700	63.030	15.290	1793.000	333.400	47.630	8.544	195.700	31.270	6.372	2.155	338.900	68.920	15.800	6.008	
49035.525	0	2718.760	0	1975.000	395.600	62.560	15.620	1776.000	333.600	47.690	8.579	190.900	31.390	6.447	2.149	336.200	69.180	15.890	6.030	
49035.537	0	2718.844	0	1977.000	390.400	62.600	15.590	1782.000	334.100	47.460	8.572	192.300	31.680	6.471	2.173	340.300	69.880	15.930	6.102	
49035.640	0	2718.928	0	1981.000	395.200	63.680	15.610	1793.000	335.900	48.280	8.553	196.300	31.680	6.543	2.167	342.600	70.710	16.180	6.112	
49035.741	0	2719.012	0	1982.000	398.900	63.820	15.830	1791.000	335.400	48.010	8.542	195.600	31.970	6.494	2.195	344.900	71.130	16.230	6.163	
49035.841	0	2719.096	0	2000.000	400.900	64.430	15.850	1784.000	338.000	48.000	8.556	196.900	32.050	6.537	2.170	344.900	70.490	15.890	6.115	
49035.906	0	2719.179	0	1974.000	392.500	62.080	15.680	1791.000	335.100	48.130	8.466	194.100	31.810	6.518	2.155	340.700	69.500	15.740	6.051	
49035.918	0	2719.263	0	1951.000	392.600	61.980	15.360	1797.000	336.100	47.720	8.509	194.800	31.790	6.486	2.168	338.000	69.180	15.740	5.959	
49036.024	0	2719.326	0	1961.000	392.800	61.670	15.190	1784.000	335.700	48.450	8.514	194.900	31.700	6.483	2.151	339.300	68.830	15.740	6.026	
49036.129	0	2719.431	0	1964.000	392.300	62.150	15.470	1800.000	336.400	47.550	8.573	194.400	31.650	6.505	2.157	338.700	69.770	15.830	6.000	
49036.241	0	2719.494	0	1968.000	390.900	62.000	15.400	1792.000	337.700	48.060	8.458	193.800	31.500	6.469	2.150	340.900	69.670	15.930	6.053	
49036.313	0	2719.578	0	1973.000	396.000	62.180	15.460	1793.000	335.700	48.590	8.506	193.400	31.870	6.496	2.178	342.000	70.430	15.880	6.122	
49036.325	0	2719.663	0	1985.000	400.100	63.140	15.490	1797.000	338.300	48.340	8.585	193.500	31.770	6.555	2.155	343.900	70.490	16.160	6.175	
49036.388	0	2719.747	0	2001.000	402.900	63.660	15.620	1805.000	339.600	48.780	8.623	196.500	31.830	6.530	2.180	345.900	71.200	16.260	6.235	
49036.551	0	2719.872	0	2016.000	403.200	63.940	15.710	1799.000	336.700	48.260	8.496	195.000	32.050	6.569	2.197	347.300	70.970	16.220	6.167	
49036.652	0	2719.956	0	1981.000	398.600	62.420	15.370	1796.000	337.300	47.780	8.504	196.300	31.820	6.572	2.168	344.100	71.510	16.030	6.164	
49036.753	0	2720.040	0	1979.000	394.600	61.670	15.410	1793.000	336.000	48.190	8.572	198.300	32.180	6.567	2.184	345.900	70.930	16.030	6.132	
49036.853	0	2720.103	0	1990.000	394.000	62.080	15.340	1806.000	335.800	47.750	8.670	200.400	32.000	6.633	2.199	345.300	70.810	15.970	6.189	
49036.865	0	2720.187	0	1992.000	393.700	62.150	15.420	1803.000	339.200	48.430	8.562	200.000	32.120	6.586	2.199	344.300	70.660	16.080	6.133	
49036.992	0	2720.292	0	1982.000	398.200	62.490	15.700	1812.000	337.100	48.300	8.601	197.100	32.150	6.596	2.202	345.500	71.150	16.230	6.231	
49037.005	0	2720.355	0	1985.000	398.000	62.810	15.470	1805.000	338.500	47.900	8.600	200.100	32.310	6.620	2.209	347.400	71.610	16.460	6.234	
49037.179	0	2720.439	0	2014.000	405.500	63.950	15.740	1806.000	340.700	48.630	8.580	197.500	32.490	6.591	2.209	349.800	72.280	16.360	6.285	
49037.276	0	2720.523	0	2010.000	398.500	63.310	15.760	1797.000	339.700	48.400	8.711	198.700	32.590	6.734	2.225	352.700	73.200	16.540	6.375	
49037.288	0	2720.607	0	2026.000	403.700	63.730	15.820	1808.000	341.000	48.940	8.620	199.500	32.520	6.682	2.252	355.100	73.450	16.650	6.408	
49037.388	0	2720.692	0	2023.000	409.400	64.500	15.870	1823.000	337.300	48.260	8.639	200.900	32.630	6.689	2.245	357.900	74.140	16.910	6.447	
49037.489	0	2720.776	0	2032.000	407.700	62.860	15.790	1805.000	339.900	47.960	8.533	198.300	32.750	6.650	2.246	354.400	73.230	16.350	6.296	
49037.589	0	2720.860	0	2010.000	401.300	63.340	15.520	1815.000	337.600	47.800	8.557	200.800	32.730	6.625	2.214	351.700	72.670	16.440	6.269	
49037.692	0	2720.944	0	2007.000	403.000	63.180	15.630	1802.000	338.300	47.850	8.663	200.200	32.390	6.676	2.206	352.400	72.320	16.510	6.254	
49037.792	0	2721.049	0	2020.000	402.400	63.590	15.790	1819.000	341.200	48.470	8.571	199.600	32.660	6.635	2.188	353.000	72.020	16.360	6.255	
49037.856	0	2721.154	0	2027.000	403.800	63.700	15.740	1814.000	341.300	48.390	8.589	198.500	32.550	6.658	2.218	352.800	72.770	16.510	6.329	
49037.868	0	2721.217	0	2036.000	405.100	63.440	15.790	1806.000	338.300	48.480	8.644	199.000	32.610	6.729	2.228	353.600	73.260	16.600	6.391	
49037.996	0	2721.300	0	2044.000	411.400	64.180	15.750	1819.000	341.200	48.740	8.667	200.500	32.370	6.662	2.260	358.800	74.080	16.810	6.466	
49038.098	0	2721.384	0	2041.000	408.100	64.590	16.080	1816.000	342.400	48.730	8.659	201.200	32.650	6.671	2.243	358.800	74.440	16.890	6.482	
49038.198	0	2721.468	0	2052.000	411.800	64.600	16.210	1822.000	341.600	48.800	8.695	199.100	32.870	6.721	2.233	361.800	75.050	17.030	6.516	
49038.299	0	2721.552	0	2049.000	410.600	64.930	16.100	1836.000	341.600	48.810	8.664	203.200	32.850	6.699	2.260	360.300	74.200	16.840	6.391	
49038.371	0	2721.636	0	2044.000	410.900	63.480	15.600	1823.000	340.600	48.470	8.590	200.800	32.810	6.648	2.236	357.000	73.690	16.610	6.421	
49038.412	0	2721.720	0	2029.000	407.700	63.430	15.730	1806.000	339.800	48.550	8.559	199.300	32.670	6.615	2.217	355.900	74.100	16.800	6.362	
49038.508	0	2721.784	0	2019.000	404.200	64.200	15.850	1812.000	341.400	48.800	8.591	200.300	32.750	6.673	2.250	357.300	74.380	16.690	6.445	
49038.609	0	2721.868	0	2007.000	409.100	63.990	15.740	1807.000	340.400	48.330	8.556	198.500	32.930	6.681	2.240	358.100	73.780	16.910	6.402	
49038.709	0	2721.973	0	2035.000	409.200	63.470	15.930	1820.000	339.400	48.680	8.544	201.000	32.700	6.771	2.230	358.600	74.130	16.800	6.463	
49038.722	0	2722.036	0	2058.000	410.700	64.550	16.120	1813.000	342.100	48.750	8.673	198.400	32.720	6.712	2.233	361.500	74.640	16.940	6.458	
49038.832	0	2722.120	0	2056.000	413.300	64.660	15.990	1818.000	341.700	48.250	8.583	200.400	33.060	6.686	2.240	362.300	74.960	17.240	6.556	
49038.932	0	2722.204	0	2050.000	411.700	65.370	16.110	1823.000	341.800	48.710	8.661	201.600	32.860	6.777	2.276	365.400	76.140	17.190	6.584	
49039.027	0	2722.330	0	2052.000	407.500	64.730	15.900	1821.000	341.200	47.980	8.493	201.900	32.840	6.709	2.244	359.200	74.180	16.840	6.398	
49039.143	0	2722.414	0	2032.000	409.400	63.060	15.660	1819.000	336.600	48.000	8.519	202.400	32.710	6.708	2.204	357.800	74.390	16.870	6.375	
49039.255	0	2722.498	0	2036.000	406.500	63.440	15.750	1828.000	338.300	48.230	8.538	199.000	32.730	6.663	2.227	358.000	74.130	16.760	6.420	
49039.357	0	2722.582	0	2043.000	407.100	63.610	15.770	1811.000	341.300	48.080	8.454	203.400	32.580	6.627	2.214	357.300	73.520	16.730	6.386	
49039.369	0	2722.646	0	2026.000	399.800	64.070	15.890	1823.000	339.200	48.190	8.508	200.700	32.850	6.681	2.209	357.300	73.990	16.900	6.443	
49039.479	0	2722.728	0	2026.000	405.100	63.810	15.790	1817.000	340.800	48.430	8.566	201.600	32.730	6.671	2.231	359.800	74.440	16.850	6.483	
49039.594	0	2722.834	0	2044.000	404.900	64.760	15.880	1810.000	341.800	48.340	8.529	203.800	32.740	6.734	2.241	362.700	74.890	17.190	6.532	
49039.607	0	2722.897	0	2038.000	406.200	64.460	15.910	1810.000	341.100	48.910	8.573	199.900	32.970	6.696	2.220	364.200	75.930	17.350	6.625	
49039.714	0	2722.981	0	2050.000	410.500	64.050	16.130	1828.000	338.700	47.950	8.465	201.900	33.110	6.719	2.249	364.500	75.540	17.170	6.527	
49039.826	0	2723.065	0	2043.000	406.400	63.200	15.570	1799.000	337.200	47.660	8.398	201.100	32.660	6.688	2.222	360.800	74.310	16.970	6.384	
