S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
-0.14982,-0.24018,-0.27212,-0.28185,0.14944,0.16036,0.27135,0.31804,-0.13651,-0.10183,-0.0055996,-0.070295,-0.30515,-0.31352,-0.22226,-0.2651,-0.011027,-0.017777,-0.019809,-0.020639,0.0090855,0.010008,0.022149,0.026829,-0.0011982,-0.0019751,-0.00071195,-0.0043383,-0.018947,-0.021931,-0.020253,-0.0238,15
0.23327,0.28207,0.29961,0.29525,0.080138,0.10695,0.13797,0.093611,0.30886,0.22206,0.20887,0.1828,0.38872,0.28448,0.2644,0.21949,0.0052498,0.0068982,0.010538,0.013215,0.00062482,-0.00073971,-0.0050361,-0.0051013,0.0071844,-8.0774e-005,-0.0048687,-0.0075894,0.028538,0.018291,0.0097,0.0032244,15
0.17609,0.22263,0.25428,0.27401,0.13699,0.16535,0.20446,0.13535,0.49779,0.42513,0.4469,0.4194,0.3278,0.35159,0.41475,0.47102,0.0031075,0.003915,0.006969,0.010384,0.0051937,0.0025725,-0.0064365,-0.010068,0.01699,0.011912,0.0094912,0.0048384,0.022476,0.02722,0.029141,0.031942,15
0.18474,0.2291,0.27188,0.30283,0.048929,0.07409,0.1356,0.098837,-0.066286,-0.12082,-0.1446,-0.17007,0.37951,0.35795,0.32627,0.33795,0.0068642,0.006524,0.0086556,0.01161,0.0027685,0.001876,0.00024893,-0.0019783,-0.013524,-0.018196,-0.021387,-0.025607,0.025526,0.029609,0.028473,0.031757,15
-0.081031,0.017094,0.14972,0.2122,-0.022427,-0.042132,-0.13591,-0.21767,0.056162,0.091472,0.021176,0.012192,0.16342,0.020876,-0.16825,-0.27464,-0.01258,-0.0098819,-0.0030197,-0.00020957,-0.0029479,-0.0068908,-0.02031,-0.023193,-0.016005,-0.011418,-0.014468,-0.015966,-0.0080258,-0.01225,-0.017269,-0.019597,15
0.19298,0.33619,0.4083,0.44668,0.037465,0.089666,0.14035,0.044795,0.35102,0.25773,0.26918,0.24433,0.66785,0.5393,0.41532,0.37993,-0.0064682,-0.0010449,0.0035931,0.0052781,-0.0036752,-0.0039063,-0.008237,-0.0089276,0.0021595,-0.00036715,0.00058902,-0.0025025,0.016423,0.0098357,0.006491,0.0060836,15
-0.56087,-0.27494,-0.06271,0.014936,-0.098602,-0.048904,0.18642,0.31567,0.18797,0.04011,-0.10647,-0.19404,0.60286,-0.050504,-0.47369,-0.70905,-0.047085,-0.036005,-0.023608,-0.016432,-0.0069228,-0.0071252,-0.00013526,0.010826,-0.0087964,-0.014829,-0.023566,-0.028705,0.014831,-0.021769,-0.042926,-0.052834,15
0.12226,0.23654,0.31119,0.34435,0.037132,0.083959,0.16173,0.13176,0.3264,0.22868,0.21389,0.22697,0.61229,0.44867,0.29716,0.23591,-0.0059898,-0.00062174,0.005993,0.011205,5.9911e-005,8.7011e-005,0.00023353,-0.00061702,0.0075673,0.00023884,-0.0044672,-0.004673,0.03898,0.028301,0.017096,0.014239,15
0.155,0.168,0.15841,0.14739,0.067088,0.088549,0.082215,0.051387,0.18598,0.18279,0.25524,0.2963,0.065666,-0.0020059,0.027758,0.017093,-0.0039341,-0.0057868,-0.0069953,-0.0079146,0.0018932,0.0020636,-0.00039744,-0.0017729,0.0050485,0.0031121,0.0037857,0.0053547,-0.0015975,-0.0032772,-0.0019438,-0.00052741,15
0.23369,0.2701,0.29281,0.32355,0.14755,0.17057,0.2218,0.12161,0.13758,0.16386,0.2031,0.20812,0.152,0.21398,0.24335,0.27801,0.004302,0.0035084,0.0039443,0.0049104,0.0066942,0.0067173,0.005968,0.0001143,-0.0026721,0.00080209,0.0021598,0.0013929,-0.0062969,0.0015378,0.0060324,0.010891,15
