S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.12678,0.15368,0.15069,0.125,0.21809,0.26543,0.28557,0.25172,0.050688,0.073438,0.16765,0.095839,-0.013202,-0.014295,-0.018607,-0.042165,0.0025602,0.003225,0.0017758,-0.00074047,0.0068814,0.0054765,0.0054101,0.0036198,-0.0078866,-0.0053714,-0.0041211,-0.0094406,-0.0076487,-0.0079574,-0.0083994,-0.010245,15
0.34974,0.3219,0.29915,0.29448,0.22127,0.28857,0.33782,0.30514,0.16389,0.16234,0.17033,0.11896,0.20351,0.2111,0.18134,0.17442,0.014406,0.013051,0.010049,0.0085922,0.0084495,0.011976,0.013613,0.011733,0.00065703,0.00076718,-0.0012885,-0.0065621,0.0059205,0.0072702,0.0056719,0.0042177,15
0.25564,0.26505,0.2218,0.19185,0.01531,0.15362,0.1085,0.063214,-0.064667,-0.024107,-0.28932,-0.37889,0.075798,0.11094,0.079976,0.079785,-0.0045178,-0.0031611,-0.0064512,-0.01083,-0.012855,-0.0072135,-0.01556,-0.017253,-0.02182,-0.019242,-0.032604,-0.047531,-0.013366,-0.0095423,-0.0090033,-0.010481,15
0.2491,0.33933,0.29735,0.30356,-0.15744,0.19082,0.12276,0.10363,-0.17545,-0.21155,-0.36588,-0.50748,0.15204,0.09676,0.11748,0.11992,0.0099949,0.013583,0.012189,0.012378,-0.0061223,0.0074642,0.0036386,0.0018904,-0.0035982,-0.0082141,-0.013322,-0.024108,0.0083496,0.005656,0.0081865,0.0073053,15
-0.66452,-0.60956,-0.66653,-0.75292,-0.3886,-0.34579,-0.47542,-0.45469,-0.19245,-0.2371,-0.080205,0.00035789,-0.70798,-0.71606,-0.70912,-0.72973,-0.04222,-0.039451,-0.040018,-0.04398,-0.021663,-0.022487,-0.028155,-0.026834,-0.0012963,-0.0064643,0.0054081,0.014355,-0.034493,-0.03522,-0.034308,-0.035883,15
0.41041,0.35661,0.37616,0.38675,0.70068,0.55408,0.69455,0.69769,0.50509,0.44847,0.72649,0.91226,0.32439,0.32401,0.33372,0.37924,0.025841,0.024466,0.022605,0.021619,0.035956,0.032776,0.039343,0.039268,0.028213,0.022815,0.03354,0.044644,0.023702,0.023917,0.022622,0.024347,15
0.15231,0.10361,0.13563,0.14954,0.3258,0.1974,0.28709,0.32043,0.29882,0.37071,0.45861,0.52863,0.16949,0.18234,0.19746,0.208,0.006693,0.0037351,0.0024266,0.002007,0.02083,0.01255,0.015701,0.018963,0.010035,0.014779,0.017694,0.019607,0.0022893,0.0043294,0.0050925,0.0059168,15
0.2346,0.22905,0.19665,0.17686,0.10678,0.22264,0.29871,0.29732,-0.06954,0.14877,0.092288,-0.027491,0.13222,0.08981,0.070631,0.056239,-0.00086393,-0.00087019,-0.0065799,-0.010753,-0.0069393,0.0017642,0.0038375,0.0056733,-0.021931,-0.0054738,-0.014966,-0.025404,-0.0086704,-0.010332,-0.01064,-0.01243,15
0.1523,0.16382,0.17017,0.16691,-0.070719,-0.050797,-0.18218,-0.23199,0.3359,0.12435,0.25604,0.39227,0.20506,0.19971,0.22058,0.2369,-0.016301,-0.014202,-0.018358,-0.023125,-0.017863,-0.015993,-0.026834,-0.02801,-0.0035429,-0.0089111,-0.011293,-0.011966,-0.011989,-0.010337,-0.009956,-0.011058,15
0.12895,0.14559,0.15016,0.16707,0.37881,0.3485,0.45073,0.46925,0.27817,0.34601,0.46704,0.51145,0.17759,0.12826,0.10476,0.10628,0.0062441,0.0076328,0.0059863,0.0045868,0.022736,0.021167,0.027153,0.02708,0.0056524,0.013263,0.015513,0.013815,0.0067468,0.0052045,0.004699,0.0049133,15
0.3114,0.29866,0.3223,0.34574,-0.22586,-0.025082,0.032876,0.052737,-0.30897,0.072495,0.098855,0.03091,0.19887,0.23401,0.25749,0.27627,0.0024415,-0.00026508,0.00028288,0.00016419,-0.01436,-0.017826,-0.023013,-0.026551,-0.033232,-0.018039,-0.026169,-0.035506,-0.0015615,0.0014865,0.0029885,0.0025316,15
-0.28492,-0.24258,-0.30069,-0.35553,-0.30628,-0.15892,-0.22932,-0.20459,0.096678,-0.014979,0.1363,0.28931,-0.30136,-0.34653,-0.37367,-0.37965,-0.020519,-0.018468,-0.021297,-0.025663,-0.013269,-0.010874,-0.015519,-0.016115,0.011304,0.0030372,0.01672,0.02751,-0.021649,-0.021928,-0.021228,-0.021239,15
