Channel1,Channel2
0063,0000
0095,0003
0038,0004
0075,0001
0079,0000
0119,0000
0061,0000
0043,0009
0063,0000
0093,0000
0037,0012
0038,0001
0063,0000
0063,0000
0044,0000
0063,0003
0075,0005
0031,0011
0052,0007
0039,0000
0031,0006
0029,0000
0031,0001
0055,0000
0031,0002
0063,0000
0043,0000
0063,0002
0095,0007
0079,0000
0063,0001
0042,0000
0047,0017
0026,0002
0044,0000
0077,0002
0044,0008
0029,0003
0039,0006
0038,0009
0031,0005
0078,0003
0076,0003
0055,0000
0030,0000
0063,0012
0031,0001
0063,0000
0039,0000
0063,0002
0047,0000
0027,0000
0063,0000
0079,0001
0031,0015
0063,0026
0022,0000
0095,0016
0062,0003
0046,0000
0054,0001
0055,0003
0060,0000
0039,0000
0079,0000
0031,0000
0045,0000
0055,0027
0029,0000
0063,0003
0054,0000
0063,0002
0039,0000
0063,0004
0039,0000
0063,0000
0111,0000
0052,0004
0026,0015
0055,0000
0020,0000
0047,0014
0043,0000
0095,0004
0061,0022
0047,0000
0047,0000
0047,0000
0059,0001
0031,0004
0054,0010
0063,0000
0055,0025
0063,0000
0047,0000
0061,0026
0046,0017
0043,0003
0111,0002
0060,0000
0055,0005
0063,0000
0063,0001
0037,0000
0063,0000
0031,0000
0047,0000
0052,0000
0039,0005
0063,0001
0079,0000
0111,0000
0030,0001
0087,0000
0047,0000
0028,0002
0087,0000
0063,0002
0075,0000
0047,0001
0055,0000
0047,0000
0127,0000
0051,0000
0043,0004
0063,0000
0030,0000
0063,0001
0063,0002
0047,0000
0047,0012
0062,0000
0038,0000
0075,0000
0055,0000
0063,0008
0078,0000
0047,0013
0063,0001
0055,0000
0045,0000
0047,0000
0063,0001
0027,0000
0030,0000
0094,0003
0043,0002
0079,0002
0095,0000
0052,0001
0054,0023
0111,0005
0039,0000
0031,0002
0019,0000
0031,0001
0031,0013
0063,0001
0031,0002
0037,0002
0030,0002
0061,0003
0042,0007
0031,0003
0062,0000
0046,0019
0044,0001
0087,0005
0039,0008
0095,0003
0087,0000
0055,0000
0078,0002
0063,0000
0038,0003
0053,0003
0063,0000
0063,0000
0055,0002
0045,0000
0063,0000
0076,0002
0043,0010
0060,0006
0045,0000
0047,0000
0062,0000
0047,0000
0063,0000
0031,0016
0047,0000
0031,0000
0041,0004
0055,0002
0039,0001
0026,0016
0030,0003
0063,0000
0063,0000
0063,0000
0031,0004
0063,0001
0095,0000
0044,0014
0031,0000
0061,0000
0047,0000
0043,0009
0063,0000
0111,0003
0063,0004
0047,0000
0079,0000
0055,0000
0039,0000
0042,0000
0079,0000
0119,0005
0047,0000
0042,0020
0029,0000
0047,0000
0063,0000
0063,0000
0087,0000
0087,0000
0039,0000
0042,0003
0055,0020
0047,0000
0047,0000
0063,0000
0031,0001
0023,0030
0031,0000
0055,0000
0111,0000
0045,0008
0039,0000
0031,0002
0042,0000
0044,0003
0079,0004
0087,0000
0047,0000
0046,0000
0030,0000
0045,0000
0053,0000
0063,0015
0047,0000
0043,0000
0044,0000
0042,0004
0079,0001
0046,0000
0063,0001
0079,0004
0061,0000
0045,0000
0026,0000
0044,0000
0063,0008
0079,0000
0045,0000
0031,0000
0041,0000
0077,0000
0059,0000
0046,0000
0059,0003
0095,0000
0043,0015
0095,0003
0047,0000
0055,0025
0047,0021
0087,0001
0058,0010
0039,0006
0063,0000
0025,0000
0063,0000
