Channel1,Channel2,Condition
63,0,Baseline
95,3,Baseline
38,4,Baseline
75,1,Baseline
79,0,Baseline
119,0,Baseline
61,0,Baseline
43,9,Baseline
63,0,Baseline
93,0,Baseline
37,12,Baseline
38,1,Baseline
63,0,Baseline
63,0,Baseline
44,0,Baseline
63,3,Baseline
75,5,Baseline
31,11,Baseline
52,7,Baseline
39,0,Baseline
31,6,Baseline
29,0,Baseline
31,1,Baseline
55,0,Baseline
31,2,Baseline
63,0,Baseline
43,0,Baseline
63,2,Baseline
95,7,Baseline
79,0,Baseline
63,1,Baseline
42,0,Baseline
47,17,Baseline
26,2,Baseline
44,0,Baseline
77,2,Baseline
44,8,Baseline
29,3,Baseline
39,6,Baseline
38,9,Baseline
31,5,Baseline
78,3,Baseline
76,3,Baseline
55,0,Baseline
30,0,Baseline
63,12,Baseline
31,1,Baseline
63,0,Baseline
39,0,Baseline
63,2,Baseline
47,0,Baseline
27,0,Baseline
63,0,Baseline
79,1,Baseline
31,15,Baseline
63,26,Baseline
22,0,Baseline
95,16,Baseline
62,3,Baseline
46,0,Baseline
54,1,Baseline
55,3,Baseline
60,0,Baseline
39,0,Baseline
79,0,Baseline
31,0,Baseline
45,0,Baseline
55,27,Baseline
29,0,Baseline
63,3,Baseline
54,0,Baseline
63,2,Baseline
39,0,Baseline
63,4,Baseline
39,0,Baseline
63,0,Baseline
111,0,Baseline
52,4,Baseline
26,15,Baseline
55,0,Baseline
20,0,Baseline
47,14,Baseline
43,0,Baseline
95,4,Baseline
61,22,Baseline
47,0,Baseline
47,0,Baseline
47,0,Baseline
59,1,Baseline
31,4,Baseline
54,10,Baseline
63,0,Baseline
55,25,Baseline
63,0,Baseline
47,0,Baseline
61,26,Baseline
46,17,Baseline
43,3,Baseline
111,2,Baseline
60,0,Baseline
55,5,Baseline
63,0,Baseline
63,1,Baseline
37,0,Baseline
63,0,Baseline
31,0,Baseline
47,0,Baseline
52,0,Baseline
39,5,Baseline
63,1,Baseline
79,0,Baseline
111,0,Baseline
30,1,Baseline
87,0,Baseline
47,0,Baseline
28,2,Baseline
87,0,Baseline
63,2,Baseline
75,0,Baseline
47,1,Baseline
55,0,Baseline
47,0,Baseline
127,0,Baseline
51,0,Baseline
43,4,Baseline
63,0,Baseline
30,0,Baseline
63,1,Baseline
63,2,Baseline
47,0,Baseline
47,12,Baseline
62,0,Baseline
38,0,Baseline
75,0,Baseline
55,0,Baseline
63,8,Baseline
78,0,Baseline
47,13,Baseline
63,1,Baseline
55,0,Baseline
45,0,Baseline
47,0,Baseline
63,1,Baseline
27,0,Baseline
30,0,Baseline
94,3,Baseline
43,2,Baseline
79,2,Baseline
95,0,Baseline
52,1,Baseline
54,23,Baseline
111,5,Baseline
39,0,Baseline
31,2,Baseline
19,0,Baseline
31,1,Baseline
31,13,Baseline
63,1,Baseline
31,2,Baseline
37,2,Baseline
30,2,Baseline
61,3,Baseline
42,7,Baseline
31,3,Baseline
62,0,Baseline
46,19,Baseline
44,1,Baseline
87,5,Baseline
39,8,Baseline
95,3,Baseline
87,0,Baseline
55,0,Baseline
78,2,Baseline
63,0,Baseline
38,3,Baseline
53,3,Baseline
63,0,Baseline
63,0,Baseline
55,2,Baseline
45,0,Baseline
63,0,Baseline
76,2,Baseline
43,10,Baseline
60,6,Baseline
45,0,Baseline
47,0,Baseline
62,0,Baseline
47,0,Baseline
63,0,Baseline
31,16,Baseline
47,0,Baseline
31,0,Baseline
41,4,Baseline
55,2,Baseline
39,1,Baseline
26,16,Baseline
30,3,Baseline
63,0,Baseline
63,0,Baseline
63,0,Baseline
31,4,Baseline
63,1,Baseline
95,0,Baseline
44,14,Baseline
31,0,Baseline
61,0,Baseline
47,0,Baseline
43,9,Baseline
63,0,Baseline
111,3,Baseline
63,4,Baseline
47,0,Baseline
79,0,Baseline
55,0,Baseline
39,0,Baseline
42,0,Baseline
79,0,Baseline
119,5,Baseline
47,0,Baseline
