A,B,Condition
31,16,Meditation
46,0,Meditation
55,0,Meditation
54,0,Meditation
47,0,Meditation
53,3,Meditation
39,6,Meditation
63,3,Meditation
52,0,Meditation
60,0,Meditation
45,0,Meditation
31,3,Meditation
63,4,Meditation
55,0,Meditation
51,0,Meditation
95,8,Meditation
28,16,Meditation
59,0,Meditation
42,1,Meditation
95,1,Meditation
55,1,Meditation
54,8,Meditation
55,0,Meditation
27,0,Meditation
31,0,Meditation
47,18,Meditation
78,0,Meditation
31,0,Meditation
79,0,Meditation
55,0,Meditation
31,0,Meditation
63,0,Meditation
55,0,Meditation
62,13,Meditation
47,0,Meditation
31,3,Meditation
63,0,Meditation
143,0,Meditation
26,0,Meditation
59,8,Meditation
79,0,Meditation
52,20,Meditation
63,0,Meditation
54,0,Meditation
31,3,Meditation
87,2,Meditation
46,0,Meditation
27,2,Meditation
30,0,Meditation
23,22,Meditation
37,0,Meditation
47,0,Meditation
127,0,Meditation
31,5,Meditation
37,0,Meditation
31,1,Meditation
63,1,Meditation
39,6,Meditation
63,0,Meditation
39,0,Meditation
61,23,Meditation
47,0,Meditation
47,0,Meditation
47,0,Meditation
93,0,Meditation
31,0,Meditation
29,1,Meditation
79,0,Meditation
43,0,Meditation
79,1,Meditation
58,23,Meditation
63,0,Meditation
63,2,Meditation
77,2,Meditation
63,0,Meditation
55,4,Meditation
111,0,Meditation
55,7,Meditation
29,15,Meditation
44,1,Meditation
63,0,Meditation
62,26,Meditation
55,5,Meditation
79,1,Meditation
79,5,Meditation
31,2,Meditation
63,0,Meditation
31,0,Meditation
47,0,Meditation
79,1,Meditation
63,1,Meditation
27,0,Meditation
47,0,Meditation
61,1,Meditation
47,0,Meditation
62,0,Meditation
47,0,Meditation
63,2,Meditation
54,0,Meditation
28,15,Meditation
79,1,Meditation
63,0,Meditation
143,0,Meditation
127,0,Meditation
44,11,Meditation
75,5,Meditation
79,2,Meditation
53,20,Meditation
79,0,Meditation
60,1,Meditation
95,2,Meditation
63,1,Meditation
31,15,Meditation
27,0,Meditation
54,22,Meditation
53,0,Meditation
60,1,Meditation
76,0,Meditation
31,0,Meditation
127,1,Meditation
28,0,Meditation
47,16,Meditation
43,0,Meditation
45,11,Meditation
95,2,Meditation
59,0,Meditation
61,21,Meditation
31,0,Meditation
87,0,Meditation
79,0,Meditation
39,0,Meditation
62,0,Meditation
111,0,Meditation
25,16,Meditation
47,0,Meditation
63,5,Meditation
63,0,Meditation
63,0,Meditation
51,0,Meditation
87,2,Meditation
63,2,Meditation
55,3,Meditation
39,0,Meditation
79,2,Meditation
61,25,Meditation
55,0,Meditation
46,0,Meditation
87,0,Meditation
42,23,Meditation
43,0,Meditation
30,16,Meditation
127,3,Meditation
62,0,Meditation
63,0,Meditation
63,4,Meditation
39,0,Meditation
60,0,Meditation
63,0,Meditation
47,0,Meditation
46,0,Meditation
39,0,Meditation
43,7,Meditation
79,0,Meditation
27,2,Meditation
46,8,Meditation
47,10,Meditation
39,0,Meditation
75,2,Meditation
42,11,Meditation
39,12,Meditation
63,1,Meditation
27,0,Meditation
