A,B,Condition
43,0,Multiplication
75,0,Multiplication
95,3,Multiplication
79,1,Multiplication
55,20,Multiplication
91,3,Multiplication
95,1,Multiplication
54,1,Multiplication
54,6,Multiplication
31,0,Multiplication
111,0,Multiplication
53,0,Multiplication
94,0,Multiplication
55,4,Multiplication
30,0,Multiplication
63,0,Multiplication
44,0,Multiplication
54,0,Multiplication
38,7,Multiplication
37,0,Multiplication
76,0,Multiplication
42,0,Multiplication
63,0,Multiplication
44,0,Multiplication
43,16,Multiplication
63,0,Multiplication
79,0,Multiplication
55,2,Multiplication
43,0,Multiplication
42,0,Multiplication
54,18,Multiplication
39,1,Multiplication
63,1,Multiplication
47,15,Multiplication
55,0,Multiplication
23,0,Multiplication
55,0,Multiplication
42,0,Multiplication
55,0,Multiplication
61,0,Multiplication
37,16,Multiplication
63,0,Multiplication
111,3,Multiplication
31,0,Multiplication
31,1,Multiplication
21,0,Multiplication
31,3,Multiplication
27,0,Multiplication
54,0,Multiplication
61,0,Multiplication
53,10,Multiplication
38,0,Multiplication
63,3,Multiplication
127,0,Multiplication
79,4,Multiplication
55,2,Multiplication
13,0,Multiplication
39,0,Multiplication
62,0,Multiplication
60,4,Multiplication
79,0,Multiplication
31,0,Multiplication
31,6,Multiplication
78,0,Multiplication
39,0,Multiplication
31,19,Multiplication
79,0,Multiplication
63,1,Multiplication
54,0,Multiplication
55,0,Multiplication
47,18,Multiplication
79,4,Multiplication
62,1,Multiplication
76,4,Multiplication
47,0,Multiplication
63,1,Multiplication
53,4,Multiplication
55,0,Multiplication
63,4,Multiplication
31,0,Multiplication
60,0,Multiplication
38,0,Multiplication
46,18,Multiplication
63,3,Multiplication
28,1,Multiplication
47,9,Multiplication
43,0,Multiplication
47,5,Multiplication
43,0,Multiplication
47,0,Multiplication
39,1,Multiplication
47,13,Multiplication
30,4,Multiplication
63,0,Multiplication
31,0,Multiplication
43,0,Multiplication
45,9,Multiplication
47,0,Multiplication
58,10,Multiplication
52,0,Multiplication
58,2,Multiplication
53,11,Multiplication
31,0,Multiplication
75,1,Multiplication
27,0,Multiplication
29,76,Multiplication
111,1,Multiplication
63,0,Multiplication
60,0,Multiplication
47,23,Multiplication
42,1,Multiplication
46,0,Multiplication
31,0,Multiplication
29,4,Multiplication
31,5,Multiplication
43,10,Multiplication
31,0,Multiplication
54,0,Multiplication
39,0,Multiplication
31,0,Multiplication
95,5,Multiplication
39,0,Multiplication
43,0,Multiplication
63,0,Multiplication
53,0,Multiplication
111,1,Multiplication
29,19,Multiplication
111,1,Multiplication
75,0,Multiplication
31,3,Multiplication
54,1,Multiplication
63,0,Multiplication
55,0,Multiplication
31,0,Multiplication
39,8,Multiplication
31,21,Multiplication
39,17,Multiplication
31,0,Multiplication
51,2,Multiplication
55,22,Multiplication
55,25,Multiplication
31,0,Multiplication
