A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
940.100,269.100,92.670,32.360,1006.000,297.600,101.000,30.850,267.700,67.990,19.110,6.989,361.500,93.580,26.970,10.450,baseline
946.800,271.800,92.990,32.230,1005.000,294.400,100.600,30.420,267.900,68.560,19.120,6.977,359.400,91.800,26.380,10.180,baseline
935.600,267.100,91.040,31.600,997.600,293.800,99.860,30.340,263.000,67.300,18.860,6.888,352.900,90.390,25.960,10.120,baseline
926.000,264.600,90.400,31.610,999.200,294.700,100.000,30.390,264.100,67.160,18.800,6.891,351.200,90.360,26.030,10.110,baseline
930.300,265.000,90.990,31.750,997.800,294.200,99.850,30.440,265.600,67.340,18.900,6.898,353.600,90.640,26.110,10.170,baseline
925.400,266.400,91.100,31.660,998.800,294.600,99.930,30.430,264.600,67.300,18.950,6.890,353.800,90.830,26.250,10.170,baseline
935.500,266.200,91.380,31.850,997.400,295.100,100.600,30.560,265.200,67.480,18.970,6.944,356.900,91.780,26.400,10.290,baseline
943.200,268.700,92.010,32.110,1004.000,296.800,100.500,30.730,265.300,67.780,19.050,6.958,359.700,92.840,26.590,10.400,baseline
945.000,270.100,92.600,32.360,1007.000,296.200,99.960,30.540,268.200,68.120,19.060,6.988,360.300,92.500,26.380,10.180,baseline
935.700,266.800,91.480,31.820,994.400,293.800,99.900,30.250,264.300,67.190,18.820,6.871,351.600,89.720,25.840,10.040,baseline
927.100,265.400,90.660,31.400,994.600,293.800,99.920,30.360,263.300,67.010,18.750,6.849,351.300,89.970,25.940,10.020,baseline
929.000,264.900,90.860,31.720,998.800,293.000,99.840,30.360,262.500,66.940,18.800,6.881,353.300,90.930,26.100,10.090,baseline
932.500,266.600,91.090,31.740,996.900,294.500,99.980,30.530,264.000,67.240,18.960,6.890,355.500,91.390,26.360,10.190,baseline
933.700,268.300,91.450,31.990,995.300,296.200,100.900,30.680,266.800,67.660,18.940,6.956,358.300,92.170,26.520,10.290,baseline
947.700,269.600,92.100,32.340,1008.000,296.200,100.700,30.920,267.500,67.910,19.120,6.966,361.800,93.340,26.950,10.450,baseline
950.900,272.300,93.750,32.800,1011.000,298.400,101.100,30.980,267.100,68.300,19.200,7.018,365.900,94.380,27.060,10.520,baseline
954.700,270.200,93.320,32.130,1003.000,295.100,100.300,30.560,268.600,68.120,19.020,6.937,357.400,91.590,26.410,10.210,baseline
935.000,267.000,91.140,31.860,1005.000,294.900,100.000,30.530,264.300,67.290,18.810,6.875,354.200,90.820,26.160,10.110,baseline
937.300,266.800,91.390,31.970,998.100,294.400,100.600,30.620,264.200,67.410,18.900,6.916,355.100,91.390,26.360,10.250,baseline
939.600,268.000,92.190,32.170,1005.000,295.300,100.100,30.670,265.900,67.540,18.990,6.918,356.600,91.780,26.450,10.270,baseline
936.300,267.600,92.010,32.210,1003.000,295.500,100.900,30.770,264.700,67.470,19.010,6.944,359.100,92.360,26.610,10.320,baseline
946.000,269.600,93.070,32.370,1005.000,297.500,101.200,30.980,265.500,68.180,19.090,6.965,360.900,93.170,26.920,10.430,baseline
951.900,271.500,93.530,32.790,1007.000,297.800,101.200,31.050,267.400,68.300,19.150,6.990,364.800,94.370,27.160,10.550,baseline
960.600,272.800,94.310,32.630,1006.000,296.100,100.700,30.560,269.100,68.590,19.170,7.008,361.900,92.800,26.560,10.270,baseline
943.000,268.600,91.530,32.050,995.100,294.000,100.200,30.570,266.200,67.510,18.970,6.899,355.100,91.410,26.380,10.170,baseline
935.300,268.100,91.540,31.970,1008.000,295.600,100.800,30.650,265.400,67.500,18.940,6.904,356.300,91.570,26.470,10.230,baseline
938.800,268.900,92.500,32.280,1006.000,295.000,100.800,30.760,265.600,67.860,19.020,6.916,357.600,92.250,26.470,10.270,baseline
937.500,270.200,92.880,32.340,1002.000,297.000,101.200,30.830,267.000,67.730,18.930,6.921,357.300,91.820,26.510,10.260,baseline
949.100,270.800,93.390,32.740,1005.000,296.700,101.400,30.960,265.700,67.600,18.880,6.900,358.200,92.300,26.630,10.290,baseline
950.500,273.700,94.480,32.910,1006.000,297.900,101.700,31.020,265.100,67.950,18.980,6.943,362.900,93.620,27.020,10.470,baseline
958.400,274.700,94.710,33.220,1012.000,297.300,101.300,30.770,268.000,68.150,19.120,6.958,363.600,92.990,26.700,10.280,baseline
939.700,269.500,92.930,32.280,1000.000,295.000,100.600,30.560,265.100,67.160,18.880,6.868,353.800,90.590,26.090,10.170,baseline
932.400,267.300,92.070,32.260,1000.000,295.800,100.600,30.670,262.700,66.940,18.810,6.892,351.700,90.370,26.210,10.140,baseline
939.600,268.800,92.420,32.330,1001.000,296.000,101.100,30.680,263.500,67.230,18.880,6.860,354.700,91.070,26.280,10.220,baseline
945.500,270.200,93.170,32.520,1000.000,296.500,101.200,30.840,264.200,67.370,18.890,6.889,355.000,91.510,26.350,10.230,baseline
943.700,270.800,93.130,32.690,1008.000,297.300,101.400,30.880,265.100,67.450,18.910,6.917,357.400,91.930,26.560,10.340,baseline
946.000,272.700,93.910,33.100,1009.000,298.500,101.500,31.110,265.700,67.890,19.000,6.945,361.300,93.430,27.030,10.490,baseline
952.800,275.400,95.470,33.500,1010.000,298.700,102.100,31.030,267.200,68.300,19.190,7.010,366.600,94.770,27.210,10.500,baseline
951.900,272.100,93.450,32.840,1004.000,295.800,100.900,30.650,267.900,67.910,19.100,6.910,357.900,91.580,26.480,10.230,baseline
931.500,270.100,92.400,32.210,1002.000,295.000,100.400,30.530,265.400,67.270,18.840,6.889,352.800,90.810,26.220,10.170,baseline
936.900,268.200,92.700,32.240,999.900,295.800,100.500,30.680,263.600,67.010,18.790,6.842,353.600,91.280,26.320,10.220,baseline
936.100,268.900,92.830,32.490,997.600,295.300,100.700,30.710,265.100,67.360,18.880,6.871,356.000,91.950,26.510,10.310,baseline
938.100,270.000,93.110,32.600,996.700,295.300,101.100,30.850,266.600,67.570,18.970,6.924,360.400,92.430,26.680,10.360,baseline
948.200,271.200,94.130,33.040,1003.000,296.500,101.400,30.920,267.100,67.960,19.020,6.942,362.600,93.930,27.080,10.540,baseline
955.900,274.600,94.850,33.470,1010.000,299.000,102.100,31.150,269.000,68.370,19.220,6.995,367.000,95.170,27.470,10.670,baseline
968.600,278.200,95.940,33.840,1012.000,297.700,101.400,30.930,269.400,68.750,19.330,7.008,367.900,94.560,27.160,10.450,baseline
945.700,270.200,93.210,32.580,997.000,294.700,100.900,30.580,265.600,67.690,18.980,6.950,357.900,92.050,26.630,10.320,baseline
945.900,269.900,92.950,32.540,995.500,294.700,100.700,30.760,264.400,67.460,19.000,6.913,357.800,92.090,26.690,10.340,baseline
949.000,270.600,93.490,32.820,1002.000,295.500,101.200,30.800,266.900,67.680,19.070,6.956,361.500,93.330,26.930,10.450,baseline
947.000,271.400,93.800,32.990,1006.000,296.500,101.400,30.880,266.700,68.050,19.080,6.997,361.600,93.680,27.090,10.490,baseline
952.600,272.500,94.890,33.180,1005.000,297.100,101.700,31.040,266.700,68.190,19.140,6.996,365.500,94.810,27.260,10.580,baseline
962.500,275.200,95.550,33.670,1014.000,299.300,102.100,31.320,269.200,68.500,19.240,7.049,370.400,96.220,27.650,10.730,baseline
970.400,280.000,96.940,34.240,1020.000,300.500,102.800,31.430,270.500,69.080,19.420,7.125,375.600,97.840,28.290,10.940,baseline
980.300,280.800,96.930,34.100,1012.000,299.100,101.600,30.990,273.300,69.320,19.390,7.048,371.000,95.750,27.470,10.580,baseline
949.500,273.100,94.660,33.140,1002.000,296.100,101.300,30.850,266.000,68.180,19.110,6.980,363.700,93.640,27.030,10.480,baseline
952.200,273.000,94.410,33.180,1002.000,297.700,101.800,31.040,266.400,68.120,19.150,6.979,364.800,94.470,27.330,10.570,baseline
963.200,275.400,95.360,33.460,1011.000,299.000,101.700,31.090,269.300,68.440,19.270,7.032,368.500,95.280,27.460,10.630,baseline
961.100,276.600,95.270,33.530,1010.000,299.000,102.200,31.150,270.000,68.640,19.290,7.008,369.800,95.580,27.650,10.700,baseline
966.300,277.700,96.340,34.080,1017.000,299.100,103.100,31.350,270.700,68.830,19.350,7.038,372.800,96.950,28.030,10.870,baseline
981.800,281.500,97.710,34.560,1021.000,301.300,102.900,31.560,271.700,69.130,19.350,7.058,376.900,98.030,28.320,10.960,baseline
996.200,284.700,98.840,35.200,1027.000,302.000,103.800,31.640,273.700,69.410,19.350,7.060,379.800,99.440,28.700,11.150,baseline
989.100,285.600,98.310,34.600,1017.000,299.500,102.600,31.160,275.300,69.740,19.500,7.111,377.900,97.680,27.920,10.790,baseline
967.000,278.100,96.090,33.720,1009.000,298.300,101.900,30.990,270.000,68.640,19.240,7.000,368.600,95.510,27.580,10.720,baseline
960.800,276.400,95.820,33.790,1013.000,299.300,101.900,31.030,269.400,68.500,19.240,6.998,371.400,96.140,27.730,10.730,baseline
970.100,279.700,96.890,34.160,1015.000,300.700,102.200,31.290,269.900,68.830,19.250,6.959,372.900,96.580,27.890,10.800,baseline
968.600,280.600,97.190,34.320,1017.000,300.600,102.800,31.230,271.200,68.880,19.350,7.031,375.300,97.560,28.150,10.900,baseline
979.400,282.200,98.630,34.860,1022.000,302.000,103.100,31.560,271.300,69.510,19.470,7.082,379.200,98.480,28.580,11.050,baseline
993.400,286.900,99.440,35.610,1030.000,303.100,104.000,31.810,274.000,69.980,19.510,7.116,384.200,100.600,29.080,11.270,baseline
1008.000,291.200,101.200,36.280,1037.000,305.300,104.400,31.920,275.800,70.410,19.640,7.143,392.000,102.200,29.450,11.370,baseline
1012.000,290.400,100.500,35.560,1028.000,302.100,102.400,31.260,276.100,69.950,19.540,7.088,381.700,98.800,28.290,11.020,baseline
985.400,282.800,98.390,34.680,1024.000,300.800,102.500,31.170,271.500,68.860,19.200,7.027,376.200,97.550,28.100,10.930,baseline
981.400,283.700,98.260,34.720,1023.000,302.800,103.300,31.530,271.200,69.060,19.270,7.025,378.900,98.340,28.440,11.060,baseline
994.000,285.200,99.500,35.310,1027.000,303.000,103.300,31.480,270.200,69.290,19.360,7.064,380.800,99.080,28.660,11.120,baseline
994.400,287.800,99.720,35.300,1030.000,303.000,103.400,31.610,272.400,69.620,19.400,7.052,383.200,100.100,28.780,11.200,baseline
1003.000,289.800,100.800,35.850,1037.000,304.800,104.000,31.760,274.000,70.010,19.520,7.115,388.600,101.600,29.370,11.390,baseline
1015.000,293.600,102.600,36.650,1039.000,307.700,105.000,32.070,275.500,70.550,19.700,7.164,394.000,103.400,29.810,11.600,baseline
1031.000,298.900,104.100,37.330,1044.000,307.100,104.400,31.870,279.800,71.170,19.870,7.225,399.200,104.200,29.820,11.540,baseline
1017.000,291.600,100.900,35.610,1025.000,303.500,103.100,31.300,276.700,70.120,19.580,7.088,385.700,100.000,28.780,11.140,baseline
996.700,288.000,99.640,35.300,1029.000,302.600,103.100,31.330,274.400,69.400,19.400,7.021,383.400,99.800,28.880,11.200,baseline
1005.000,287.800,100.400,35.740,1029.000,303.300,103.300,31.550,274.200,69.890,19.440,7.053,388.500,101.200,29.280,11.350,baseline
1006.000,290.900,101.100,35.900,1032.000,304.900,103.700,31.490,275.200,70.160,19.500,7.073,388.300,101.700,29.320,11.360,baseline
1015.000,292.800,101.800,36.230,1037.000,303.900,103.500,31.670,275.300,70.220,19.630,7.119,392.100,102.700,29.550,11.470,baseline
1021.000,294.700,102.500,36.700,1037.000,306.300,104.200,31.730,277.600,70.530,19.670,7.163,395.800,103.800,30.120,11.670,baseline
1029.000,296.800,103.800,37.390,1043.000,308.200,104.900,31.960,276.800,71.060,19.820,7.202,401.500,105.600,30.430,11.820,baseline
1039.000,299.600,104.300,37.480,1037.000,306.100,103.900,31.520,279.200,71.390,19.860,7.175,398.500,103.600,29.730,11.550,baseline
1020.000,292.900,101.600,36.150,1031.000,304.000,103.600,31.420,275.000,70.220,19.530,7.067,391.200,102.100,29.590,11.480,baseline
1014.000,292.000,102.500,36.560,1034.000,305.500,103.900,31.680,275.900,70.150,19.610,7.095,395.800,103.800,30.040,11.630,baseline
1033.000,297.200,103.800,37.120,1037.000,306.500,104.000,31.710,277.900,70.710,19.770,7.153,399.600,104.700,30.220,11.700,baseline
1022.000,295.400,104.000,37.110,1032.000,304.800,104.400,31.730,277.700,70.860,19.740,7.150,399.300,104.600,30.250,11.720,baseline
1030.000,299.300,104.500,37.590,1045.000,306.600,104.600,31.770,277.200,71.120,19.770,7.185,402.000,106.000,30.570,11.870,baseline
1042.000,301.400,105.400,38.020,1048.000,308.800,104.900,31.940,279.500,71.320,19.870,7.199,406.000,106.600,30.960,11.970,baseline
1052.000,303.300,106.500,38.500,1045.000,309.300,104.800,31.870,280.700,71.630,19.980,7.242,407.700,106.900,30.730,11.820,baseline
1036.000,296.400,103.900,36.930,1036.000,305.200,103.500,31.320,278.200,70.660,19.580,7.099,395.900,103.300,29.890,11.560,baseline
1021.000,294.300,102.800,36.600,1038.000,305.000,103.400,31.430,276.400,70.340,19.490,7.075,395.300,103.600,29.990,11.620,baseline
1031.000,295.900,103.900,37.200,1034.000,305.600,104.100,31.500,277.100,70.660,19.560,7.112,399.300,104.900,30.310,11.770,baseline
1032.000,298.000,104.200,37.360,1049.000,307.400,104.200,31.660,278.100,70.750,19.670,7.110,400.100,104.900,30.400,11.810,baseline
1039.000,297.800,104.800,37.570,1044.000,307.200,104.600,31.650,279.500,70.880,19.690,7.130,402.700,106.000,30.660,11.920,baseline
1041.000,301.900,105.200,38.040,1055.000,308.400,104.400,31.850,280.700,71.340,19.810,7.179,406.800,107.500,30.950,12.050,baseline
1055.000,304.000,106.900,38.600,1053.000,308.700,104.900,31.720,281.900,71.760,19.930,7.194,410.400,108.200,31.150,12.040,baseline
1040.000,301.200,104.500,37.100,1026.000,304.200,102.800,31.030,279.500,70.820,19.560,7.054,396.600,103.000,29.690,11.500,baseline
1016.000,292.600,102.500,36.080,1032.000,302.700,102.500,30.980,275.200,69.760,19.330,7.012,391.000,102.100,29.560,11.390,baseline
1011.000,292.800,102.000,36.270,1029.000,304.300,102.800,31.160,274.500,69.740,19.350,7.003,393.100,102.300,29.800,11.510,baseline
1024.000,294.000,102.600,36.530,1035.000,303.600,102.700,31.070,275.600,69.930,19.430,7.023,393.600,103.100,29.780,11.610,baseline
1023.000,294.400,102.500,36.580,1038.000,304.700,102.600,31.170,276.500,69.950,19.430,7.031,395.400,103.300,29.970,11.590,baseline
1022.000,296.400,103.600,36.990,1038.000,306.200,103.200,31.300,275.500,70.120,19.530,7.062,398.400,104.600,30.240,11.770,baseline
1028.000,299.300,104.800,37.620,1043.000,307.200,104.400,31.520,278.700,70.710,19.600,7.088,404.200,105.900,30.810,11.910,baseline
1048.000,300.000,104.600,37.030,1031.000,303.100,102.700,30.880,279.600,70.660,19.540,7.051,395.900,102.800,29.710,11.470,baseline
1009.000,289.700,100.800,35.610,1021.000,300.800,101.700,30.650,274.600,69.160,19.260,6.929,386.800,100.500,29.000,11.260,baseline
1002.000,286.700,100.400,35.490,1022.000,300.300,101.900,30.680,271.400,68.830,19.150,6.890,385.200,99.760,28.900,11.250,baseline
1001.000,287.700,100.700,35.770,1025.000,300.400,102.200,30.850,271.400,69.160,19.180,6.924,386.600,100.700,29.140,11.290,baseline
1004.000,289.400,100.200,35.610,1030.000,302.000,101.900,30.850,273.300,69.170,19.240,6.936,388.000,100.900,29.290,11.320,baseline
1007.000,290.400,101.400,36.160,1030.000,301.700,102.200,31.080,274.600,69.550,19.280,6.937,390.700,101.600,29.580,11.450,baseline
1018.000,292.500,102.400,36.440,1035.000,303.100,103.300,31.250,276.400,69.650,19.330,7.000,394.500,103.200,29.770,11.610,baseline
1033.000,296.900,104.000,36.930,1035.000,302.400,102.500,31.110,278.000,70.320,19.540,7.008,397.200,103.200,29.580,11.400,baseline
1012.000,289.600,99.990,35.290,1021.000,300.200,101.500,30.640,273.700,69.230,19.150,6.933,383.300,98.960,28.680,11.080,baseline
987.500,284.700,99.150,34.950,1015.000,298.700,101.700,30.540,271.200,68.390,19.030,6.878,379.700,98.400,28.530,11.040,baseline
986.300,284.800,99.100,34.860,1022.000,300.200,101.800,30.800,270.800,68.480,18.950,6.865,381.200,98.980,28.590,11.130,baseline
989.200,285.800,99.150,35.040,1022.000,300.300,102.100,30.860,271.400,68.760,19.070,6.894,382.800,99.310,28.660,11.140,baseline
