heart_rate,condition
85,neutral
85,neutral
85,neutral
84,neutral
83,neutral
82,neutral
83,neutral
83,neutral
83,neutral
82,neutral
82,neutral
82,neutral
81,neutral
81,neutral
81,neutral
80,neutral
80,neutral
80,neutral
79,neutral
79,neutral
80,neutral
80,neutral
79,neutral
78,neutral
78,neutral
78,neutral
77,neutral
77,neutral
78,neutral
78,neutral
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
78,negative
78,negative
79,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
79,negative
79,negative
79,negative
79,negative
79,negative
78,negative
78,negative
77,negative
77,negative
77,negative
78,negative
78,negative
79,negative
81,negative
81,negative
81,negative
80,negative
80,negative
79,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
77,negative
77,negative
77,negative
77,negative
77,negative
78,negative
78,negative
78,negative
77,negative
77,negative
77,negative
77,negative
81,neutral
81,neutral
81,neutral
80,neutral
81,neutral
81,neutral
80,neutral
80,neutral
80,neutral
80,neutral
79,neutral
79,neutral
79,neutral
78,neutral
78,neutral
76,positive
75,positive
76,positive
77,positive
77,positive
77,positive
77,positive
77,positive
76,positive
76,positive
77,positive
77,positive
77,positive
78,positive
78,positive
81,neutral
81,neutral
81,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
83,neutral
84,negative
84,negative
84,negative
84,negative
82,negative
81,negative
80,negative
80,negative
79,negative
79,negative
79,negative
78,negative
77,negative
77,negative
77,negative
77,negative
78,negative
78,negative
78,negative
79,negative
80,negative
79,negative
79,negative
80,negative
80,negative
79,negative
79,negative
80,negative
80,negative
80,negative
79,negative
79,negative
79,negative
78,negative
77,negative
77,negative
77,negative
76,negative
77,negative
78,negative
77,negative
76,negative
76,negative
76,negative
75,negative
78,negative
78,negative
78,negative
78,negative
77,negative
76,negative
77,negative
77,negative
76,negative
77,negative
77,negative
77,negative
78,negative
80,negative
81,negative
84,positive
84,positive
83,positive
83,positive
83,positive
83,positive
82,positive
83,positive
83,positive
82,positive
81,positive
81,positive
81,positive
80,positive
81,positive
80,negative
80,negative
80,negative
79,negative
80,negative
79,negative
79,negative
79,negative
79,negative
78,negative
77,negative
77,negative
77,negative
77,negative
77,negative
79,positive
79,positive
79,positive
79,positive
79,positive
79,positive
78,positive
78,positive
78,positive
77,positive
77,positive
77,positive
78,positive
77,positive
77,positive
84,positive
84,positive
84,positive
85,positive
84,positive
84,positive
85,positive
85,positive
84,positive
84,positive
84,positive
84,positive
83,positive
82,positive
83,positive
80,neutral
80,neutral
80,neutral
81,neutral
80,neutral
80,neutral
81,neutral
81,neutral
81,neutral
81,neutral
81,neutral
82,neutral
83,neutral
84,neutral
84,neutral
80,neutral
80,neutral
80,neutral
80,neutral
81,neutral
81,neutral
80,neutral
80,neutral
81,neutral
80,neutral
79,neutral
79,neutral
80,neutral
80,neutral
80,neutral
81,neutral
80,neutral
81,neutral
81,neutral
80,neutral
80,neutral
80,neutral
80,neutral
80,neutral
80,neutral
80,neutral
80,neutral
81,neutral
82,neutral
84,neutral
86,negative
86,negative
86,negative
85,negative
85,negative
86,negative
87,negative
87,negative
86,negative
85,negative
84,negative
83,negative
82,negative
82,negative
81,negative
82,neutral
81,neutral
81,neutral
81,neutral
81,neutral
81,neutral
81,neutral
80,neutral
80,neutral
81,neutral
83,neutral
