rr_interval,condition
624,neutral
632,neutral
648,neutral
664,neutral
664,neutral
656,neutral
656,neutral
656,neutral
640,neutral
632,neutral
628,neutral
640,neutral
644,neutral
628,neutral
624,neutral
628,neutral
628,neutral
620,neutral
616,neutral
620,neutral
624,neutral
624,neutral
612,neutral
572,neutral
572,neutral
584,neutral
592,neutral
596,neutral
600,neutral
604,neutral
632,neutral
644,neutral
632,neutral
640,neutral
644,neutral
648,neutral
624,neutral
612,neutral
612,neutral
620,neutral
612,neutral
628,neutral
632,neutral
640,neutral
624,neutral
604,neutral
608,neutral
644,positive
648,positive
656,positive
644,positive
628,positive
608,positive
612,positive
612,positive
608,positive
596,positive
588,positive
600,positive
608,positive
608,positive
600,positive
604,positive
620,positive
632,positive
632,positive
616,positive
616,positive
612,positive
616,positive
624,positive
588,negative
580,negative
580,negative
572,negative
568,negative
564,negative
572,negative
600,negative
628,negative
628,negative
620,negative
628,negative
628,negative
624,negative
628,negative
620,negative
624,negative
628,negative
632,negative
640,negative
652,negative
664,negative
672,negative
648,negative
580,negative
568,negative
556,negative
552,negative
556,negative
560,negative
580,negative
624,negative
664,negative
664,negative
668,negative
660,negative
676,negative
664,negative
660,negative
656,negative
656,negative
656,negative
660,negative
660,negative
656,negative
652,negative
620,negative
604,negative
620,negative
612,negative
604,negative
608,negative
596,negative
596,negative
616,negative
636,negative
652,negative
644,negative
648,negative
656,negative
656,negative
648,negative
652,negative
648,negative
656,negative
652,negative
636,negative
636,negative
644,negative
644,negative
620,negative
600,negative
552,positive
548,positive
544,positive
540,positive
540,positive
544,positive
580,positive
628,positive
684,positive
672,positive
636,positive
628,positive
632,positive
624,positive
616,positive
608,positive
600,positive
600,positive
600,positive
592,positive
600,positive
600,positive
612,positive
624,positive
616,positive
636,positive
636,positive
632,positive
624,positive
616,positive
604,positive
596,positive
588,positive
580,positive
584,positive
584,positive
588,positive
608,positive
628,positive
628,positive
628,positive
616,positive
624,positive
632,positive
640,positive
636,positive
628,positive
644,positive
660,positive
536,negative
536,negative
540,negative
544,negative
568,negative
608,negative
680,negative
692,negative
680,negative
692,negative
656,negative
636,negative
616,negative
608,negative
600,negative
580,negative
568,negative
560,negative
548,negative
548,negative
548,negative
548,negative
564,negative
588,negative
608,negative
560,positive
556,positive
548,positive
544,positive
536,positive
528,positive
528,positive
524,positive
520,positive
516,positive
512,positive
508,positive
520,positive
520,positive
532,positive
568,positive
588,positive
612,positive
600,positive
608,positive
628,positive
644,positive
648,positive
640,positive
644,positive
640,positive
572,negative
584,negative
596,negative
596,negative
584,negative
576,negative
572,negative
568,negative
572,negative
564,negative
572,negative
568,negative
576,negative
580,negative
580,negative
576,negative
580,negative
572,negative
572,negative
568,negative
556,negative
552,negative
548,negative
544,negative
548,negative
544,negative
616,neutral
624,neutral
620,neutral
612,neutral
604,neutral
608,neutral
608,neutral
596,neutral
592,neutral
588,neutral
592,neutral
608,neutral
628,neutral
624,neutral
620,neutral
620,neutral
608,neutral
584,neutral
580,neutral
580,neutral
576,neutral
588,neutral
580,neutral
568,neutral
564,neutral
580,positive
576,positive
576,positive
576,positive
576,positive
588,positive
600,positive
608,positive
600,positive
596,positive
608,positive
604,positive
604,positive
608,positive
612,positive
628,positive
636,positive
624,positive
616,positive
612,positive
596,positive
584,positive
584,positive
584,positive
568,positive
556,neutral
552,neutral
548,neutral
