A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
387.300,85.060,21.530,6.327,448.600,79.920,16.360,3.512,168.600,28.350,5.104,1.443,236.600,47.990,10.960,3.745,baseline
385.300,84.920,21.290,6.306,449.800,79.880,15.990,3.476,169.600,28.770,5.132,1.423,238.800,48.250,11.150,3.786,baseline
383.800,86.210,21.430,6.384,444.700,81.030,16.170,3.513,172.100,28.670,5.050,1.441,242.000,48.750,11.230,3.872,baseline
397.000,86.300,21.320,6.167,442.600,79.720,15.900,3.428,172.100,28.500,5.128,1.415,237.000,47.360,10.740,3.695,baseline
385.300,84.100,20.510,6.173,442.400,78.890,15.970,3.479,166.900,28.420,5.060,1.405,235.800,46.850,10.770,3.641,baseline
384.100,84.770,20.930,6.254,439.800,79.730,15.830,3.436,169.500,28.230,5.051,1.405,233.200,47.020,10.890,3.665,baseline
376.300,85.960,21.060,6.133,450.600,80.110,16.360,3.457,169.800,28.000,5.037,1.421,235.500,47.110,10.830,3.695,baseline
379.000,85.410,20.990,6.227,445.100,79.250,16.000,3.449,170.800,28.500,5.086,1.405,236.100,47.510,11.000,3.743,baseline
387.400,87.620,21.330,6.280,441.400,79.730,16.150,3.468,168.500,28.680,4.998,1.436,239.700,48.020,10.990,3.760,baseline
395.700,85.880,20.910,6.285,455.000,79.740,15.820,3.469,170.500,28.650,5.024,1.429,240.100,48.250,11.170,3.813,baseline
389.800,84.980,21.760,6.314,450.000,80.860,16.390,3.509,170.500,28.910,5.054,1.422,243.800,48.660,11.150,3.913,baseline
398.200,89.300,21.440,6.368,454.600,79.970,16.120,3.449,170.700,28.760,5.150,1.416,241.500,47.520,11.130,3.718,baseline
386.800,86.300,21.380,6.315,440.200,79.870,16.120,3.407,169.500,28.190,5.049,1.415,235.700,47.160,10.970,3.676,baseline
384.900,84.770,21.170,6.177,443.700,81.140,16.250,3.466,168.700,28.420,5.007,1.394,235.800,47.330,10.870,3.679,baseline
385.600,87.410,21.470,6.195,446.900,80.660,16.380,3.482,168.000,27.990,4.983,1.383,235.200,48.110,10.920,3.701,baseline
392.000,87.160,20.900,6.284,448.500,79.290,16.510,3.486,167.500,28.280,5.025,1.400,237.500,47.500,10.970,3.794,baseline
388.600,86.930,21.370,6.211,451.900,79.680,16.360,3.502,168.300,28.510,5.023,1.403,241.000,48.270,11.140,3.810,baseline
393.900,89.070,21.800,6.398,457.600,79.760,16.430,3.508,171.300,28.410,5.077,1.422,242.400,48.920,11.310,3.799,baseline
396.100,88.440,21.740,6.479,456.200,80.760,16.270,3.491,171.700,28.760,5.063,1.445,245.100,49.310,11.290,3.905,baseline
404.600,88.050,22.210,6.444,456.500,79.740,16.010,3.509,173.000,28.440,5.088,1.417,243.100,49.070,11.100,3.794,baseline
392.700,88.060,21.630,6.294,455.900,80.070,16.090,3.490,171.300,28.370,4.998,1.377,238.200,48.300,10.900,3.761,baseline
392.600,86.980,21.570,6.283,451.200,79.930,15.790,3.492,168.400,28.250,4.919,1.398,238.200,47.460,10.990,3.774,baseline
394.700,87.120,21.660,6.476,449.700,80.930,16.340,3.511,170.600,28.010,4.980,1.376,238.700,48.080,10.960,3.763,baseline
395.400,87.590,21.680,6.334,460.500,80.790,16.360,3.482,170.800,28.220,5.065,1.386,239.500,48.070,11.110,3.762,baseline
397.300,87.420,22.100,6.426,449.900,81.030,16.210,3.464,170.900,28.600,4.985,1.415,242.200,48.750,11.140,3.768,baseline
394.300,88.360,21.800,6.545,449.500,81.600,16.640,3.552,170.000,28.670,5.077,1.409,245.400,49.880,11.340,3.858,baseline
395.300,88.000,22.380,6.642,458.300,80.750,16.400,3.577,170.600,28.700,5.051,1.404,247.200,49.980,11.550,3.903,baseline
410.500,88.000,22.050,6.444,453.500,81.150,16.000,3.496,169.400,28.390,5.040,1.405,241.000,48.260,11.080,3.771,baseline
389.100,88.840,21.740,6.336,447.300,79.640,16.220,3.503,167.600,28.180,4.964,1.388,238.500,47.240,10.910,3.780,baseline
395.600,88.340,21.660,6.412,449.500,81.050,16.290,3.448,170.100,27.980,4.924,1.382,240.600,48.270,11.130,3.854,baseline
395.200,87.140,22.180,6.389,454.200,81.390,16.380,3.465,168.700,28.330,4.954,1.374,239.200,47.690,11.180,3.834,baseline
396.300,86.820,21.910,6.308,459.000,80.060,16.240,3.485,169.400,28.470,4.985,1.374,242.200,48.960,11.240,3.857,baseline
403.800,88.210,21.970,6.518,451.200,81.020,16.290,3.563,169.900,28.460,4.993,1.401,245.400,49.340,11.420,3.905,baseline
400.200,89.490,22.190,6.558,460.500,81.340,16.560,3.519,173.500,28.580,5.082,1.420,248.100,50.260,11.710,3.995,baseline
420.000,90.150,22.440,6.481,455.800,80.850,16.670,3.417,173.800,28.870,4.990,1.415,246.400,48.950,11.250,3.796,baseline
394.900,88.570,21.700,6.388,449.600,81.150,16.380,3.491,169.100,28.210,4.987,1.374,239.400,48.260,11.030,3.809,baseline
399.100,87.430,21.950,6.304,454.900,81.260,16.390,3.506,172.500,28.280,4.882,1.378,240.500,48.230,11.280,3.819,baseline
407.200,88.030,22.160,6.486,454.300,80.360,16.330,3.477,169.300,28.220,4.948,1.391,243.200,48.200,11.190,3.822,baseline
402.900,88.540,22.100,6.544,459.900,81.040,16.260,3.491,171.300,28.250,4.960,1.405,241.400,48.420,11.220,3.858,baseline
398.100,89.710,21.780,6.503,454.400,82.090,16.570,3.469,166.800,28.500,5.028,1.378,244.500,49.290,11.380,3.875,baseline
404.800,88.850,22.270,6.657,462.200,81.080,16.240,3.507,171.100,28.740,4.981,1.416,247.600,49.680,11.610,3.942,baseline
408.500,90.250,22.370,6.659,461.800,82.030,16.430,3.501,172.200,28.850,5.074,1.408,251.100,49.980,11.420,3.872,baseline
402.400,88.810,21.800,6.458,452.400,81.500,16.310,3.502,171.400,28.530,4.948,1.393,242.300,48.450,11.130,3.856,baseline
394.500,88.530,22.100,6.485,453.100,82.150,16.400,3.441,171.100,28.180,4.914,1.377,242.800,48.860,11.230,3.850,baseline
393.300,90.420,22.030,6.597,462.900,81.260,16.500,3.430,171.400,28.400,5.019,1.401,243.800,48.750,11.470,3.830,baseline
400.500,88.250,22.160,6.339,456.300,81.600,16.520,3.501,170.800,28.090,4.993,1.402,242.500,49.200,11.310,3.863,baseline
401.700,89.690,22.300,6.642,453.000,82.620,16.620,3.516,168.500,28.340,5.027,1.397,246.400,49.370,11.480,3.853,baseline
403.900,90.600,22.380,6.542,469.700,81.840,16.600,3.490,170.100,28.750,4.930,1.400,249.900,50.270,11.650,4.022,baseline
412.700,90.410,22.470,6.539,456.700,82.190,16.610,3.501,172.600,28.890,5.024,1.399,249.800,49.850,11.540,3.833,baseline
399.200,88.660,21.780,6.481,452.100,80.240,15.920,3.486,171.900,28.020,4.929,1.393,242.500,49.210,11.050,3.784,baseline
395.500,88.450,22.230,6.488,455.600,81.890,16.390,3.432,170.900,28.220,4.978,1.377,243.700,48.380,11.310,3.823,baseline
407.400,88.400,21.940,6.459,455.400,80.520,16.650,3.494,169.300,28.240,4.919,1.360,244.700,48.510,11.320,3.854,baseline
400.200,87.460,22.190,6.560,450.200,81.570,16.540,3.420,170.100,28.360,4.958,1.388,244.600,49.560,11.460,3.890,baseline
403.900,88.840,22.080,6.479,457.200,81.890,16.480,3.533,169.800,28.510,4.968,1.387,247.800,49.680,11.490,3.928,baseline
402.400,90.550,22.430,6.549,464.800,83.440,16.220,3.617,170.100,28.630,4.968,1.409,251.700,50.470,11.530,3.950,baseline
402.100,91.670,22.700,6.486,457.300,82.470,16.190,3.447,174.200,28.770,5.072,1.394,247.000,49.370,11.300,3.857,baseline
400.700,89.700,21.780,6.498,453.300,81.890,16.260,3.488,170.900,28.170,4.965,1.388,242.900,48.780,11.030,3.810,baseline
399.600,89.610,22.220,6.466,462.600,80.790,16.350,3.494,170.800,28.410,4.991,1.366,243.800,48.770,11.180,3.876,baseline
408.200,89.600,22.140,6.475,459.400,82.560,15.920,3.505,172.400,28.390,5.011,1.405,243.300,49.060,11.260,3.836,baseline
403.800,86.990,22.380,6.479,458.800,81.680,16.240,3.534,169.800,28.460,4.936,1.385,245.300,49.210,11.300,3.885,baseline
409.400,90.300,22.310,6.657,458.800,81.470,16.420,3.491,173.000,28.350,5.014,1.407,248.400,49.920,11.430,3.900,baseline
413.800,91.160,22.550,6.583,459.300,83.710,16.760,3.513,173.800,28.430,5.041,1.416,250.800,50.590,11.600,3.947,baseline
408.300,89.520,22.220,6.423,456.700,82.430,16.210,3.498,172.200,28.640,5.005,1.383,243.600,48.610,11.160,3.803,baseline
403.800,87.840,21.850,6.467,463.700,81.590,16.630,3.481,171.100,28.180,4.961,1.389,240.800,48.430,11.120,3.785,baseline
401.400,89.450,22.390,6.472,463.600,81.890,16.270,3.480,171.200,28.390,5.066,1.397,243.700,49.200,11.170,3.848,baseline
403.800,89.990,21.750,6.474,465.700,81.330,16.680,3.520,167.600,28.250,5.010,1.376,244.700,49.340,11.220,3.801,baseline
405.700,88.330,22.160,6.587,461.400,81.130,16.440,3.519,168.600,28.600,5.056,1.407,244.800,49.340,11.200,3.837,baseline
403.600,90.710,22.480,6.578,464.100,82.100,16.820,3.521,171.100,28.530,5.043,1.415,247.800,50.010,11.480,3.921,baseline
413.100,90.680,22.350,6.697,467.100,81.940,16.640,3.472,171.300,28.900,5.095,1.393,249.200,49.720,11.340,3.873,baseline
405.800,89.300,22.100,6.530,458.900,81.530,16.410,3.523,170.400,28.620,4.944,1.423,243.300,48.010,11.090,3.771,baseline
394.800,88.980,21.840,6.538,465.400,82.090,16.530,3.507,172.900,28.520,4.945,1.386,244.000,48.610,11.120,3.796,baseline
402.400,91.800,22.070,6.501,455.500,82.080,16.450,3.527,170.900,28.450,5.004,1.407,243.100,48.830,11.240,3.814,baseline
405.100,90.690,22.040,6.493,458.700,81.410,16.420,3.523,171.600,28.520,5.110,1.397,242.900,48.780,11.330,3.837,baseline
404.200,90.670,22.620,6.580,462.600,81.490,16.560,3.540,171.800,28.480,5.054,1.407,245.400,49.750,11.350,3.851,baseline
412.700,90.250,22.650,6.618,461.900,83.070,16.700,3.516,172.300,28.660,5.178,1.425,248.500,49.840,11.490,3.929,baseline
413.600,91.520,22.490,6.573,465.000,82.100,16.310,3.419,172.500,28.840,5.030,1.432,244.900,48.930,11.140,3.796,baseline
399.800,90.600,22.030,6.481,463.200,82.070,16.730,3.511,171.900,28.490,5.074,1.405,241.000,48.630,11.060,3.834,baseline
406.600,90.670,21.810,6.465,463.800,82.180,16.470,3.543,168.300,28.370,5.013,1.422,243.100,48.830,11.130,3.808,baseline
410.200,90.510,22.190,6.578,458.700,82.040,16.870,3.542,171.600,28.430,5.058,1.421,244.500,48.620,11.250,3.800,baseline
399.900,89.220,22.150,6.679,465.600,82.170,16.450,3.529,169.300,28.610,5.066,1.412,244.200,48.780,11.140,3.776,baseline
410.400,90.220,22.630,6.645,469.600,83.970,16.690,3.506,168.800,28.390,5.025,1.411,246.100,49.460,11.310,3.817,baseline
411.700,90.830,22.350,6.698,475.000,81.740,16.630,3.536,171.100,28.780,5.087,1.439,249.100,49.820,11.560,3.913,baseline
411.800,90.720,22.740,6.542,455.000,81.510,16.510,3.521,170.800,28.890,5.110,1.432,244.100,48.640,11.080,3.756,baseline
403.100,89.830,22.420,6.541,452.000,82.030,16.460,3.521,172.500,28.490,5.084,1.432,242.100,48.630,11.090,3.709,baseline
406.500,90.040,22.450,6.590,461.000,80.960,16.390,3.492,173.200,28.500,5.107,1.383,243.500,48.980,11.180,3.808,baseline
402.900,90.220,22.250,6.518,457.100,81.920,16.460,3.498,170.600,28.790,5.059,1.400,242.100,48.700,11.130,3.827,baseline
410.600,89.890,22.800,6.484,459.100,83.410,16.770,3.538,170.200,28.470,5.025,1.424,244.000,49.150,11.180,3.841,baseline
412.400,90.610,22.320,6.589,458.200,82.590,16.410,3.617,171.000,28.670,5.145,1.430,245.500,49.460,11.290,3.906,baseline
404.700,90.450,22.720,6.742,473.500,81.990,16.820,3.582,173.000,28.700,5.082,1.427,247.700,49.390,11.210,3.829,baseline
398.300,89.250,22.130,6.409,463.300,81.980,16.750,3.568,170.800,28.380,5.033,1.404,240.300,48.240,11.060,3.745,baseline
401.200,89.440,22.040,6.472,457.100,82.400,16.360,3.566,166.900,28.360,5.031,1.413,239.700,48.110,11.030,3.749,baseline
400.200,90.140,21.920,6.548,455.900,81.460,16.360,3.545,169.500,28.320,5.040,1.417,239.100,47.930,10.950,3.751,baseline
396.800,89.980,22.170,6.521,460.000,82.430,16.540,3.570,170.000,28.440,5.058,1.420,240.900,47.810,11.050,3.771,baseline
405.000,90.710,22.030,6.397,462.100,83.320,16.840,3.577,170.600,28.350,5.092,1.405,243.000,48.920,11.080,3.735,baseline
410.300,91.600,22.540,6.519,453.100,81.720,16.900,3.601,173.300,28.610,5.129,1.446,244.300,49.090,11.200,3.817,baseline
410.000,91.260,22.510,6.431,457.700,82.230,16.670,3.509,173.200,28.820,5.015,1.433,242.200,48.270,11.020,3.673,baseline
403.300,88.110,21.930,6.364,455.000,81.790,16.750,3.558,167.600,28.170,5.030,1.422,236.200,47.250,10.700,3.682,baseline
400.700,87.910,22.230,6.389,462.300,82.040,16.420,3.558,168.100,28.190,4.976,1.398,237.000,47.230,10.700,3.650,baseline
398.900,87.720,21.860,6.399,461.400,81.280,16.440,3.507,168.900,28.230,5.001,1.403,237.000,47.360,10.820,3.673,baseline
395.500,89.020,22.120,6.373,454.300,81.290,16.630,3.539,171.500,28.240,5.057,1.416,237.700,47.910,10.910,3.698,baseline
397.400,88.910,21.970,6.414,455.300,81.470,16.170,3.577,169.400,28.520,5.068,1.416,237.900,47.330,10.870,3.714,baseline
401.100,88.850,22.320,6.431,460.600,82.810,16.840,3.494,170.100,28.300,5.093,1.430,240.300,48.330,10.920,3.753,baseline
402.600,90.140,22.300,6.539,458.800,82.350,16.750,3.476,168.900,28.600,5.070,1.432,237.600,47.070,10.720,3.640,baseline
391.600,88.000,21.160,6.326,459.000,81.950,16.140,3.535,170.400,28.260,4.996,1.397,233.900,46.790,10.540,3.596,baseline
396.400,87.990,21.240,6.253,457.500,79.470,16.400,3.533,167.400,28.160,4.973,1.408,234.700,46.540,10.610,3.590,baseline
395.100,87.140,21.580,6.280,450.200,81.230,16.340,3.495,168.200,28.120,5.054,1.398,234.300,46.190,10.630,3.568,baseline
399.300,87.040,21.470,6.329,450.200,81.040,16.660,3.576,168.100,28.270,5.102,1.429,233.600,46.500,10.620,3.579,baseline
396.900,88.670,21.460,6.341,449.100,81.490,16.740,3.609,170.100,28.350,5.085,1.417,233.800,46.870,10.680,3.588,baseline
398.800,88.610,21.590,6.344,444.800,80.370,16.720,3.565,167.200,28.370,5.079,1.436,236.500,47.230,10.810,3.682,baseline
392.000,89.000,21.760,6.373,456.300,81.140,16.910,3.564,167.700,28.680,5.166,1.429,235.900,46.700,10.620,3.559,baseline
394.100,87.970,21.540,6.263,455.200,80.750,16.650,3.544,166.600,28.090,5.040,1.391,230.800,46.130,10.490,3.513,baseline
393.100,85.720,21.150,6.091,451.700,80.550,16.670,3.535,167.200,27.950,4.939,1.376,231.500,45.750,10.500,3.542,baseline
386.000,87.250,20.920,6.249,442.400,80.250,16.300,3.577,166.100,28.160,5.014,1.433,228.600,46.260,10.380,3.524,baseline
389.700,87.610,21.270,6.174,449.900,80.860,16.800,3.513,165.700,27.990,5.015,1.426,231.800,45.720,10.570,3.543,baseline
389.200,86.630,21.200,6.205,448.000,80.180,16.550,3.593,171.300,28.200,4.977,1.406,231.600,46.300,10.510,3.547,baseline
391.200,88.210,21.290,6.301,456.300,81.060,16.490,3.571,168.300,28.350,5.047,1.415,234.100,46.330,10.510,3.578,baseline
393.100,86.910,21.530,6.285,461.300,81.680,16.820,3.578,167.000,28.600,5.055,1.422,235.400,47.220,10.790,3.653,baseline
394.900,87.150,21.700,6.231,449.300,80.680,16.640,3.624,169.700,28.380,5.072,1.434,233.200,46.380,10.450,3.516,baseline
377.600,86.100,21.360,6.087,448.500,81.210,16.780,3.549,167.900,28.310,5.021,1.403,228.600,45.660,10.330,3.469,baseline
388.100,86.400,20.830,6.056,459.700,81.610,16.260,3.550,167.400,28.150,5.005,1.419,230.300,45.570,10.300,3.479,baseline
390.100,84.690,20.910,6.213,456.700,79.880,16.590,3.538,166.800,28.380,5.044,1.403,229.500,45.530,10.370,3.529,baseline
391.600,85.090,21.010,6.186,448.800,81.120,16.590,3.592,168.000,28.080,4.971,1.421,231.000,45.740,10.430,3.544,baseline
387.900,85.930,20.860,6.195,448.900,81.320,16.430,3.538,164.800,28.350,5.074,1.431,231.800,45.960,10.480,3.522,baseline
388.800,86.290,21.480,6.256,457.900,81.980,16.490,3.547,170.200,28.450,5.079,1.419,232.300,46.410,10.570,3.536,baseline
393.900,86.840,21.750,6.399,451.600,82.790,16.630,3.596,168.500,28.500,5.079,1.431,235.700,46.840,10.710,3.578,baseline
395.300,87.770,21.360,6.211,447.200,80.850,16.670,3.520,167.700,28.370,5.090,1.430,228.200,45.670,10.180,3.510,baseline
386.900,85.500,21.430,6.081,447.900,79.740,16.410,3.543,165.700,28.170,5.018,1.409,227.900,45.350,10.320,3.457,baseline
381.600,86.090,21.290,6.107,448.800,81.040,16.280,3.490,168.900,27.940,5.005,1.434,228.600,45.380,10.280,3.447,baseline
387.000,85.640,20.980,6.020,448.600,81.820,16.520,3.484,168.300,28.110,4.970,1.415,228.800,45.120,10.160,3.445,baseline
383.000,85.280,21.230,6.126,449.700,81.050,16.470,3.524,166.900,28.290,4.998,1.425,229.300,45.480,10.220,3.513,baseline
385.700,86.390,21.570,6.152,450.700,80.590,16.580,3.658,169.100,28.580,5.097,1.416,231.400,46.150,10.380,3.539,baseline
390.600,86.750,21.120,6.241,458.500,80.430,16.580,3.551,168.000,28.480,5.141,1.431,232.900,46.210,10.380,3.593,baseline
393.900,87.190,21.200,6.124,452.900,81.500,16.520,3.646,168.000,28.490,5.140,1.438,234.100,46.530,10.490,3.590,baseline
389.500,87.550,21.150,6.062,453.400,80.620,16.530,3.557,170.200,28.430,5.089,1.422,230.000,45.580,10.320,3.460,baseline
384.600,84.040,21.280,6.107,438.300,81.200,16.430,3.553,166.200,28.160,5.007,1.425,226.700,45.160,10.180,3.467,baseline
387.300,84.920,21.030,6.068,448.800,80.300,16.380,3.521,166.200,28.110,5.099,1.414,227.800,45.260,10.130,3.504,baseline
385.100,83.210,20.970,6.080,451.400,80.400,16.480,3.555,169.300,28.160,5.065,1.428,228.000,45.340,10.230,3.458,baseline
386.900,85.390,20.850,6.069,453.600,81.140,16.460,3.574,169.300,28.450,5.036,1.439,228.500,45.610,10.270,3.468,baseline
386.600,86.060,21.230,6.163,446.100,80.970,16.910,3.550,168.200,28.090,5.029,1.427,231.600,45.470,10.430,3.564,baseline
385.200,84.660,21.090,6.279,449.200,81.550,16.550,3.560,170.900,28.610,5.116,1.401,232.300,46.000,10.580,3.538,baseline
392.000,87.210,21.410,6.264,456.500,81.230,16.660,3.582,169.200,28.690,5.146,1.454,232.800,46.250,10.630,3.561,baseline
391.700,85.930,21.030,6.171,453.300,81.410,16.470,3.528,168.900,28.630,5.082,1.449,230.900,46.220,10.280,3.514,baseline
386.200,83.900,21.170,5.971,448.000,81.450,16.350,3.484,168.100,28.040,5.027,1.421,227.000,45.170,10.330,3.465,baseline
384.600,84.170,20.600,6.109,444.500,79.270,16.500,3.590,169.500,28.130,4.980,1.390,227.600,45.150,10.160,3.466,baseline
388.700,85.530,20.940,6.094,449.800,80.580,16.240,3.569,167.600,28.180,4.995,1.420,228.500,44.900,10.130,3.451,baseline
380.600,85.060,20.900,6.070,452.100,80.990,16.450,3.566,165.600,28.370,5.048,1.410,227.700,45.240,10.250,3.580,baseline
385.600,84.720,20.990,6.161,455.200,80.220,16.550,3.581,172.300,28.420,5.033,1.431,231.400,46.180,10.420,3.509,baseline
388.100,87.440,21.070,6.178,454.000,80.890,16.770,3.585,168.200,28.320,5.038,1.426,233.400,46.150,10.540,3.565,baseline
386.500,85.100,21.210,6.200,457.200,81.300,16.430,3.584,169.300,28.640,5.047,1.431,234.600,46.420,10.680,3.624,baseline
393.500,87.890,21.510,6.251,457.800,81.830,16.520,3.570,172.400,28.530,5.128,1.449,235.700,46.900,10.560,3.549,baseline
390.200,86.460,20.730,6.102,453.600,80.260,16.450,3.552,169.300,28.280,5.057,1.421,230.000,45.170,10.320,3.463,baseline
378.800,85.660,20.790,6.032,448.700,80.370,16.170,3.530,168.800,28.370,5.078,1.430,228.900,45.660,10.340,3.519,baseline
380.600,85.150,20.930,6.117,439.700,80.920,16.260,3.560,165.800,28.200,5.056,1.430,228.200,45.600,10.290,3.467,baseline
382.300,85.460,20.850,6.208,448.800,81.120,16.700,3.508,168.200,28.220,5.037,1.405,229.100,45.050,10.400,3.513,baseline
390.300,86.050,20.610,6.182,449.000,81.030,16.750,3.543,168.600,28.320,5.068,1.419,230.900,45.870,10.400,3.563,baseline
388.900,86.500,21.120,6.160,449.400,80.220,16.580,3.553,167.500,28.410,5.065,1.435,233.000,46.530,10.500,3.591,baseline
389.400,87.300,21.380,6.245,452.200,81.220,16.540,3.596,169.400,28.540,5.131,1.430,235.000,46.670,10.630,3.656,baseline
385.700,86.770,21.780,6.340,457.700,80.980,16.470,3.571,170.100,28.620,5.154,1.443,236.100,47.360,10.770,3.682,baseline
388.500,86.370,21.090,6.162,457.500,78.960,16.880,3.553,170.700,28.510,5.111,1.420,231.500,46.060,10.350,3.550,baseline
391.800,85.170,21.190,6.106,447.000,80.470,16.300,3.512,168.200,28.310,5.049,1.426,228.800,45.650,10.400,3.549,baseline
379.200,86.240,20.840,6.210,447.700,80.770,16.560,3.548,166.800,28.110,5.000,1.436,229.800,45.860,10.370,3.576,baseline
385.800,85.590,20.740,6.128,447.700,81.280,16.210,3.534,170.000,28.310,5.007,1.430,229.800,45.440,10.370,3.546,baseline
387.200,85.010,21.130,6.109,451.600,80.690,16.370,3.558,168.200,28.400,5.070,1.426,231.800,46.200,10.490,3.587,baseline
381.900,86.440,21.080,6.160,457.400,80.660,16.630,3.502,170.100,28.520,5.083,1.422,232.600,46.640,10.680,3.583,baseline
388.900,86.570,20.980,6.225,459.300,81.720,16.640,3.546,170.100,28.740,5.111,1.413,236.200,46.880,10.810,3.649,baseline
388.300,88.450,21.360,6.373,456.500,83.050,16.490,3.581,168.000,28.600,5.106,1.443,238.400,47.400,10.790,3.731,baseline
397.600,86.700,21.090,6.181,453.800,80.590,16.420,3.524,168.900,28.580,5.098,1.434,231.700,45.840,10.480,3.564,baseline
390.100,86.110,21.310,6.028,451.000,80.580,16.470,3.530,168.400,28.430,5.006,1.426,229.600,45.540,10.520,3.574,baseline
391.800,85.720,21.070,6.230,451.900,80.480,16.580,3.475,169.100,28.330,5.045,1.408,232.100,45.720,10.450,3.612,baseline
385.200,85.860,20.550,6.157,450.000,80.210,16.300,3.502,169.300,28.270,5.087,1.401,230.900,45.940,10.420,3.606,baseline
383.500,83.840,20.950,6.177,446.400,79.650,16.630,3.536,170.500,28.290,5.030,1.394,231.600,46.290,10.520,3.604,baseline
391.400,86.710,21.380,6.264,446.000,80.560,16.500,3.598,170.700,28.490,5.094,1.403,233.000,46.830,10.670,3.623,baseline
396.300,86.490,21.210,6.210,451.200,81.820,16.510,3.564,169.000,28.610,5.095,1.415,236.100,47.220,10.850,3.684,baseline
393.700,88.320,21.800,6.253,454.300,81.380,16.400,3.536,172.300,28.720,5.095,1.426,238.500,47.230,10.750,3.726,baseline
390.100,85.190,21.090,6.225,444.200,80.640,16.450,3.521,167.400,28.530,4.993,1.412,232.700,46.720,10.550,3.589,baseline
385.700,85.740,20.970,6.128,450.900,80.760,16.710,3.496,167.100,28.240,4.973,1.406,230.300,45.630,10.370,3.554,baseline
380.500,86.160,21.030,6.127,459.500,80.180,16.420,3.449,169.300,28.010,4.992,1.392,231.800,45.800,10.480,3.555,baseline
380.100,85.910,20.840,6.118,449.000,80.700,16.490,3.483,168.500,28.120,5.019,1.400,229.500,45.920,10.490,3.512,baseline
380.100,85.550,21.350,6.128,456.200,79.980,16.800,3.438,168.800,28.310,4.957,1.410,231.600,45.970,10.490,3.573,baseline
379.300,84.650,21.300,6.187,451.700,80.590,16.110,3.611,170.400,28.270,5.060,1.418,232.700,46.430,10.650,3.633,baseline
392.400,87.040,21.320,6.173,458.500,80.230,16.800,3.520,169.000,28.290,5.037,1.450,235.100,47.180,10.730,3.659,baseline
390.900,86.510,21.540,6.285,453.600,80.630,16.700,3.517,171.900,28.520,5.100,1.436,236.000,47.540,10.670,3.616,baseline
395.300,86.520,20.830,6.085,452.300,80.290,16.350,3.561,169.100,28.380,5.077,1.391,230.700,45.720,10.520,3.560,baseline
388.300,85.440,21.030,6.102,446.400,80.820,16.120,3.542,167.100,28.270,4.957,1.395,229.700,45.630,10.370,3.552,baseline
383.400,85.050,20.670,6.164,441.700,80.930,16.410,3.509,167.900,28.180,5.011,1.421,231.700,45.960,10.490,3.534,baseline
384.800,85.960,20.680,6.128,458.100,79.650,16.250,3.540,166.700,28.120,4.986,1.405,229.500,45.920,10.340,3.568,baseline
381.200,85.420,20.840,6.163,452.600,80.890,16.600,3.553,167.200,28.180,4.983,1.388,231.500,45.740,10.570,3.584,baseline
387.600,87.010,21.450,6.234,458.000,80.710,16.450,3.585,168.600,28.470,5.093,1.398,234.400,46.210,10.710,3.675,baseline
387.400,84.950,21.590,6.211,446.500,81.310,16.470,3.509,170.900,28.450,5.018,1.391,233.900,46.760,10.830,3.670,baseline
393.300,86.920,21.780,6.226,457.200,81.660,16.470,3.556,171.300,28.550,5.134,1.435,234.500,46.600,10.540,3.580,baseline
388.700,87.240,20.850,6.108,447.600,79.210,16.060,3.542,166.300,28.280,5.019,1.416,231.300,45.910,10.390,3.550,baseline
386.200,85.190,20.720,6.108,450.500,80.380,16.410,3.455,168.200,28.300,5.083,1.408,229.100,45.790,10.410,3.514,baseline
386.100,86.430,21.030,6.149,455.100,79.770,16.340,3.533,167.800,28.290,5.117,1.391,230.700,46.010,10.400,3.562,baseline
388.800,85.740,20.660,6.098,456.900,79.460,16.360,3.507,167.600,28.390,5.016,1.416,230.300,45.420,10.390,3.519,baseline
393.300,84.800,21.120,6.258,446.700,80.050,16.750,3.551,168.800,28.290,4.996,1.406,232.600,46.430,10.550,3.595,baseline
