A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
1606.0,379.5,95.72,28.4,1652.0,434.9,98.83,26.98,241.3,68.76,20.68,7.341,307.8,84.87,24.32,8.767,easy
1618.0,375.8,96.02,28.51,1661.0,437.4,99.81,26.95,240.3,68.87,20.64,7.32,307.6,84.48,24.24,8.748,easy
1603.0,378.6,95.95,28.5,1663.0,436.1,99.42,27.11,241.7,68.8,20.74,7.353,307.8,85.0,24.26,8.821,easy
1611.0,380.6,96.32,28.73,1657.0,436.3,99.04,27.04,242.8,68.98,20.66,7.368,309.0,85.41,24.43,8.853,easy
1614.0,380.8,96.77,28.98,1664.0,440.0,99.98,27.13,242.5,69.1,20.76,7.381,311.8,85.9,24.6,8.941,easy
1623.0,382.1,97.23,29.0,1677.0,439.6,99.95,27.22,242.9,69.27,20.82,7.379,312.2,86.14,24.83,9.009,easy
1641.0,385.8,97.75,29.18,1681.0,440.1,100.2,27.33,245.4,69.35,20.85,7.415,314.1,87.07,24.93,8.988,easy
1643.0,386.0,98.63,29.18,1672.0,442.1,100.2,27.28,243.9,69.59,20.92,7.421,315.7,87.48,25.08,9.07,easy
1654.0,388.1,97.71,28.9,1677.0,437.5,100.0,27.01,245.2,69.42,20.77,7.365,312.0,86.0,24.61,8.851,easy
1611.0,380.8,96.55,28.4,1653.0,435.2,99.05,26.96,242.5,69.01,20.67,7.311,308.5,84.89,24.27,8.805,easy
1603.0,375.7,95.3,28.23,1653.0,434.9,99.25,26.88,241.1,68.95,20.64,7.315,307.3,84.67,24.17,8.708,easy
1595.0,375.2,95.36,28.36,1662.0,437.0,99.57,26.99,242.8,68.85,20.65,7.319,305.9,84.41,24.13,8.74,easy
1593.0,374.4,95.58,28.23,1653.0,435.2,98.71,26.94,242.8,68.87,20.65,7.31,307.0,84.64,24.14,8.731,easy
1610.0,376.4,95.64,28.42,1658.0,437.1,98.88,27.04,241.8,69.04,20.72,7.34,306.3,84.69,24.21,8.75,easy
1606.0,377.5,96.49,28.42,1656.0,434.8,99.36,27.01,241.1,69.04,20.73,7.346,308.1,85.33,24.44,8.848,easy
1618.0,380.1,96.99,28.69,1666.0,438.1,99.81,27.05,243.0,69.09,20.69,7.371,309.8,85.79,24.51,8.928,easy
1626.0,381.7,97.21,28.78,1666.0,439.7,99.69,27.29,242.3,69.31,20.81,7.383,311.6,86.25,24.84,8.919,easy
1633.0,384.6,98.04,29.1,1672.0,439.6,99.79,27.31,242.2,69.45,20.83,7.41,313.5,87.16,24.86,9.021,easy
1635.0,387.9,98.56,29.32,1677.0,442.2,100.2,27.37,243.4,69.57,20.86,7.398,316.0,87.65,25.1,9.093,easy
1655.0,388.1,98.3,28.96,1670.0,438.3,99.36,27.14,243.7,69.65,20.9,7.448,313.3,86.46,24.77,8.895,easy
1610.0,379.7,96.56,28.58,1662.0,436.0,98.42,27.01,242.7,69.08,20.78,7.354,309.9,85.44,24.34,8.836,easy
1600.0,376.1,95.98,28.28,1656.0,437.1,98.79,27.02,242.2,68.93,20.62,7.348,308.0,85.1,24.19,8.736,easy
1592.0,376.5,95.56,28.39,1657.0,435.0,99.15,27.03,239.6,69.01,20.63,7.353,308.1,85.24,24.22,8.796,easy
1593.0,377.3,96.08,28.21,1658.0,437.7,98.98,26.94,241.5,68.76,20.66,7.32,306.2,84.53,24.26,8.742,easy
1606.0,376.5,95.76,28.51,1659.0,436.2,99.28,27.08,240.6,68.86,20.63,7.315,307.9,85.24,24.33,8.796,easy
1598.0,376.0,97.14,28.42,1666.0,437.6,99.47,27.12,242.4,68.97,20.63,7.348,308.9,85.28,24.42,8.826,easy
1614.0,379.0,96.94,28.79,1665.0,437.6,99.62,27.24,242.5,69.22,20.84,7.381,309.6,85.98,24.54,8.91,easy
1624.0,381.5,97.45,28.88,1667.0,438.5,99.72,27.15,240.5,69.18,20.82,7.412,311.9,86.51,24.65,8.948,easy
1627.0,382.6,97.89,29.0,1687.0,439.8,99.39,27.21,243.4,69.55,20.79,7.403,313.0,86.72,24.86,8.932,easy
1618.0,380.4,96.56,28.56,1661.0,435.7,98.86,27.11,242.8,68.98,20.76,7.334,309.5,85.27,24.34,8.835,easy
1601.0,375.7,95.96,28.33,1656.0,435.8,98.6,27.04,241.4,69.08,20.57,7.333,307.2,84.71,24.26,8.745,easy
1599.0,375.4,95.48,28.26,1654.0,435.1,99.04,26.92,241.0,68.64,20.69,7.311,306.2,84.56,24.2,8.748,easy
1596.0,376.2,95.48,28.23,1661.0,436.8,99.39,27.0,241.0,68.49,20.64,7.309,307.0,84.71,24.19,8.789,easy
1598.0,375.3,95.05,28.41,1660.0,438.3,99.41,27.04,239.4,68.74,20.6,7.279,306.6,84.73,24.24,8.77,easy
1598.0,376.6,95.43,28.42,1661.0,436.1,98.94,27.07,240.6,68.83,20.61,7.313,307.1,85.02,24.36,8.851,easy
1603.0,379.7,96.7,28.53,1658.0,436.8,99.78,27.06,241.9,68.98,20.73,7.359,308.6,85.6,24.48,8.876,easy
1609.0,379.4,96.83,28.84,1674.0,439.1,99.5,27.14,242.6,68.97,20.77,7.348,311.6,86.13,24.58,8.937,easy
1620.0,383.5,97.33,28.99,1687.0,438.5,99.36,27.33,243.2,69.33,20.74,7.369,312.4,86.51,24.91,8.988,easy
