rr_interval,condition
840,easy
848,easy
864,easy
880,easy
904,easy
892,easy
884,easy
908,easy
868,easy
840,easy
876,easy
836,easy
788,easy
788,easy
796,easy
748,easy
772,easy
788,easy
764,easy
780,easy
780,easy
764,easy
792,easy
792,easy
776,easy
808,easy
844,easy
812,easy
824,easy
844,easy
808,easy
828,easy
848,easy
860,easy
852,easy
836,easy
876,easy
800,easy
828,easy
848,easy
848,easy
852,easy
880,easy
884,easy
872,easy
872,easy
848,easy
824,easy
832,easy
808,easy
780,easy
784,easy
796,easy
764,easy
796,easy
824,easy
804,easy
824,easy
832,easy
828,easy
844,easy
820,easy
820,easy
832,easy
800,easy
788,easy
808,easy
804,easy
780,easy
748,easy
728,easy
712,easy
720,easy
800,easy
912,easy
888,easy
808,easy
776,easy
756,easy
116,easy
648,easy
832,easy
960,easy
1032,easy
1048,easy
1040,easy
1024,easy
976,easy
936,easy
900,easy
856,easy
848,easy
856,easy
820,easy
828,easy
812,easy
824,easy
836,easy
840,easy
872,easy
868,easy
860,easy
856,easy
860,easy
804,easy
800,easy
796,easy
784,easy
796,easy
820,easy
848,easy
848,easy
812,easy
832,easy
836,easy
828,easy
812,easy
784,easy
768,easy
752,easy
732,easy
744,easy
772,easy
796,easy
844,easy
844,easy
892,easy
876,easy
848,easy
864,easy
860,easy
844,easy
856,easy
852,easy
840,easy
824,easy
788,easy
784,easy
796,easy
840,easy
868,easy
832,easy
800,easy
256,easy
528,easy
768,easy
784,easy
840,easy
864,easy
920,hard
888,hard
888,hard
284,hard
596,hard
868,hard
832,hard
748,hard
832,hard
780,hard
788,hard
808,hard
856,hard
868,hard
876,hard
880,hard
864,hard
860,hard
840,hard
816,hard
828,hard
812,hard
812,hard
848,hard
828,hard
832,hard
808,hard
840,hard
836,hard
832,hard
808,hard
836,hard
808,hard
808,hard
832,hard
832,hard
816,hard
864,hard
864,easy
840,easy
884,easy
880,easy
868,easy
876,easy
860,easy
856,easy
860,easy
844,easy
836,easy
848,easy
820,easy
784,easy
796,easy
780,easy
748,easy
784,easy
836,easy
840,easy
908,easy
928,easy
916,easy
920,easy
884,easy
888,easy
840,easy
792,easy
788,easy
784,easy
772,easy
792,easy
828,easy
836,easy
884,easy
884,easy
892,easy
860,hard
852,hard
860,hard
836,hard
800,hard
800,hard
824,hard
844,hard
848,hard
860,hard
888,hard
904,hard
912,hard
880,hard
892,hard
896,hard
860,hard
896,hard
860,hard
820,hard
832,hard
852,hard
824,hard
856,hard
884,hard
864,hard
888,hard
880,hard
884,hard
880,hard
860,hard
884,hard
872,hard
836,hard
868,hard
892,easy
880,easy
856,easy
864,easy
816,easy
912,easy
860,easy
844,easy
872,easy
868,easy
852,easy
864,easy
792,easy
872,easy
844,easy
844,easy
804,easy
836,easy
788,easy
880,easy
832,easy
744,easy
44,easy
868,easy
852,easy
888,easy
880,easy
900,easy
892,easy
872,easy
868,easy
844,easy
840,easy
864,easy
824,easy
816,easy
824,easy
844,easy
864,easy
844,easy
860,easy
876,easy
848,easy
880,easy
884,easy
888,easy
908,easy
900,easy
896,easy
896,easy
860,easy
872,easy
872,easy
860,easy
880,easy
892,easy
856,easy
908,easy
896,easy
872,easy
872,easy
868,easy
880,easy
892,easy
884,easy
884,easy
852,easy
848,easy
880,easy
872,easy
904,easy
932,easy
920,easy
928,easy
904,easy
852,easy
688,easy
152,easy
832,easy
804,easy
844,easy
500,easy
284,easy
856,easy
824,easy
800,easy
828,easy
836,easy
788,easy
824,easy
1568,easy
812,easy
744,easy
852,easy
808,easy
816,easy
828,easy
832,easy
808,easy
852,easy
868,easy
864,easy
924,easy
924,easy
912,easy
948,easy
936,easy
900,easy
928,easy
892,easy
852,easy
824,easy
888,easy
880,easy
904,easy
948,easy
904,easy
912,easy
872,easy
844,easy
880,easy
520,easy
328,easy
844,easy
756,easy
860,easy
812,easy
836,easy
824,easy
864,easy
824,easy
988,easy
948,easy
932,easy
984,easy
936,easy
972,easy
932,easy
936,easy
908,easy
964,easy
952,easy
896,easy
892,easy
788,hard
336,hard
396,hard
728,hard
704,hard
708,hard
696,hard
696,hard
700,hard
712,hard
768,hard
732,hard
816,hard
824,hard
892,hard
844,hard
892,hard
912,hard
884,hard
900,hard
912,hard
912,hard
908,hard
924,hard
960,hard
932,hard
948,hard
988,hard
932,hard
936,hard
960,hard
912,hard
928,hard
956,hard
964,hard
948,hard
940,hard
932,hard
924,hard
900,hard
940,hard
940,hard
948,hard
976,hard
920,hard
940,hard
892,hard
852,hard
896,hard
928,hard
944,hard
984,hard
912,hard
944,hard
920,hard
68,hard
772,hard
1756,hard
848,hard
912,hard
916,hard
880,hard
876,hard
840,hard
812,hard
828,hard
788,hard
804,hard
872,hard
836,hard
872,hard
1108,hard
1076,hard
1096,hard
1056,hard
1052,hard
932,hard
872,hard
844,hard
800,hard
744,hard
764,hard
816,hard
956,hard
940,hard
980,hard
1000,hard
1040,hard
1036,hard
964,hard
944,hard
936,hard
908,hard
896,hard
924,hard
904,hard
860,hard
848,hard
876,hard
828,hard
864,hard
888,hard
852,hard
900,hard
908,hard
896,easy
976,easy
976,easy
912,easy
920,easy
924,easy
888,easy
928,easy
916,easy
900,easy
944,easy
892,easy
912,easy
944,easy
924,easy
924,easy
968,easy
972,easy
996,easy
1016,easy
952,easy
944,easy
944,easy
932,easy
932,easy
884,easy
892,easy
880,easy
832,easy
852,easy
864,easy
836,easy
872,easy
820,easy
832,easy
884,easy
880,easy
900,easy
928,easy
896,easy
920,easy
920,easy
868,easy
896,easy
916,easy
884,easy
928,easy
964,easy
904,easy
924,easy
944,easy
904,easy
944,easy
960,easy
940,easy
956,easy
924,easy
952,easy
920,easy
848,easy
836,easy
836,easy
792,easy
836,easy
868,easy
840,easy
884,easy
928,hard
940,hard
916,hard
936,hard
928,hard
856,hard
836,hard
804,hard
752,hard
720,hard
700,hard
720,hard
776,hard
972,hard
924,hard
952,hard
924,hard
936,hard
924,hard
908,hard
916,hard
924,hard
896,hard
880,hard
892,hard
868,hard
844,hard
860,hard
880,hard
864,hard
880,hard
892,hard
884,hard
868,hard
876,hard
804,hard
792,hard
792,hard
772,hard
700,hard
756,hard
780,hard
712,hard
704,hard
700,hard
672,hard
668,hard
664,hard
608,hard
660,hard
720,hard
692,hard
696,hard
820,hard
792,hard
900,hard
1056,hard
928,hard
948,hard
960,hard
912,hard
936,hard
944,hard
880,hard
872,hard
888,hard
856,hard
896,hard
884,hard
892,hard
880,hard
868,hard
804,hard
824,hard
800,hard
780,hard
792,hard
780,hard
772,hard
772,hard
756,hard
788,hard
804,hard
796,hard
876,hard
868,hard
876,hard
908,hard
856,hard
860,hard
860,hard
860,hard
848,hard
836,hard
872,hard
860,hard
368,hard
472,hard
896,hard
912,hard
732,hard
72,hard
936,hard
884,hard
864,hard
884,hard
868,hard
884,hard
880,hard
892,hard
808,hard
828,hard
812,hard
768,hard
772,hard
776,hard
788,hard
796,hard
832,hard
824,hard
832,hard
840,hard
836,hard
844,hard
820,hard
812,hard
820,hard
800,hard
800,hard
812,hard
812,hard
848,hard
864,hard
860,hard
892,hard
748,hard
72,hard
920,hard
868,hard
456,hard
324,hard
880,hard
924,hard
784,hard
900,hard
848,hard
820,hard
836,hard
852,hard
828,hard
816,hard
828,hard
804,hard
808,hard
816,hard
808,hard
824,hard
824,hard
744,hard
868,hard
824,hard
816,hard
832,hard
832,hard
836,hard
844,hard
820,hard
784,hard
796,hard
792,hard
788,hard
840,hard
844,hard
832,hard
864,hard
868,hard
836,hard
828,hard
824,hard
740,hard
868,hard
808,hard
836,hard
820,hard
764,hard
880,hard
820,hard
744,hard
760,hard
688,hard
796,hard
732,hard
660,hard
724,hard
676,hard
612,hard
656,hard
648,hard
664,hard
708,hard
708,hard
768,hard
860,hard
836,hard
880,hard
860,hard
848,hard
912,hard
848,hard
1656,hard
848,hard
812,hard
848,hard
900,hard
924,hard
856,hard
896,hard
924,hard
872,hard
900,hard
936,hard
840,hard
820,hard
900,easy
832,easy
844,easy
848,easy
776,easy
904,easy
804,easy
772,easy
780,easy
732,easy
792,easy
892,easy
860,easy
792,easy
876,easy
900,easy
896,easy
868,easy
880,easy
880,easy
912,easy
860,easy
884,easy
848,easy
852,easy
868,easy
872,easy
868,easy
888,easy
896,easy
876,easy
852,easy
844,easy
844,easy
796,easy
800,easy
856,hard
856,hard
860,hard
840,hard
856,hard
848,hard
812,hard
856,hard
884,hard
832,hard
864,hard
860,hard
828,hard
856,hard
856,hard
872,hard
856,hard
852,hard
864,hard
820,hard
816,hard
824,hard
820,hard
788,hard
792,hard
788,hard
804,hard
832,hard
796,hard
860,hard
844,hard
816,hard
868,hard
888,hard
844,hard
848,hard
