heart_rate,condition
74,neutral
74,neutral
74,neutral
74,neutral
73,neutral
73,neutral
73,neutral
73,neutral
74,neutral
74,neutral
73,neutral
73,neutral
72,neutral
71,neutral
71,neutral
72,negative
72,negative
72,negative
72,negative
73,negative
73,negative
74,negative
74,negative
75,negative
74,negative
74,negative
73,negative
72,negative
72,negative
72,negative
73,positive
74,positive
74,positive
74,positive
74,positive
74,positive
74,positive
74,positive
74,positive
74,positive
75,positive
75,positive
75,positive
74,positive
73,positive
73,neutral
74,neutral
74,neutral
75,neutral
76,neutral
76,neutral
77,neutral
77,neutral
77,neutral
76,neutral
75,neutral
74,neutral
74,neutral
74,neutral
74,neutral
75,neutral
74,neutral
73,neutral
73,neutral
73,neutral
73,neutral
75,neutral
76,neutral
77,neutral
77,neutral
76,neutral
75,neutral
74,neutral
73,neutral
73,neutral
74,negative
75,negative
75,negative
77,negative
77,negative
77,negative
76,negative
75,negative
75,negative
75,negative
76,negative
76,negative
77,negative
76,negative
75,negative
75,neutral
75,neutral
76,neutral
77,neutral
78,neutral
78,neutral
78,neutral
77,neutral
76,neutral
75,neutral
75,neutral
75,neutral
75,neutral
76,neutral
76,neutral
73,neutral
74,neutral
75,neutral
75,neutral
75,neutral
75,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
75,neutral
76,neutral
76,neutral
75,neutral
75,neutral
76,neutral
76,neutral
77,neutral
77,neutral
76,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,neutral
76,neutral
77,neutral
78,neutral
78,positive
78,positive
77,positive
77,positive
76,positive
77,positive
77,positive
79,positive
80,positive
80,positive
80,positive
80,positive
80,positive
80,positive
79,positive
78,positive
77,positive
77,positive
77,positive
77,positive
77,positive
78,positive
78,positive
77,positive
77,positive
76,positive
76,positive
76,positive
77,positive
77,positive
77,negative
76,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
74,negative
74,negative
74,negative
74,negative
74,negative
75,negative
75,negative
75,positive
75,positive
75,positive
75,positive
76,positive
77,positive
78,positive
80,positive
81,positive
82,positive
82,positive
82,positive
81,positive
81,positive
81,positive
77,positive
78,positive
78,positive
78,positive
78,positive
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
76,positive
79,neutral
78,neutral
77,neutral
77,neutral
77,neutral
77,neutral
77,neutral
78,neutral
79,neutral
79,neutral
78,neutral
77,neutral
76,neutral
76,neutral
76,neutral
76,negative
76,negative
75,negative
75,negative
76,negative
76,negative
77,negative
77,negative
78,negative
79,negative
78,negative
78,negative
77,negative
75,negative
75,negative
73,neutral
73,neutral
73,neutral
74,neutral
74,neutral
74,neutral
75,neutral
75,neutral
77,neutral
78,neutral
78,neutral
79,neutral
79,neutral
79,neutral
78,neutral
76,negative
77,negative
79,negative
80,negative
80,negative
80,negative
80,negative
79,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
79,neutral
80,neutral
79,neutral
79,neutral
78,neutral
77,neutral
76,neutral
76,neutral
76,neutral
77,neutral
78,neutral
78,neutral
77,neutral
76,neutral
75,neutral
74,positive
75,positive
76,positive
76,positive
75,positive
75,positive
74,positive
74,positive
75,positive
75,positive
76,positive
77,positive
78,positive
79,positive
79,positive
72,negative
72,negative
72,negative
72,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
74,negative
74,negative
75,negative
76,negative
76,negative
76,negative
76,negative
77,negative
78,negative
79,negative
81,negative
82,negative
82,negative
81,negative
80,negative
79,negative
79,negative
80,negative
84,positive
84,positive
84,positive
84,positive
84,positive
85,positive
86,positive
87,positive
87,positive
86,positive
85,positive
84,positive
82,positive
81,positive
80,positive
79,negative
79,negative
79,negative
79,negative
80,negative
80,negative
81,negative
82,negative
82,negative
81,negative
80,negative
79,negative
78,negative
77,negative
77,negative
78,positive
79,positive
79,positive
79,positive
79,positive
80,positive
80,positive
79,positive
78,positive
78,positive
77,positive
77,positive
78,positive
78,positive
78,positive
79,negative
80,negative
80,negative
80,negative
80,negative
80,negative
80,negative
80,negative
81,negative
82,negative
83,negative
84,negative
86,negative
86,negative
85,negative
82,positive
83,positive
84,positive
85,positive
84,positive
84,positive
82,positive
81,positive
80,positive
79,positive
79,positive
80,positive
81,positive
82,positive
83,positive
80,negative
80,negative
81,negative
81,negative
82,negative
83,negative
84,negative
84,negative
83,negative
82,negative
81,negative
80,negative
79,negative
79,negative
80,negative
81,negative
82,negative
83,negative
84,negative
85,negative
86,negative
87,negative
87,negative
87,negative
86,negative
85,negative
83,negative
82,negative
81,negative
81,negative
84,negative
85,negative
86,negative
87,negative
86,negative
85,negative
83,negative
82,negative
81,negative
81,negative
81,negative
82,negative
82,negative
83,negative
84,negative
79,neutral
80,neutral
80,neutral
81,neutral
81,neutral
80,neutral
80,neutral
79,neutral
79,neutral
79,neutral
79,neutral
80,neutral
81,neutral
81,neutral
80,neutral
81,positive
82,positive
84,positive
85,positive
86,positive
86,positive
85,positive
85,positive
83,positive
83,positive
83,positive
84,positive
84,positive
83,positive
83,positive
82,neutral
81,neutral
81,neutral
80,neutral
81,neutral
81,neutral
81,neutral
81,neutral
81,neutral
81,neutral
81,neutral
82,neutral
82,neutral
82,neutral
81,neutral
82,negative
82,negative
82,negative
82,negative
82,negative
82,negative
81,negative
81,negative
80,negative
80,negative
79,negative
80,negative
80,negative
80,negative
79,negative
86,positive
84,positive
83,positive
83,positive
83,positive
83,positive
84,positive
85,positive
85,positive
86,positive
87,positive
88,positive
89,positive
89,positive
88,positive
87,negative
86,negative
86,negative
85,negative
84,negative
82,negative
81,negative
79,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
83,positive
84,positive
85,positive
85,positive
86,positive
86,positive
87,positive
86,positive
85,positive
84,positive
82,positive
82,positive
81,positive
82,positive
82,positive
80,positive
79,positive
78,positive
78,positive
79,positive
80,positive
80,positive
80,positive
79,positive
79,positive
79,positive
80,positive
80,positive
80,positive
80,positive
80,neutral
80,neutral
80,neutral
81,neutral
81,neutral
82,neutral
83,neutral
83,neutral
83,neutral
82,neutral
80,neutral
80,neutral
79,neutral
80,neutral
81,neutral
88,positive
87,positive
86,positive
84,positive
83,positive
82,positive
82,positive
82,positive
82,positive
82,positive
83,positive
83,positive
83,positive
82,positive
80,positive
80,positive
81,positive
82,positive
83,positive
83,positive
83,positive
82,positive
82,positive
82,positive
82,positive
82,positive
83,positive
84,positive
85,positive
85,positive
81,negative
81,negative
81,negative
82,negative
83,negative
84,negative
84,negative
83,negative
82,negative
81,negative
80,negative
79,negative
79,negative
80,negative
81,negative
84,positive
84,positive
84,positive
85,positive
86,positive
86,positive
87,positive
88,positive
88,positive
87,positive
86,positive
85,positive
85,positive
84,positive
85,positive
83,neutral
83,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
81,neutral
81,neutral
81,neutral
88,positive
89,positive
90,positive
92,positive
93,positive
95,positive
95,positive
95,positive
95,positive
94,positive
93,positive
92,positive
90,positive
88,positive
86,positive
80,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
80,neutral
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
84,neutral
81,positive
82,positive
83,positive
84,positive
85,positive
85,positive
85,positive
84,positive
83,positive
81,positive
81,positive
81,positive
81,positive
82,positive
83,positive
81,neutral
82,neutral
82,neutral
83,neutral
83,neutral
82,neutral
81,neutral
81,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
84,neutral
84,neutral
85,neutral
84,neutral
84,neutral
84,neutral
84,neutral
84,neutral
83,neutral
83,neutral
82,neutral
82,neutral
83,neutral
83,neutral
82,neutral
82,neutral
82,neutral
84,neutral
85,neutral
86,neutral
86,neutral
86,neutral
85,neutral
84,neutral
84,neutral
84,neutral
84,neutral
85,neutral
85,neutral
86,neutral
86,neutral
86,neutral
81,negative
82,negative
82,negative
82,negative
83,negative
83,negative
83,negative
83,negative
84,negative
84,negative
83,negative
82,negative
81,negative
80,negative
79,negative
79,neutral
79,neutral
78,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
80,neutral
80,neutral
80,neutral
81,neutral
87,negative
