A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
1476.000,351.900,104.400,30.910,1341.000,339.500,104.300,24.750,206.800,60.310,18.310,6.007,406.400,114.400,33.810,10.980,baseline
1495.000,360.400,106.500,30.980,1315.000,336.600,102.100,24.280,205.500,60.300,18.490,6.037,408.300,114.600,33.530,10.580,baseline
1437.000,336.800,98.740,28.640,1297.000,328.400,101.400,23.920,204.900,59.540,18.140,5.878,398.100,111.500,32.540,10.340,baseline
1421.000,331.800,98.040,28.220,1296.000,328.300,100.900,24.070,204.000,59.640,18.030,5.850,398.200,111.900,32.790,10.400,baseline
1422.000,337.300,99.910,29.070,1299.000,332.600,102.100,24.120,204.500,59.670,18.010,5.881,401.200,112.600,32.840,10.530,baseline
1422.000,339.200,100.500,29.310,1299.000,331.900,101.900,24.340,204.700,59.920,18.130,5.888,402.200,112.600,33.040,10.490,baseline
1427.000,341.500,99.390,29.740,1295.000,335.400,103.200,24.670,204.200,59.760,18.150,5.906,400.700,113.000,33.030,10.690,baseline
1467.000,346.600,102.800,30.150,1306.000,339.800,104.300,24.890,207.000,59.930,18.220,5.952,404.600,113.900,33.580,10.870,baseline
1467.000,353.300,104.500,31.030,1318.000,337.500,104.200,24.420,206.600,60.040,18.280,6.029,406.000,115.100,33.650,10.710,baseline
1443.000,339.800,99.360,28.880,1291.000,329.900,101.300,23.880,205.100,59.820,18.070,5.884,398.800,111.700,32.510,10.330,baseline
1402.000,329.700,97.350,28.450,1295.000,327.800,101.200,24.020,202.900,59.400,18.030,5.854,397.300,111.600,32.550,10.360,baseline
1410.000,334.400,98.720,28.860,1299.000,329.000,101.800,24.240,205.400,59.580,18.120,5.893,399.500,112.100,32.890,10.480,baseline
1433.000,340.000,99.800,29.100,1296.000,331.100,101.900,24.140,205.100,59.800,18.100,5.913,398.500,112.700,32.810,10.480,baseline
1412.000,338.300,99.360,29.270,1309.000,334.700,102.300,24.500,204.100,59.610,18.150,5.877,401.100,113.400,33.090,10.590,baseline
1445.000,346.100,101.500,30.090,1301.000,337.300,102.900,24.730,204.000,59.880,18.250,5.989,403.200,113.700,33.440,10.830,baseline
1466.000,351.300,104.200,30.910,1331.000,341.000,105.100,24.780,204.900,60.220,18.290,6.022,406.400,114.600,33.900,10.920,baseline
1471.000,343.100,101.300,29.650,1291.000,332.500,101.000,23.850,206.800,60.010,18.160,5.891,399.400,111.900,32.520,10.360,baseline
1408.000,330.800,96.110,28.580,1296.000,329.900,101.000,24.040,204.300,59.150,18.030,5.862,396.600,111.800,32.390,10.290,baseline
1403.000,328.600,98.030,28.720,1304.000,331.500,101.300,24.260,203.800,59.660,18.020,5.886,397.500,112.100,32.890,10.440,baseline
1406.000,336.600,99.340,29.240,1303.000,331.400,101.500,24.220,205.200,59.470,18.030,5.928,398.400,112.000,33.010,10.460,baseline
1428.000,336.400,99.660,29.420,1300.000,331.900,102.100,24.620,205.700,59.750,18.110,5.919,401.200,112.800,33.020,10.620,baseline
1454.000,345.700,102.500,30.190,1319.000,336.500,102.600,24.890,204.800,59.940,18.210,5.981,403.500,113.700,33.530,10.800,baseline
1472.000,350.000,104.700,31.070,1329.000,342.000,104.300,25.050,204.500,60.380,18.390,6.012,405.900,114.900,34.100,11.030,baseline
1490.000,355.200,105.000,30.580,1310.000,334.300,102.400,24.210,206.700,60.260,18.390,5.987,403.100,112.900,33.030,10.470,baseline
1420.000,330.500,98.260,28.530,1301.000,329.000,100.500,23.920,206.200,59.400,18.050,5.875,396.500,111.300,32.620,10.330,baseline
1397.000,324.800,97.020,28.360,1287.000,327.900,100.700,24.000,204.600,59.490,18.030,5.864,396.800,111.700,32.460,10.340,baseline
1403.000,333.600,98.270,28.900,1275.000,329.000,101.600,24.220,203.800,59.400,18.210,5.922,398.800,111.900,32.790,10.460,baseline
1418.000,336.000,98.910,29.290,1296.000,331.700,102.300,24.400,205.000,59.610,18.240,5.923,399.700,112.400,32.920,10.540,baseline
1438.000,342.000,101.200,30.020,1308.000,333.200,104.200,24.770,205.700,59.840,18.250,5.984,401.600,113.000,33.470,10.690,baseline
1464.000,349.100,103.100,30.500,1324.000,339.500,104.500,24.870,206.300,59.920,18.420,6.022,405.600,114.100,33.900,10.950,baseline
1482.000,356.400,106.200,31.120,1321.000,343.400,104.400,25.000,206.100,60.020,18.480,6.046,407.400,115.000,34.170,11.030,baseline
1480.000,347.500,101.700,29.290,1305.000,328.900,101.500,23.780,204.200,60.120,18.270,5.931,400.700,112.700,32.820,10.350,baseline
1421.000,331.100,97.480,28.360,1292.000,327.300,99.620,23.790,204.300,59.490,18.050,5.882,396.400,111.600,32.630,10.350,baseline
1398.000,326.800,96.010,27.990,1297.000,328.700,100.600,23.940,204.100,59.670,18.130,5.913,395.700,112.000,32.570,10.420,baseline
1413.000,332.900,98.620,28.670,1281.000,329.500,101.500,24.250,204.100,59.410,18.160,5.920,399.000,111.900,32.720,10.420,baseline
1423.000,334.100,98.250,28.900,1310.000,332.200,101.800,24.280,206.100,59.560,18.170,5.929,400.200,112.400,32.980,10.500,baseline
1432.000,339.600,100.600,29.710,1315.000,336.800,102.500,24.690,202.500,59.870,18.260,6.000,401.300,112.900,33.270,10.730,baseline
1445.000,347.400,103.600,30.510,1307.000,338.600,103.300,25.010,205.400,60.050,18.490,5.997,404.500,114.600,33.630,10.860,baseline
1473.000,353.400,103.900,31.150,1321.000,342.800,105.100,25.180,207.600,60.240,18.450,6.075,406.700,114.900,34.100,11.050,baseline
1469.000,345.000,101.900,29.460,1292.000,329.200,101.100,24.120,207.100,60.110,18.390,5.990,400.100,112.400,32.790,10.400,baseline
1406.000,326.800,96.640,28.280,1276.000,326.200,100.000,23.960,203.500,59.540,18.080,5.889,396.000,111.400,32.500,10.290,baseline
1387.000,324.400,96.580,28.090,1296.000,324.300,100.600,23.970,203.700,59.590,18.080,5.909,397.200,112.100,32.590,10.420,baseline
1403.000,331.700,98.410,28.910,1291.000,325.900,101.400,24.120,203.800,59.590,18.150,5.925,400.000,112.500,32.930,10.450,baseline
1414.000,331.700,98.710,28.890,1298.000,328.300,101.800,24.520,206.100,59.630,18.190,5.956,399.100,113.500,32.950,10.500,baseline
1420.000,337.900,100.000,29.610,1312.000,334.000,102.900,24.870,205.000,60.000,18.200,5.967,403.400,113.500,33.490,10.800,baseline
1449.000,348.300,103.700,30.630,1313.000,339.400,103.700,24.990,206.900,60.070,18.450,6.054,405.700,114.000,33.960,10.980,baseline
1455.000,354.200,104.700,31.240,1322.000,339.500,104.900,25.070,206.600,60.380,18.510,6.060,408.100,115.200,34.080,11.130,baseline
1473.000,355.300,106.300,30.930,1306.000,333.700,102.200,24.400,204.900,60.630,18.600,6.060,408.700,114.600,33.520,10.650,baseline
1426.000,333.500,98.220,28.700,1296.000,325.900,101.200,24.310,203.900,59.850,18.260,5.943,399.800,112.000,32.900,10.410,baseline
1405.000,328.300,97.660,28.650,1288.000,327.800,100.300,24.020,204.300,59.530,18.220,5.928,398.700,112.200,32.780,10.450,baseline
1400.000,328.100,99.380,28.660,1304.000,330.100,101.000,24.420,205.600,59.670,18.240,5.952,400.400,112.800,33.110,10.560,baseline
1417.000,334.600,99.080,29.030,1302.000,330.100,102.000,24.340,205.200,59.920,18.350,5.993,402.600,113.100,33.190,10.570,baseline
1410.000,338.500,100.400,29.780,1304.000,333.300,102.700,24.780,206.000,60.060,18.320,6.011,404.600,113.600,33.580,10.790,baseline
1448.000,342.300,102.100,30.350,1316.000,338.100,104.100,25.000,206.200,60.110,18.440,6.081,406.500,115.100,34.050,10.990,baseline
1465.000,350.900,105.100,31.390,1328.000,337.900,104.900,25.280,207.000,60.490,18.560,6.121,409.600,115.500,34.270,11.120,baseline
1487.000,358.800,107.300,31.710,1340.000,343.100,105.600,25.320,208.200,60.730,18.650,6.137,412.500,115.800,34.670,11.330,baseline
1495.000,356.000,104.700,30.600,1305.000,334.800,102.800,24.470,208.500,60.810,18.640,6.091,407.400,114.500,33.380,10.620,baseline
1433.000,335.400,99.700,29.060,1288.000,330.600,101.400,24.390,207.000,59.640,18.280,5.987,401.300,113.500,33.160,10.610,baseline
1412.000,332.100,100.100,28.950,1293.000,330.700,102.400,24.480,206.000,59.950,18.360,5.984,404.000,113.800,33.480,10.630,baseline
1429.000,337.400,100.700,29.500,1288.000,331.300,102.400,24.600,206.700,60.340,18.400,6.016,404.200,113.800,33.580,10.780,baseline
1438.000,340.100,100.400,29.790,1313.000,332.700,102.800,24.770,207.600,60.130,18.390,6.079,405.500,114.000,33.820,10.800,baseline
1451.000,345.300,103.700,30.560,1321.000,336.600,103.300,25.130,205.700,60.570,18.460,6.079,407.100,114.900,34.190,11.030,baseline
1480.000,352.500,105.900,31.100,1324.000,340.200,104.600,25.440,205.700,60.770,18.540,6.134,411.000,116.300,34.350,11.260,baseline
1487.000,358.600,107.700,32.060,1328.000,342.200,105.900,25.340,208.900,60.850,18.780,6.177,414.400,116.800,34.960,11.400,baseline
1510.000,366.600,109.600,32.480,1333.000,343.200,106.500,25.070,207.600,60.980,18.840,6.202,416.800,117.300,35.010,11.160,baseline
1480.000,347.700,103.300,29.950,1304.000,332.700,102.000,24.470,206.400,60.560,18.480,6.036,408.100,114.100,33.650,10.710,baseline
1435.000,338.400,100.200,29.620,1301.000,331.200,102.400,24.580,205.900,60.430,18.400,6.020,406.100,114.400,33.680,10.760,baseline
1450.000,341.500,101.900,30.310,1318.000,337.400,103.200,24.860,206.200,60.370,18.580,6.056,409.200,115.200,34.070,10.910,baseline
1461.000,349.100,102.600,30.470,1311.000,336.400,103.000,24.900,207.400,60.540,18.530,6.089,408.600,114.800,34.030,10.950,baseline
1462.000,347.500,104.200,30.640,1321.000,338.200,104.200,25.030,208.100,60.640,18.560,6.065,410.100,115.700,34.330,11.090,baseline
1474.000,354.400,105.700,31.630,1340.000,342.400,105.100,25.490,207.100,60.790,18.610,6.144,413.700,116.500,34.760,11.310,baseline
1501.000,362.200,107.900,32.420,1338.000,344.900,106.200,25.520,209.500,60.800,18.740,6.180,415.400,117.200,35.200,11.480,baseline
1518.000,370.700,110.300,32.670,1343.000,345.600,106.500,25.710,209.600,61.390,18.910,6.232,417.800,118.000,35.560,11.570,baseline
1524.000,359.900,106.400,31.200,1318.000,336.600,104.100,24.520,209.000,61.240,18.770,6.128,412.300,115.800,34.060,10.930,baseline
1456.000,341.600,102.000,30.130,1296.000,330.400,102.900,24.690,206.500,60.330,18.440,6.030,407.500,114.900,33.970,10.890,baseline
1446.000,342.600,102.700,30.410,1307.000,336.500,104.200,24.880,206.900,60.410,18.560,6.063,410.700,115.600,34.270,11.010,baseline
1469.000,351.700,104.700,30.800,1316.000,336.900,104.400,24.920,207.800,60.860,18.570,6.099,411.200,115.700,34.390,11.060,baseline
1463.000,350.400,104.900,31.070,1327.000,338.500,104.800,25.090,208.100,60.600,18.620,6.111,411.000,116.000,34.520,11.210,baseline
1478.000,354.700,106.500,31.560,1321.000,340.700,105.000,25.360,209.100,60.650,18.650,6.152,413.100,116.900,34.760,11.370,baseline
1510.000,364.400,109.700,32.490,1329.000,348.300,105.800,25.420,211.300,60.970,18.770,6.202,415.500,117.700,35.260,11.480,baseline
1528.000,369.000,109.800,32.750,1353.000,348.200,106.900,25.550,210.100,61.350,18.900,6.229,419.200,119.000,35.680,11.650,baseline
1538.000,367.000,109.400,31.960,1321.000,340.000,102.600,24.730,207.100,61.280,18.910,6.170,414.300,116.200,34.600,10.970,baseline
1460.000,342.700,102.500,29.970,1311.000,333.300,103.400,24.580,207.300,60.310,18.520,6.063,408.300,115.200,33.960,10.980,baseline
1456.000,345.200,102.200,30.260,1313.000,335.500,103.600,24.760,206.900,60.560,18.450,6.049,409.500,114.700,34.060,10.960,baseline
1472.000,350.100,103.300,30.760,1324.000,335.900,103.500,24.820,207.300,60.730,18.660,6.088,409.400,115.800,34.140,11.010,baseline
1453.000,346.900,104.700,30.850,1310.000,339.000,103.800,24.880,208.300,60.630,18.500,6.094,409.300,115.900,34.420,11.100,baseline
1481.000,353.200,106.100,31.400,1329.000,338.800,104.400,25.250,208.200,60.500,18.620,6.097,412.300,116.800,34.560,11.220,baseline
1498.000,361.300,107.800,32.150,1331.000,344.400,105.600,25.410,207.700,60.900,18.840,6.179,414.300,117.300,35.140,11.440,baseline
1518.000,364.500,110.500,32.730,1333.000,345.100,106.400,25.560,209.700,61.120,18.870,6.192,416.800,117.800,35.430,11.560,baseline
1533.000,366.400,108.400,31.670,1323.000,336.400,103.300,24.850,209.400,61.120,18.840,6.136,412.700,115.700,34.050,10.850,baseline
1449.000,344.200,101.900,30.050,1312.000,331.600,101.500,24.380,207.700,60.590,18.460,6.018,405.100,114.400,33.870,10.800,baseline
1450.000,341.800,100.900,29.930,1317.000,333.200,103.000,24.690,205.600,60.280,18.450,6.019,405.700,114.500,33.810,10.800,baseline
1454.000,345.900,102.600,30.550,1312.000,333.800,103.100,24.640,205.300,60.510,18.460,6.032,406.600,115.100,34.020,10.900,baseline
1454.000,344.200,103.000,30.340,1319.000,333.600,103.600,24.860,207.500,60.250,18.350,6.018,407.300,115.000,33.970,10.950,baseline
1465.000,346.800,104.400,30.780,1313.000,336.600,103.900,24.780,207.900,60.440,18.550,6.029,409.100,115.600,34.460,11.120,baseline
1500.000,356.100,106.200,31.450,1334.000,339.300,105.700,25.240,207.800,60.650,18.700,6.115,410.800,116.300,34.590,11.270,baseline
1489.000,361.700,108.100,32.240,1339.000,342.500,106.100,25.260,207.500,60.820,18.780,6.135,413.800,116.900,34.980,11.480,baseline
1526.000,364.800,108.200,31.860,1328.000,333.600,103.400,24.390,208.400,61.000,18.730,6.120,411.300,115.700,33.940,10.840,baseline
1435.000,340.800,100.700,29.690,1310.000,330.400,102.100,24.280,207.800,60.060,18.400,5.977,403.000,113.700,33.430,10.660,baseline
1435.000,338.500,100.400,29.430,1300.000,332.600,101.900,24.320,205.300,60.200,18.300,5.972,403.100,114.000,33.430,10.740,baseline
1447.000,344.800,102.300,30.160,1309.000,332.300,102.100,24.610,206.500,60.120,18.400,6.013,405.800,113.900,33.750,10.790,baseline
1450.000,343.500,102.300,29.960,1313.000,332.900,102.500,24.590,206.400,60.330,18.400,5.988,405.300,113.600,33.790,10.790,baseline
1449.000,345.600,103.100,30.510,1321.000,335.700,103.300,24.800,207.100,60.260,18.440,6.063,406.100,114.800,33.930,10.960,baseline
1477.000,350.900,106.000,31.460,1329.000,339.800,105.300,25.130,207.500,60.420,18.480,6.076,407.900,115.600,34.380,11.160,baseline
1490.000,360.600,106.800,31.840,1334.000,342.500,105.800,25.270,207.400,60.660,18.620,6.103,412.300,116.600,34.700,11.310,baseline
1515.000,365.100,108.700,32.540,1351.000,344.200,105.400,25.270,208.300,60.870,18.700,6.131,413.400,117.200,35.240,11.350,baseline
1499.000,353.800,105.100,30.780,1307.000,331.200,101.500,24.330,206.600,60.540,18.460,6.003,406.800,114.000,33.520,10.690,baseline
1434.000,337.600,100.100,29.680,1304.000,328.800,101.600,24.270,205.700,59.940,18.270,5.977,402.200,113.600,33.480,10.670,baseline
1433.000,339.100,101.100,29.810,1305.000,333.100,102.400,24.480,205.700,60.030,18.340,5.973,404.000,113.800,33.790,10.760,baseline
1431.000,343.300,102.400,30.070,1308.000,335.400,102.600,24.470,206.400,59.970,18.350,6.011,404.300,113.800,33.630,10.790,baseline
1433.000,342.600,102.700,30.180,1311.000,334.400,103.000,24.650,206.000,60.000,18.370,6.035,405.300,113.800,33.790,10.830,baseline
1465.000,349.800,104.400,30.850,1306.000,337.100,102.600,24.910,205.100,60.120,18.520,6.013,406.800,115.000,34.270,11.030,baseline
1480.000,353.000,106.900,31.430,1321.000,340.100,105.300,25.130,205.700,60.500,18.550,6.124,410.600,116.100,34.510,11.240,baseline
1487.000,361.200,107.500,31.990,1334.000,340.600,104.600,25.350,208.500,60.810,18.660,6.123,412.700,116.500,34.900,11.430,baseline
1510.000,365.800,109.200,32.490,1331.000,345.100,105.500,25.430,206.500,60.730,18.770,6.152,413.600,117.200,35.080,11.490,baseline
1514.000,362.500,106.400,31.150,1315.000,333.400,102.600,24.630,208.300,60.650,18.590,6.030,408.100,114.900,33.940,10.750,baseline
1449.000,340.900,101.400,29.910,1315.000,331.200,101.700,24.250,205.400,59.930,18.340,5.973,403.400,113.800,33.510,10.730,baseline
1434.000,340.900,101.400,30.280,1309.000,333.000,102.800,24.580,206.800,60.210,18.340,5.999,403.700,114.400,33.900,10.860,baseline
1457.000,349.500,102.800,30.490,1314.000,333.600,103.100,24.690,204.000,60.410,18.500,6.028,406.200,114.400,33.710,10.880,baseline
1447.000,343.800,103.400,30.680,1306.000,334.600,103.400,24.810,205.300,60.050,18.420,6.021,405.800,114.400,33.990,10.920,baseline
1458.000,349.900,104.900,31.230,1323.000,340.500,104.400,25.010,205.600,60.290,18.530,6.057,408.600,116.000,34.290,11.120,baseline
1488.000,355.100,106.700,31.900,1349.000,342.000,105.100,25.220,207.600,60.390,18.710,6.128,412.100,116.000,34.820,11.340,baseline
1514.000,362.100,108.300,32.490,1341.000,346.800,105.200,25.450,209.300,60.940,18.660,6.177,412.900,117.200,35.040,11.480,baseline
1532.000,366.700,111.400,32.720,1344.000,345.700,106.700,25.640,209.300,61.180,18.750,6.164,414.800,117.800,35.400,11.580,baseline
1545.000,373.200,109.300,32.490,1314.000,339.200,103.700,24.790,210.600,60.990,18.790,6.130,413.300,116.300,34.310,10.980,baseline
1468.000,344.800,103.300,30.320,1312.000,334.600,103.900,24.670,206.800,60.290,18.450,6.030,406.000,114.600,33.910,10.810,baseline
1456.000,343.900,104.000,30.620,1326.000,336.100,103.700,24.790,205.600,60.000,18.410,5.985,406.300,114.700,34.100,11.000,baseline
1468.000,351.300,104.500,30.830,1322.000,336.500,103.000,24.770,206.900,60.200,18.530,6.060,407.700,115.200,34.350,10.930,baseline
1476.000,349.000,104.400,31.200,1312.000,337.400,104.100,24.950,206.900,60.370,18.570,6.037,408.500,115.600,34.200,11.130,baseline
1475.000,354.800,105.800,31.650,1332.000,339.800,104.800,25.000,207.300,60.540,18.600,6.073,409.600,115.900,34.590,11.300,baseline
1514.000,362.500,108.600,32.390,1328.000,344.500,106.100,25.290,205.400,60.850,18.660,6.140,413.200,116.800,35.060,11.490,baseline
1517.000,369.200,110.500,32.650,1343.000,347.400,106.600,25.500,207.400,61.020,18.810,6.177,416.100,118.100,35.410,11.670,baseline
1536.000,370.100,111.500,33.220,1345.000,348.400,106.700,25.810,209.200,61.330,18.900,6.195,418.400,118.300,35.720,11.710,baseline
1571.000,375.000,112.100,33.170,1337.000,341.300,104.600,24.810,210.200,61.480,18.940,6.201,415.500,117.300,34.970,11.150,baseline
1489.000,352.100,104.400,30.820,1328.000,338.100,103.200,24.540,208.800,60.460,18.470,6.042,408.100,115.200,34.150,10.960,baseline
1471.000,348.600,104.200,31.080,1320.000,338.200,103.800,24.760,207.200,60.360,18.530,6.031,408.600,115.700,34.210,11.020,baseline
1487.000,356.400,105.800,31.370,1325.000,337.800,104.400,24.890,208.300,60.540,18.660,6.087,411.600,116.100,34.640,11.110,baseline
1487.000,351.700,106.100,31.620,1318.000,340.400,104.700,24.930,209.400,60.600,18.530,6.070,410.200,115.500,34.490,11.170,baseline
1500.000,357.400,106.600,31.870,1320.000,342.400,105.500,25.140,207.900,60.580,18.600,6.095,411.500,116.800,34.820,11.350,baseline
1510.000,365.400,109.600,32.660,1347.000,344.100,106.200,25.320,209.000,60.940,18.690,6.118,413.900,117.700,35.140,11.520,baseline
1525.000,369.200,111.600,32.930,1344.000,347.600,107.000,25.560,208.800,61.030,18.870,6.210,417.500,118.700,35.750,11.640,baseline
1555.000,374.400,112.500,33.530,1364.000,347.800,106.900,25.790,209.400,61.230,18.940,6.254,417.800,119.000,36.020,11.790,baseline
1547.000,382.200,112.000,32.760,1351.000,341.000,104.900,24.740,208.600,61.490,18.810,6.192,417.000,117.000,34.740,11.150,baseline
1479.000,353.000,104.000,30.590,1318.000,335.700,103.200,24.510,208.000,60.760,18.470,6.050,408.200,115.400,34.120,10.930,baseline
1479.000,350.100,103.800,30.710,1324.000,338.400,103.000,24.600,206.400,60.340,18.490,6.037,407.700,115.400,34.430,10.990,baseline
1489.000,352.800,105.900,31.200,1330.000,338.900,104.300,24.730,208.800,60.740,18.580,6.105,410.500,115.900,34.520,11.090,baseline
1483.000,352.900,105.500,31.060,1316.000,336.900,103.900,24.750,207.900,60.520,18.480,6.081,410.400,115.900,34.400,11.090,baseline
1494.000,356.600,105.600,31.720,1325.000,340.800,104.500,24.920,209.300,60.710,18.590,6.092,411.300,116.500,34.810,11.230,baseline
1512.000,365.900,109.500,32.280,1350.000,344.900,105.600,25.270,207.800,61.070,18.790,6.127,414.900,117.700,35.300,11.460,baseline
1537.000,371.300,111.400,32.930,1330.000,346.600,105.900,25.470,207.700,61.100,18.780,6.191,416.100,118.000,35.480,11.650,baseline
1543.000,374.900,111.800,33.140,1354.000,348.500,106.700,25.200,209.100,61.250,18.810,6.225,418.900,119.000,35.710,11.740,baseline
1535.000,366.500,108.900,31.960,1335.000,337.500,103.400,24.590,210.900,61.210,18.730,6.101,411.000,115.900,34.370,10.900,baseline
1475.000,343.500,103.600,30.420,1323.000,336.400,102.500,24.470,207.000,60.530,18.460,6.018,406.900,114.800,33.960,10.840,baseline
1474.000,348.300,103.300,30.740,1323.000,337.600,103.600,24.660,208.000,60.560,18.440,6.060,407.700,115.400,34.140,10.980,baseline
1470.000,349.100,104.100,30.740,1309.000,337.200,103.100,24.540,207.300,60.580,18.480,6.073,409.700,115.200,34.120,11.010,baseline
1474.000,349.000,104.300,30.740,1317.000,334.000,103.500,24.610,207.200,60.740,18.460,6.041,409.100,115.200,34.360,11.050,baseline
