A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
-0.001464,-2.423E-4,-9.331E-4,-2.58E-4,-4.256E-4,3.544E-4,-6.533E-5,-2.256E-4,-0.001168,3.279E-4,-5.525E-4,1.735E-4,-4.743E-7,5.373E-5,-6.949E-5,-6.211E-5,noguesses,junk
-0.00275,-2.182E-4,-0.001132,-2.439E-4,-7.918E-4,3.314E-4,-4.284E-4,-2.378E-4,-0.001828,3.799E-4,-8.347E-4,1.939E-4,-4.616E-4,7.409E-5,-4.329E-4,-9.047E-5,noguesses,junk
-0.002738,-2.555E-4,-7.964E-4,-8.64E-5,-7.529E-4,3.045E-4,-3.957E-4,-2.368E-4,-0.001593,2.762E-4,-7.807E-4,1.856E-4,-2.617E-4,4.783E-5,-3.74E-4,-9.839E-5,noguesses,junk
-0.004527,-4.237E-4,-3.635E-4,4.786E-5,-0.001049,2.396E-4,-5.085E-4,-2.819E-4,-0.001765,3.294E-4,-8.502E-4,1.603E-4,-3.934E-4,4.312E-5,-4.31E-4,-9.868E-5,noguesses,junk
-0.004764,-3.317E-4,-9.375E-4,-6.56E-5,-0.001194,2.544E-4,-8.911E-4,-2.756E-4,-0.002218,2.503E-4,-0.001162,1.319E-4,-7.661E-4,5.566E-5,-7.168E-4,-1.139E-4,noguesses,junk
-0.004767,-2.716E-4,-8.976E-4,-1.177E-4,-0.001013,2.841E-4,-6.141E-4,-2.819E-4,-0.002455,2.065E-4,-0.001051,1.353E-4,-4.841E-4,4.224E-5,-5.06E-4,-1.065E-4,noguesses,junk
-0.004502,-2.152E-4,-9.453E-4,-1.099E-4,-0.00102,2.77E-4,-6.623E-4,-2.569E-4,-0.002693,2.295E-4,-0.001161,1.463E-4,-6.828E-4,5.264E-5,-5.86E-4,-9.744E-5,noguesses,junk
-0.003285,-2.705E-4,-0.001045,-1.205E-4,-9.8E-4,3.914E-4,-6.714E-4,-2.038E-4,-0.00241,1.899E-4,-0.001257,1.132E-4,-7.16E-4,4.783E-5,-5.64E-4,-4.571E-5,noguesses,junk
-0.001438,-3.759E-4,-8.294E-4,-1.745E-4,-5.056E-4,4.93E-4,-9.529E-5,-1.307E-4,-9.259E-4,2.682E-4,-7.968E-4,1.238E-4,-2.745E-5,4.15E-5,1.156E-4,5.019E-5,noguesses,junk
-3.106E-4,-3.77E-4,-0.001043,-2.229E-4,-3.963E-4,4.957E-4,-1.468E-4,-1.131E-4,-7.982E-4,3.456E-4,-8.236E-4,1.427E-4,-1.051E-4,7.64E-5,3.854E-5,7.017E-5,noguesses,junk
-4.809E-4,-1.211E-4,-0.001213,-2.562E-4,-5.567E-4,4.921E-4,-2.199E-4,-5.818E-5,-0.001936,3.92E-4,-8.674E-4,2.388E-4,-2.736E-4,1.279E-4,-1.633E-4,3.735E-5,noguesses,junk
-0.001168,-1.236E-4,-0.001238,-2.764E-4,-7.265E-4,5.075E-4,-2.715E-4,-8.977E-5,-0.002293,3.32E-4,-9.931E-4,2.286E-4,-3.718E-4,1.179E-4,-2.179E-4,3.923E-5,noguesses,junk
-5.002E-4,-2.388E-4,-0.001287,-2.694E-4,-6.459E-4,5.08E-4,-3.185E-4,-9.716E-5,-0.002038,3.532E-4,-0.001033,2.116E-4,-3.907E-4,1.202E-4,-2.89E-4,3.46E-5,noguesses,junk
-3.527E-4,-2.502E-4,-0.001112,-2.821E-4,-4.606E-4,4.934E-4,-8.773E-5,-8.588E-5,-0.001611,3.17E-4,-8.548E-4,1.792E-4,-1.444E-4,9.328E-5,-1.632E-6,5.325E-5,noguesses,junk
-2.591E-4,-3.456E-4,-0.001075,-2.316E-4,-6.228E-4,5.446E-4,-1.973E-4,-1.006E-4,-0.001181,3.376E-4,-9.771E-4,1.68E-4,-2.841E-4,9.148E-5,-1.082E-4,6.837E-5,noguesses,junk
-3.106E-4,-3.77E-4,-0.001043,-2.229E-4,-3.963E-4,4.957E-4,-1.468E-4,-1.131E-4,-7.982E-4,3.456E-4,-8.236E-4,1.427E-4,-1.051E-4,7.64E-5,3.854E-5,7.017E-5,noguesses,junk
2.052E-4,2.678E-4,-6.746E-4,-2.059E-4,-5.209E-5,4.335E-4,1.773E-4,3.934E-5,-0.002315,2.946E-4,6.584E-5,1.7E-4,2.904E-5,6.872E-5,3.423E-4,2.855E-5,noguesses,junk
1.866E-4,1.754E-4,-6.221E-4,-1.174E-4,-1.85E-4,4.604E-4,-1.144E-4,2.696E-5,-0.002286,3.857E-4,-1.124E-4,1.745E-4,-1.847E-4,7.939E-5,5.654E-5,2.418E-5,noguesses,junk
1.883E-4,8.211E-5,-1.043E-4,3.142E-5,-1.79E-5,4.43E-4,2.034E-5,3.032E-5,-0.001963,4.247E-4,9.894E-5,1.89E-4,1.417E-5,1.009E-4,2.444E-4,8.082E-6,noguesses,junk
