A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.002801,-7.037E-4,0.002298,-9.571E-4,0.002095,-6.567E-4,0.001326,-3.433E-4,0.00583,2.378E-4,0.002538,2.639E-4,0.002488,-2.949E-4,0.002479,-6.952E-4,junk
0.003238,-7.037E-4,0.002781,-9.863E-4,0.002539,-6.644E-4,0.001667,-3.434E-4,0.007159,4.418E-4,0.003464,3.396E-4,0.003595,-1.361E-4,0.003331,-6.536E-4,junk
0.002735,-7.338E-4,0.002161,-9.797E-4,0.001972,-6.884E-4,0.001202,-3.759E-4,0.005189,3.437E-4,0.001927,2.726E-4,0.001598,-2.472E-4,0.001979,-6.67E-4,junk
0.00307,-7.389E-4,0.002561,-0.001001,0.002343,-6.873E-4,0.001468,-3.592E-4,0.007005,3.593E-4,0.003392,3.031E-4,0.003544,-2.083E-4,0.003194,-7.052E-4,junk
0.00281,-7.176E-4,0.002383,-0.001025,0.002177,-7.063E-4,0.0013,-3.804E-4,0.005992,4.138E-4,0.00264,2.826E-4,0.002461,-1.836E-4,0.002487,-6.625E-4,junk
0.001823,-6.308E-4,0.001781,-0.001047,0.001538,-7.017E-4,8.291E-4,-3.931E-4,0.004442,2.157E-4,0.001528,1.825E-4,0.001172,-3.767E-4,0.001511,-7.356E-4,junk
0.003015,-7.142E-4,0.002561,-0.001035,0.002432,-7.164E-4,0.001438,-3.692E-4,0.007003,4.861E-4,0.00356,3.148E-4,0.003597,-1.221E-4,0.00333,-7.006E-4,junk
0.002762,-7.138E-4,0.002201,-0.001038,0.001975,-7.194E-4,0.001141,-4.028E-4,0.005436,4.567E-4,0.00213,3.294E-4,0.001872,-1.976E-4,0.002085,-6.623E-4,junk
0.001902,-6.384E-4,0.001806,-0.001057,0.001642,-7.301E-4,8.555E-4,-4.053E-4,0.005262,3.956E-4,0.002126,2.268E-4,0.001927,-2.922E-4,0.001932,-7.456E-4,junk
0.00256,-6.374E-4,0.002239,-0.001069,0.002102,-7.448E-4,0.001177,-4.156E-4,0.006316,5.353E-4,0.002726,3.218E-4,0.002659,-1.477E-4,0.002575,-6.853E-4,junk
0.001796,-6.298E-4,0.001519,-0.001047,0.001376,-7.648E-4,5.329E-4,-4.042E-4,0.004061,4.122E-4,9.405E-4,2.309E-4,3.062E-4,-2.927E-4,0.001007,-7.212E-4,junk
0.002037,-5.687E-4,0.001822,-0.001032,0.001759,-7.451E-4,8.907E-4,-4.215E-4,0.00558,4.927E-4,0.002548,2.633E-4,0.00238,-2.41E-4,0.00226,-7.449E-4,junk
0.001704,-5.336E-4,0.001661,-0.00106,0.00155,-7.323E-4,6.707E-4,-4.168E-4,0.004686,5.011E-4,0.001518,2.925E-4,0.001171,-2.126E-4,0.001509,-7.083E-4,junk
0.001473,-5.117E-4,0.00137,-0.001029,0.001275,-7.263E-4,4.885E-4,-3.917E-4,0.004501,4.229E-4,0.001502,2.429E-4,0.001171,-3.021E-4,0.001442,-7.824E-4,junk
