A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.0129,3.721E-5,0.003825,4.36E-4,0.003188,6.658E-4,0.003526,9.776E-4,4.45E-4,3.299E-4,-8.442E-4,1.283E-4,-0.002048,-1.381E-4,-0.00153,4.456E-5,junk
0.01295,8.986E-6,0.003478,3.917E-4,0.002961,6.782E-4,0.003089,9.251E-4,0.001256,4.364E-4,-5.185E-4,1.431E-4,-0.001541,-1.067E-4,-0.00111,7.965E-5,junk
0.01232,-1.121E-4,0.003597,3.256E-4,0.002802,6.511E-4,0.003186,9.71E-4,0.00102,5.038E-4,-6.236E-4,1.532E-4,-0.001687,-1.154E-4,-0.001176,6.728E-5,junk
0.01192,-2.79E-4,0.003143,1.699E-4,0.002707,4.971E-4,0.002929,8.438E-4,0.001773,5.326E-4,-3.697E-4,1.655E-4,-0.001352,-7.717E-5,-8.449E-4,9.687E-5,junk
0.01098,-2.928E-4,0.002664,8.336E-5,0.002193,5.184E-4,0.002464,7.949E-4,0.001586,5.622E-4,-4.281E-4,1.646E-4,-0.0014,-9.73E-5,-8.78E-4,7.619E-5,junk
0.009902,-1.323E-5,0.002836,2.618E-4,0.002391,4.864E-4,0.002686,7.604E-4,0.001929,6.319E-4,-2.437E-4,1.631E-4,-0.001259,-7.519E-5,-7.023E-4,7.877E-5,junk
0.007486,9.284E-5,0.001885,1.742E-4,0.001642,3.255E-4,0.00166,3.841E-4,0.001683,5.858E-4,-3.544E-4,1.599E-4,-0.001342,-8.957E-5,-8.217E-4,6.325E-5,junk
0.002788,3.592E-4,7.748E-4,9.529E-5,4.713E-4,1.366E-4,5.55E-4,1.373E-4,0.002043,5.596E-4,-2.74E-4,1.612E-4,-0.001292,-7.289E-5,-8.133E-4,8.895E-5,junk
0.004017,3.225E-4,0.001107,1.731E-4,9.529E-4,1.662E-4,9.451E-4,1.992E-4,0.001723,5.575E-4,-3.424E-4,1.564E-4,-0.001368,-7.289E-5,-8.378E-4,5.604E-5,junk
0.004267,3.358E-4,0.001086,1.584E-4,8.549E-4,2.021E-4,8.131E-4,2.053E-4,0.001812,5.755E-4,-3.54E-4,1.532E-4,-0.001431,-6.053E-5,-9.783E-4,8.203E-5,junk
0.004102,3.46E-4,0.001312,1.918E-4,8.763E-4,2.087E-4,0.001016,2.71E-4,0.001556,5.064E-4,-4.413E-4,1.496E-4,-0.001469,-7.013E-5,-0.001012,7.578E-5,junk
0.00489,3.139E-4,0.001317,2.108E-4,0.001125,2.49E-4,0.001138,2.246E-4,0.001469,5.049E-4,-5.437E-4,1.646E-4,-0.00158,-6.14E-5,-0.001154,9.299E-5,junk
0.003963,3.336E-4,0.00117,1.716E-4,6.957E-4,2.349E-4,8.169E-4,2.648E-4,0.001362,4.432E-4,-4.432E-4,1.485E-4,-0.001386,-6.066E-5,-0.001041,1.013E-4,junk
0.004661,2.39E-4,0.001379,1.935E-4,0.001022,2.2E-4,0.001076,3.005E-4,6.727E-4,3.333E-4,-5.545E-4,2.147E-4,-0.001739,1.165E-5,-0.001244,1.418E-4,junk
0.006564,2.732E-4,0.001854,2.542E-4,0.001415,4.226E-4,0.001573,4.921E-4,0.001006,5.591E-4,-3.93E-4,2.843E-4,-0.002093,-7.287E-5,-0.00142,3.859E-5,junk
0.01058,4.504E-5,0.003164,3.865E-4,0.002421,6.628E-4,0.002773,0.001,0.001787,8.508E-4,-3.65E-4,3.971E-4,-0.00268,-6.491E-5,-0.001356,1.454E-4,junk
0.01418,-6.743E-5,0.004163,4.535E-4,0.003495,8.231E-4,0.003818,0.001182,0.002512,6.731E-4,4.762E-5,3.682E-4,-0.001573,-6.343E-5,-3.327E-4,2.204E-4,junk
0.01389,-8.893E-5,0.004064,4.201E-4,0.00316,8.504E-4,0.003569,0.001212,0.001944,5.009E-4,-1.621E-4,3.086E-4,-0.001564,-1.03E-4,-3.149E-4,2.113E-4,junk
0.01398,-8.341E-5,0.00413,4.628E-4,0.003372,8.201E-4,0.003753,0.001247,0.002478,3.08E-4,2.517E-4,2.817E-4,-7.908E-4,-8.038E-5,4.36E-4,2.558E-4,junk
0.01446,-8.158E-5,0.004231,4.609E-4,0.003472,8.742E-4,0.003805,0.001205,0.001736,2.126E-4,1.013E-4,2.816E-4,-9.823E-4,-5.638E-5,2.783E-4,2.934E-4,junk
0.01357,-4.542E-5,0.0039,4.457E-4,0.002988,8.449E-4,0.003457,0.001232,0.001973,1.593E-4,4.544E-4,1.706E-4,1.574E-4,-2.866E-5,0.001212,3.436E-4,junk
0.01465,-4.81E-5,0.004219,4.825E-4,0.003605,8.577E-4,0.003891,0.001232,-1.198E-4,-1.508E-4,-2.459E-6,8.176E-5,-8.387E-5,7.171E-6,7.615E-4,2.821E-4,junk
0.01477,3.828E-5,0.004261,4.843E-4,0.003459,8.892E-4,0.003914,0.001227,5.431E-4,-3.524E-4,5.373E-4,7.342E-5,3.751E-4,-1.643E-5,9.941E-4,2.757E-4,junk
0.01413,1.029E-4,0.003991,4.842E-4,0.003247,8.232E-4,0.003586,0.001201,3.504E-4,-3.599E-4,5.124E-4,1.257E-4,-5.408E-5,-3.778E-5,8.098E-4,2.782E-4,junk
0.01429,1.801E-4,0.0039,4.755E-4,0.003321,8.186E-4,0.003521,0.001105,4.994E-4,-2.281E-4,5.883E-4,1.439E-4,-1.167E-4,-2.984E-5,8.795E-4,3.03E-4,junk
0.01372,2.5E-4,0.003702,4.611E-4,0.002886,8.17E-4,0.003275,0.001148,-0.001404,-3.81E-4,-9.677E-5,9.791E-5,-9.429E-4,-1.101E-4,1.869E-4,2.444E-4,junk
0.01427,1.768E-4,0.003903,4.978E-4,0.003319,8.092E-4,0.003505,0.001158,-0.001198,-4.79E-4,2.318E-5,9.244E-5,-6.783E-4,-1.122E-4,2.788E-4,2.427E-4,junk
0.01428,2.04E-4,0.003969,4.768E-4,0.003319,8.195E-4,0.003647,0.001087,-0.001871,-5.268E-4,-8.217E-5,6.027E-5,-7.969E-4,-1.617E-4,1.742E-4,1.97E-4,junk
0.01336,6.049E-5,0.003649,4.356E-4,0.002946,7.604E-4,0.003253,0.001091,-0.002171,-5.617E-4,-1.647E-4,6.301E-5,-9.696E-4,-1.444E-4,-2.143E-5,2.048E-4,junk
0.0137,1.472E-5,0.003744,4.393E-4,0.003291,7.492E-4,0.003516,0.001014,-0.001583,-6.145E-4,2.084E-4,6.633E-5,-5.382E-4,-1.548E-4,3.713E-4,1.955E-4,junk
0.01308,2.965E-6,0.003648,4.382E-4,0.003005,7.855E-4,0.003307,0.0011,-0.00163,-5.351E-4,2.71E-4,1.386E-4,-0.001054,-1.167E-4,7.785E-5,2.513E-4,junk
0.01677,-2.896E-4,0.004779,5.099E-4,0.004085,9.69E-4,0.004478,0.001411,6.29E-4,-2.542E-4,0.001019,2.674E-4,-6.656E-4,-9.32E-5,9.62E-4,3.018E-4,junk
0.0176,-2.693E-4,0.005088,5.042E-4,0.004379,9.406E-4,0.004796,0.001293,-4.881E-4,-3.341E-4,5.081E-4,2.265E-4,-0.001197,-1.312E-4,6.399E-4,3.083E-4,junk
0.01354,6.98E-5,0.003804,4.994E-4,0.003136,8.195E-4,0.003492,0.001166,6.155E-4,-3.41E-4,9.346E-4,1.977E-4,-6.461E-4,-1.385E-4,0.001169,2.806E-4,junk
0.01555,-1.89E-4,0.004502,5.362E-4,0.003992,9.027E-4,0.004332,0.001239,-1.54E-4,-3.184E-4,5.145E-4,1.632E-4,-0.001208,-1.896E-4,7.02E-4,2.113E-4,junk
0.01537,-2.913E-4,0.004617,4.789E-4,0.003877,8.871E-4,0.00432,0.001242,0.001487,2.874E-4,2.508E-4,1.373E-4,-0.002151,-3.943E-4,-7.627E-5,-7.654E-5,junk
