A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.004497,3.04E-4,0.001997,-4.612E-4,0.002409,-6.078E-4,0.001532,-3.38E-4,0.007118,6.399E-4,0.002931,-3.52E-4,0.002127,-6.412E-6,0.001587,2.436E-4,junk
0.002928,1.959E-4,0.001327,-6.544E-4,0.001227,-7.123E-4,5.289E-4,-3.985E-4,0.004013,5.441E-4,0.001281,-4.24E-4,-4.824E-6,-1.267E-4,-3.887E-4,2.185E-4,junk
0.002313,2.347E-4,0.001147,-5.722E-4,0.001097,-6.23E-4,4.457E-4,-3.621E-4,0.004361,5.106E-4,0.001645,-4.99E-4,4.683E-4,-1.803E-4,2.157E-5,1.196E-4,junk
0.003794,3.603E-4,0.001745,-5.093E-4,0.001896,-5.783E-4,0.001143,-3.31E-4,0.005737,6.558E-4,0.002377,-3.673E-4,0.001223,-3.039E-5,7.477E-4,2.385E-4,junk
0.001823,2.721E-4,0.001037,-6.27E-4,9.001E-4,-6.508E-4,2.27E-4,-3.365E-4,0.003479,4.572E-4,0.001204,-4.705E-4,-1.507E-4,-1.778E-4,-5.543E-4,1.25E-4,junk
0.004105,4.969E-4,0.001853,-4.376E-4,0.002273,-5.239E-4,0.001428,-2.58E-4,0.007176,6.802E-4,0.002974,-3.324E-4,0.002129,-2.45E-5,0.001659,2.128E-4,junk
0.003429,2.536E-4,0.001483,-5.58E-4,0.00143,-5.87E-4,6.835E-4,-2.777E-4,0.004089,6.407E-4,0.001741,-3.622E-4,3.506E-4,-6.417E-5,-1.373E-5,2.062E-4,junk
0.002522,4.226E-4,0.001391,-5.265E-4,0.001357,-4.998E-4,7.162E-4,-2.564E-4,0.005355,4.649E-4,0.00246,-3.536E-4,0.001288,-9.971E-5,7.895E-4,1.075E-4,junk
0.00209,5.308E-4,0.00118,-5.289E-4,0.00144,-5.601E-4,6.796E-4,-2.871E-4,0.005847,5.631E-4,0.002673,-2.807E-4,0.001354,1.534E-6,7.456E-4,1.645E-4,junk
-1.438E-4,6.315E-4,5.44E-4,-6.469E-4,5.143E-4,-5.898E-4,-5.493E-5,-2.931E-4,0.003874,4.432E-4,0.001828,-3.395E-4,5.052E-4,-9.505E-5,3.184E-5,8.228E-5,junk
0.004427,5.707E-4,0.002002,-3.673E-4,0.002267,-3.813E-4,0.001466,-1.68E-4,0.007801,5.587E-4,0.003738,-1.783E-4,0.002678,8.224E-5,0.002103,2.19E-4,junk
0.004965,2.753E-4,0.002049,-4.403E-4,0.001809,-4.001E-4,9.711E-4,-1.169E-4,0.004845,4.439E-4,0.002419,-1.882E-4,9.175E-4,4.089E-5,4.973E-4,2.205E-4,junk
0.006263,3.371E-4,0.002553,-3.417E-4,0.002378,-2.843E-4,0.00155,-3.275E-5,0.006704,3.992E-4,0.003575,-1.729E-4,0.002361,8.188E-5,0.001779,2.254E-4,junk
0.005135,4.314E-4,0.002111,-4.61E-4,0.002155,-3.996E-4,0.001468,-1.373E-4,0.006005,4.267E-4,0.003144,-1.268E-4,0.001803,1.725E-4,0.001298,2.632E-4,junk
0.001154,6.039E-4,8.643E-4,-6.74E-4,7.876E-4,-5.978E-4,2.256E-4,-2.543E-4,0.003333,2.345E-4,0.002062,-2.06E-4,6.805E-4,4.187E-5,1.803E-4,9.504E-5,junk
8.946E-4,2.337E-4,0.001023,-7.007E-4,0.001393,-5.958E-4,5.028E-4,-3.804E-4,0.005518,3.466E-4,0.003546,-3.409E-5,0.002341,2.176E-4,0.00142,8.315E-5,junk
-0.002099,2.433E-4,-5.318E-5,-9.21E-4,-9.277E-5,-7.46E-4,-6.203E-4,-3.932E-4,9.532E-4,3.111E-4,0.001695,-1.299E-4,2.379E-4,6.643E-5,-5.389E-4,2.812E-5,junk
-3.061E-4,8.205E-4,6.92E-4,-5.892E-4,9.966E-4,-5.299E-4,4.269E-4,-2.541E-4,0.005181,4.567E-4,0.003359,-1.042E-4,0.002043,7.852E-5,0.001295,-4.021E-6,junk
0.003567,5.121E-4,0.001594,-5.011E-4,0.001547,-3.849E-4,7.432E-4,-1.185E-4,0.004131,5.012E-4,0.002044,-2.568E-4,5.74E-4,5.338E-5,2.465E-4,8.992E-5,junk
0.00349,6.113E-4,0.001595,-4.444E-4,0.001643,-3.633E-4,7.241E-4,-6.436E-5,0.005281,6.086E-4,0.002339,-3.271E-4,0.001086,-1.547E-5,7.308E-4,9.638E-5,junk
0.004114,5.887E-4,0.001872,-4.354E-4,0.001924,-3.418E-4,0.001181,-9.433E-5,0.006799,7.451E-4,0.002852,-2.606E-4,0.001598,8.682E-5,0.001316,2.007E-4,junk
0.003451,5.711E-4,0.001548,-4.532E-4,0.001665,-3.571E-4,8.584E-4,-8.156E-5,0.006182,7.191E-4,0.002582,-3.373E-4,0.001256,3.464E-5,0.001016,1.624E-4,junk
0.004977,5.985E-4,0.002033,-3.608E-4,0.002294,-3.013E-4,0.001438,-3.699E-5,0.007913,7.853E-4,0.003333,-2.183E-4,0.002002,1.787E-4,0.001817,2.387E-4,junk
0.004891,5.134E-4,0.001955,-3.653E-4,0.002135,-3.018E-4,0.001315,-6.045E-6,0.007284,7.381E-4,0.003057,-2.436E-4,0.001714,1.225E-4,0.001485,2.116E-4,junk
0.006784,5.196E-4,0.002539,-3.043E-4,0.002971,-2.545E-4,0.002008,1.735E-5,0.009702,7.994E-4,0.004007,-1.263E-4,0.002898,2.881E-4,0.002683,2.941E-4,junk
0.005162,5.739E-4,0.002103,-3.646E-4,0.002271,-2.709E-4,0.001511,-8.451E-6,0.008279,6.872E-4,0.003292,-2.063E-4,0.00195,2.101E-4,0.001687,2.41E-4,junk
0.007165,6.843E-4,0.002713,-2.282E-4,0.00332,-2.1E-4,0.00243,2.871E-5,0.01191,7.862E-4,0.004877,-8.602E-5,0.003828,3.708E-4,0.003591,3.52E-4,junk
0.006133,5.525E-4,0.002334,-3.29E-4,0.002678,-2.655E-4,0.001903,-1.242E-6,0.009716,7.373E-4,0.003841,-1.149E-4,0.002644,3.098E-4,0.002347,3.104E-4,junk
0.007097,7.677E-4,0.002744,-2.219E-4,0.003423,-2.301E-4,0.002559,8.694E-6,0.01283,7.168E-4,0.005244,-9.249E-5,0.004352,4.242E-4,0.004083,3.38E-4,junk
0.006799,6.895E-4,0.002521,-3.097E-4,0.003099,-3.031E-4,0.002372,-5.811E-5,0.0119,7.628E-4,0.004593,-8.134E-5,0.003619,4.76E-4,0.003358,3.812E-4,junk
0.005435,8.078E-4,0.002164,-3.546E-4,0.002828,-3.607E-4,0.002078,-7.77E-5,0.01176,5.88E-4,0.004468,-1.817E-4,0.003517,4.038E-4,0.003284,3.063E-4,junk
0.006686,8.194E-4,0.002468,-3.25E-4,0.00319,-3.491E-4,0.002413,-8.79E-5,0.01305,7.035E-4,0.004885,-1.352E-4,0.004079,4.895E-4,0.003824,4.135E-4,junk
