A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
0.001463,0.001024,0.001378,4.139E-4,9.102E-4,0.001022,-4.011E-4,7.97E-4,-7.506E-4,6.53E-4,1.346E-4,3.995E-5,-1.873E-4,1.845E-4,-1.979E-4,3.394E-5,junk,junk
0.002323,9.866E-4,0.002194,4.221E-4,0.001634,0.001035,1.285E-4,8.094E-4,2.599E-4,6.756E-4,5.837E-4,1.502E-4,2.517E-4,3.04E-4,1.361E-4,1.003E-4,junk,junk
0.001557,9.59E-4,8.145E-4,3.118E-4,6.25E-4,9.838E-4,-6.795E-4,7.684E-4,-0.001408,6.746E-4,-6.509E-4,2.341E-5,-0.001282,1.937E-4,-9.217E-4,9.281E-5,junk,junk
-0.001144,0.001179,1.442E-4,2.587E-4,3.768E-4,7.751E-4,-7.56E-4,6.371E-4,-0.001208,7.391E-4,-3.699E-4,-3.655E-5,-3.787E-4,1.871E-4,-4.377E-4,-4.952E-5,junk,junk
-0.001787,0.001328,-4.293E-4,1.644E-4,1.239E-4,7.448E-4,-8.413E-4,6.108E-4,-0.001105,7.654E-4,-8.09E-4,-2.829E-5,-9.443E-4,2.235E-4,-7.529E-4,-3.877E-6,junk,junk
-0.002673,0.00133,-0.001808,5.576E-5,-9.26E-4,6.86E-4,-0.001802,5.879E-4,-0.002762,5.942E-4,-0.002072,-1.773E-4,-0.002373,4.746E-5,-0.001908,-1.874E-5,junk,junk
-0.002144,0.001353,-5.649E-4,1.952E-4,3.937E-5,7.122E-4,-9.556E-4,6.185E-4,-0.001355,6.528E-4,-7.24E-4,-6.437E-5,-8.084E-4,2.317E-4,-7.581E-4,-5.29E-5,junk,junk
-0.001971,0.001367,-7.244E-4,1.383E-4,2.59E-5,6.588E-4,-0.001095,6.01E-4,-0.001553,7.049E-4,-0.001116,-5.569E-5,-0.001343,2.271E-4,-0.001106,-9.266E-6,junk,junk
-0.002627,0.001298,-0.001517,1.205E-4,-7.229E-4,6.833E-4,-0.001659,6.096E-4,-0.002406,6.44E-4,-0.00163,-1.259E-4,-0.001914,1.09E-4,-0.001536,-7.027E-5,junk,junk
-0.002409,0.00127,-0.001388,1.756E-4,-6.594E-4,6.86E-4,-0.001652,6.124E-4,-0.002094,6.312E-4,-0.001443,-9.395E-5,-0.00164,1.341E-4,-0.00133,-7.552E-5,junk,junk
-0.001978,0.001287,-0.00142,7.23E-5,-6.074E-4,6.666E-4,-0.001662,5.998E-4,-0.002191,7.483E-4,-0.001821,-8.171E-5,-0.002163,1.464E-4,-0.001697,-2.057E-5,junk,junk
-0.001514,0.001328,-4.852E-4,1.917E-4,1.475E-4,7.056E-4,-9.253E-4,6.058E-4,-0.001153,7.699E-4,-8.311E-4,-2.271E-6,-9.759E-4,2.73E-4,-8.197E-4,-1.124E-5,junk,junk
-0.002627,0.001298,-0.001517,1.205E-4,-7.229E-4,6.833E-4,-0.001659,6.096E-4,-0.002406,6.44E-4,-0.00163,-1.259E-4,-0.001914,1.09E-4,-0.001536,-7.027E-5,junk,junk
-0.001592,0.001325,-4.896E-4,2.125E-4,1.778E-4,7.044E-4,-9.766E-4,6.172E-4,-7.103E-4,8.012E-4,-7.608E-4,1.105E-5,-8.573E-4,2.675E-4,-7.696E-4,-2.153E-5,junk,junk
-0.002554,0.001234,-7.311E-4,1.952E-4,-4.899E-4,6.682E-4,-0.001229,6.309E-4,-0.002226,8.283E-4,-0.001532,1.696E-4,-0.001514,3.72E-4,-0.001414,4.227E-5,junk,junk
-0.002883,0.001168,-0.001538,2.035E-4,-0.001033,6.64E-4,-0.001694,6.306E-4,-0.002801,7.754E-4,-0.001977,5.33E-5,-0.002044,2.484E-4,-0.001772,-3.003E-5,junk,junk
-0.00204,0.001145,-8.993E-4,2.064E-4,-3.789E-4,6.81E-4,-0.001173,6.463E-4,-0.001858,8.472E-4,-0.001509,1.546E-4,-0.00157,3.624E-4,-0.001433,5.778E-5,junk,junk
-0.001908,0.001119,-3.311E-4,2.998E-4,1.202E-4,6.826E-4,-7.342E-4,6.633E-4,-0.001355,8.65E-4,-8.477E-4,1.729E-4,-7.202E-4,4.12E-4,-7.866E-4,1.18E-5,junk,junk
-0.002667,0.001145,-0.001653,1.559E-4,-8.972E-4,6.351E-4,-0.001764,6.453E-4,-0.002749,7.372E-4,-0.002113,3.151E-5,-0.002376,2.491E-4,-0.002026,1.447E-5,junk,junk
-0.001399,0.001085,-4.235E-4,2.502E-4,1.401E-4,7.097E-4,-7.498E-4,6.405E-4,-0.00108,8.305E-4,-0.001012,1.761E-4,-0.001074,4.215E-4,-0.001004,5.38E-5,junk,junk
-0.001861,0.001145,-3.67E-4,2.831E-4,1.122E-4,7.353E-4,-8.009E-4,6.559E-4,-0.001298,8.211E-4,-7.606E-4,1.253E-4,-6.733E-4,3.487E-4,-7.465E-4,-1.886E-5,junk,junk
-0.002064,0.001064,-0.001439,1.307E-4,-6.127E-4,6.834E-4,-0.001636,6.328E-4,-0.002537,7.432E-4,-0.002163,7.072E-5,-0.002439,2.647E-4,-0.001999,3.05E-5,junk,junk
-9.253E-4,0.001169,-3.211E-4,2.643E-4,3.742E-4,7.241E-4,-6.882E-4,6.579E-4,-0.001121,8.784E-4,-9.879E-4,1.493E-4,-0.001071,3.853E-4,-0.001021,5.04E-5,junk,junk
-0.001085,0.001154,-7.247E-4,2.875E-4,2.158E-4,7.024E-4,-9.193E-4,6.623E-4,-0.001484,8.776E-4,-0.00107,9.883E-5,-0.001131,3.338E-4,-0.001047,-1.095E-5,junk,junk
-8.044E-4,0.001254,-5.161E-4,2.453E-4,3.351E-4,7.244E-4,-8.271E-4,6.695E-4,-0.001034,9.251E-4,-0.001169,1.597E-4,-0.00125,3.584E-4,-0.001138,3.317E-5,junk,junk
-8.437E-4,0.001369,-1.099E-4,3.22E-4,7.078E-4,7.307E-4,-5.247E-4,6.73E-4,-5.391E-4,9.728E-4,-5.637E-4,1.739E-4,-5.04E-4,4.119E-4,-5.386E-4,2.0E-5,junk,junk
-0.001725,0.001304,-0.001329,1.966E-4,-3.66E-4,7.175E-4,-0.001512,6.858E-4,-0.002277,9.584E-4,-0.001688,3.242E-5,-0.001924,2.385E-4,-0.001707,1.07E-5,junk,junk
-0.001189,0.001383,-4.08E-4,2.669E-4,4.105E-4,7.395E-4,-7.821E-4,6.699E-4,-0.001027,0.001045,-8.848E-4,1.531E-4,-9.261E-4,3.866E-4,-8.761E-4,3.475E-5,junk,junk
-0.001999,0.00132,-8.053E-4,2.641E-4,-9.797E-6,7.27E-4,-0.001138,6.883E-4,-0.001914,9.598E-4,-0.001015,7.116E-5,-0.001003,2.887E-4,-9.907E-4,-3.33E-5,junk,junk
-0.002344,0.001349,-0.001476,1.651E-4,-4.965E-4,6.893E-4,-0.001648,6.535E-4,-0.002594,8.924E-4,-0.001913,5.689E-5,-0.002247,2.577E-4,-0.001866,1.028E-5,junk,junk
-0.002217,0.001414,-6.521E-4,2.296E-4,1.435E-4,7.187E-4,-0.00101,6.624E-4,-0.001708,0.001021,-0.001024,7.985E-5,-0.00113,3.236E-4,-0.00105,9.123E-6,junk,junk
-0.0027,0.001318,-0.001301,1.71E-4,-4.801E-4,7.103E-4,-0.001586,6.598E-4,-0.002718,9.406E-4,-0.001618,8.692E-6,-0.001833,2.175E-4,-0.001579,-2.984E-5,junk,junk
-0.002421,0.001385,-8.326E-4,2.288E-4,3.122E-5,7.135E-4,-0.001167,6.629E-4,-0.001974,0.001024,-0.001208,6.561E-5,-0.00128,2.971E-4,-0.001263,1.476E-5,junk,junk
-0.002893,0.001361,-8.723E-4,2.725E-4,-2.929E-5,7.036E-4,-0.00117,6.539E-4,-0.00218,9.599E-4,-0.001045,5.372E-5,-0.00103,2.687E-4,-0.001023,-6.525E-5,junk,junk
-0.00333,0.001309,-0.001799,1.171E-4,-8.153E-4,6.847E-4,-0.001841,6.336E-4,-0.003109,8.287E-4,-0.002132,-3.294E-5,-0.002451,1.895E-4,-0.001978,-1.892E-5,junk,junk
-0.002556,0.001311,-6.075E-4,2.054E-4,1.151E-4,6.988E-4,-0.001008,6.062E-4,-0.001551,8.408E-4,-0.001031,8.827E-5,-0.001033,3.005E-4,-9.858E-4,-5.54E-6,junk,junk
-0.003298,0.001236,-0.001339,2.169E-4,-5.434E-4,6.613E-4,-0.001553,6.107E-4,-0.002407,6.494E-4,-0.001429,-2.866E-5,-0.001497,1.911E-4,-0.001345,-6.7E-5,junk,junk
-0.003219,0.001262,-0.001548,1.052E-4,-7.086E-4,6.665E-4,-0.001766,5.96E-4,-0.002536,6.444E-4,-0.001937,-1.374E-5,-0.002233,1.84E-4,-0.001837,3.034E-7,junk,junk
-0.002328,0.001173,-7.38E-4,2.16E-4,2.825E-5,6.656E-4,-0.001143,6.217E-4,-0.001419,6.575E-4,-0.001039,4.874E-5,-0.001151,3.04E-4,-9.698E-4,-2.76E-5,junk,junk
-0.003089,0.001295,-0.001661,1.419E-4,-8.128E-4,6.687E-4,-0.001782,5.912E-4,-0.002265,5.728E-4,-0.001774,-8.155E-5,-0.001978,1.6E-4,-0.00169,-6.136E-5,junk,junk
-0.002285,0.001264,-8.843E-4,1.683E-4,-1.21E-4,6.798E-4,-0.001248,6.117E-4,-0.001299,7.455E-4,-0.001156,1.618E-5,-0.00129,2.522E-4,-0.001171,-2.096E-5,junk,junk
-0.002607,0.001329,-8.924E-4,2.11E-4,-3.098E-4,6.603E-4,-0.001303,5.982E-4,-0.001344,6.304E-4,-9.98E-4,-4.743E-5,-0.00112,2.236E-4,-0.001001,-7.797E-5,junk,junk
-0.002299,0.001247,-0.00162,8.189E-5,-7.676E-4,6.596E-4,-0.001812,5.943E-4,-0.002065,6.823E-4,-0.001924,-6.763E-5,-0.002334,1.546E-4,-0.001822,-2.766E-5,junk,junk
-0.003303,0.0011,-0.001843,9.519E-5,-0.001301,5.934E-4,-0.002087,6.051E-4,-0.003617,8.039E-4,-0.002556,7.308E-5,-0.002839,2.736E-4,-0.00231,2.398E-5,junk,junk
-0.003594,0.001149,-0.001452,2.232E-4,-0.001139,6.538E-4,-0.001861,6.112E-4,-0.003221,8.085E-4,-0.001863,8.661E-5,-0.00184,2.689E-4,-0.001723,-1.539E-5,junk,junk
-0.003195,0.001127,-9.659E-4,1.714E-4,-7.073E-4,6.528E-4,-0.001607,6.294E-4,-0.002695,9.567E-4,-0.001688,1.73E-4,-0.001745,3.906E-4,-0.001596,3.536E-5,junk,junk
-0.004102,0.001113,-0.00242,7.268E-5,-0.001822,6.013E-4,-0.002603,5.889E-4,-0.00446,9.214E-4,-0.003048,7.36E-5,-0.003271,2.166E-4,-0.00269,2.753E-5,junk,junk
-0.003961,0.001234,-0.001143,2.382E-4,-9.491E-4,6.638E-4,-0.001859,6.328E-4,-0.003028,9.14E-4,-0.001655,1.591E-4,-0.001628,3.557E-4,-0.001586,1.053E-5,junk,junk
-0.003638,0.001215,-0.001455,1.821E-4,-0.001063,6.566E-4,-0.002101,6.44E-4,-0.003024,9.453E-4,-0.002066,1.792E-4,-0.002193,3.519E-4,-0.001976,1.505E-5,junk,junk
-0.004776,0.001216,-0.002742,9.567E-5,-0.00212,6.488E-4,-0.002998,6.136E-4,-0.00449,8.398E-4,-0.003087,2.097E-5,-0.003408,1.819E-4,-0.002819,-8.84E-6,junk,junk
-0.004049,0.001199,-0.001377,2.424E-4,-0.001037,6.677E-4,-0.002104,6.26E-4,-0.002886,8.844E-4,-0.001984,1.99E-4,-0.002015,3.566E-4,-0.001898,6.66E-6,junk,junk
-0.004577,0.001291,-0.002085,1.067E-4,-0.001607,6.512E-4,-0.002668,6.256E-4,-0.003671,9.921E-4,-0.00275,1.444E-4,-0.002995,3.12E-4,-0.002588,3.523E-5,junk,junk
-0.004936,0.00136,-0.002259,1.86E-4,-0.001827,6.864E-4,-0.002758,6.369E-4,-0.004026,9.442E-4,-0.002575,1.102E-4,-0.002732,2.627E-4,-0.00237,-2.759E-5,junk,junk
-0.003903,0.001437,-0.00122,2.534E-4,-7.878E-4,7.041E-4,-0.001984,6.586E-4,-0.002583,0.001107,-0.001782,2.47E-4,-0.001897,4.237E-4,-0.001776,4.939E-5,junk,junk
-0.004063,0.001387,-0.002127,1.316E-4,-0.001567,6.875E-4,-0.002641,6.519E-4,-0.003711,0.001052,-0.002796,1.649E-4,-0.003119,3.217E-4,-0.002655,4.532E-5,junk,junk
-0.003837,0.001507,-0.001569,2.902E-4,-0.001126,7.412E-4,-0.002168,6.837E-4,-0.002855,9.833E-4,-0.001897,2.179E-4,-0.001979,3.655E-4,-0.001887,1.92E-5,junk,junk
-0.002731,0.001477,-0.001069,2.821E-4,-5.769E-4,7.652E-4,-0.001766,7.037E-4,-0.002223,0.001133,-0.00167,2.779E-4,-0.001858,4.528E-4,-0.001735,6.19E-5,junk,junk
-0.003537,0.001457,-0.00232,1.526E-4,-0.001563,7.389E-4,-0.00263,6.887E-4,-0.003694,0.001012,-0.002935,1.679E-4,-0.003395,3.311E-4,-0.00273,5.686E-5,junk,junk
-0.003133,0.001482,-0.001439,3.177E-4,-8.888E-4,7.511E-4,-0.002017,6.946E-4,-0.002574,9.407E-4,-0.00179,2.239E-4,-0.001937,3.869E-4,-0.001865,2.098E-5,junk,junk
-0.002694,0.001479,-0.001365,2.527E-4,-7.783E-4,7.534E-4,-0.00192,6.775E-4,-0.002464,9.954E-4,-0.001988,2.525E-4,-0.002259,4.258E-4,-0.002024,6.023E-5,junk,junk
-0.003392,0.001439,-0.002321,2.093E-4,-0.001566,7.325E-4,-0.002624,6.971E-4,-0.003623,9.659E-4,-0.002664,1.478E-4,-0.002983,2.785E-4,-0.002614,2.572E-5,junk,junk
-0.001927,0.00136,-9.108E-4,2.963E-4,-3.014E-4,7.368E-4,-0.001507,6.868E-4,-0.001896,0.001195,-0.001482,3.098E-4,-0.001609,4.8E-4,-0.00152,7.217E-5,junk,junk
-0.00228,0.00137,-0.001703,2.168E-4,-9.421E-4,7.392E-4,-0.0021,6.971E-4,-0.002751,0.001145,-0.002341,2.688E-4,-0.002624,3.874E-4,-0.002271,9.414E-5,junk,junk
-0.003159,0.001338,-0.002436,2.222E-4,-0.001606,7.366E-4,-0.00266,7.066E-4,-0.003683,0.001068,-0.0027,1.516E-4,-0.003027,2.994E-4,-0.00252,1.781E-5,junk,junk
-0.001931,0.001376,-9.653E-4,3.203E-4,-2.595E-4,7.695E-4,-0.001389,6.892E-4,-0.001644,0.001169,-0.001429,3.274E-4,-0.001604,5.061E-4,-0.001475,6.854E-5,junk,junk
-0.002124,0.00133,-0.001801,1.85E-4,-9.397E-4,7.179E-4,-0.002088,6.784E-4,-0.002561,0.001144,-0.002432,2.667E-4,-0.002819,4.095E-4,-0.002337,7.626E-5,junk,junk
-0.002627,0.001193,-0.002343,2.245E-4,-0.001543,7.427E-4,-0.002486,6.773E-4,-0.003299,9.773E-4,-0.00265,1.595E-4,-0.002934,3.133E-4,-0.002452,2.244E-5,junk,junk
-0.00196,0.001309,-0.001216,2.73E-4,-4.637E-4,7.523E-4,-0.001618,6.93E-4,-0.001986,0.00118,-0.001754,2.899E-4,-0.002034,4.833E-4,-0.001844,6.87E-5,junk,junk
-0.002555,0.001287,-0.002256,1.802E-4,-0.001279,7.098E-4,-0.002329,6.565E-4,-0.003195,0.001181,-0.002812,2.46E-4,-0.003237,3.746E-4,-0.002632,6.139E-5,junk,junk
-0.002748,0.001312,-0.001901,2.704E-4,-0.00109,7.437E-4,-0.002147,6.858E-4,-0.002837,0.001153,-0.002252,2.39E-4,-0.002477,3.692E-4,-0.002236,2.546E-5,junk,junk
-0.002497,0.001282,-0.001828,2.107E-4,-9.219E-4,7.124E-4,-0.002058,6.82E-4,-0.00306,0.001353,-0.002374,2.391E-4,-0.002743,4.013E-4,-0.002412,7.25E-5,junk,junk
-0.003679,0.001296,-0.003374,1.128E-4,-0.002138,6.625E-4,-0.003038,6.505E-4,-0.00476,0.001251,-0.003762,1.217E-4,-0.004227,2.278E-4,-0.003363,5.274E-5,junk,junk
-0.002502,0.001287,-0.001433,3.038E-4,-7.357E-4,7.363E-4,-0.001832,6.786E-4,-0.002341,0.001338,-0.001758,3.043E-4,-0.001965,4.494E-4,-0.001909,3.614E-5,junk,junk
-0.002242,0.001368,-0.001659,2.436E-4,-7.59E-4,7.507E-4,-0.001878,6.844E-4,-0.002408,0.001465,-0.002209,3.234E-4,-0.002556,4.601E-4,-0.00217,5.838E-5,junk,junk
-0.003239,0.001314,-0.003163,1.918E-4,-0.001902,7.051E-4,-0.002816,6.5E-4,-0.004021,0.001367,-0.003328,1.753E-4,-0.003747,2.519E-4,-0.00304,3.255E-5,junk,junk
-0.001691,0.001321,-0.001198,3.46E-4,-3.662E-4,7.389E-4,-0.001521,7.117E-4,-0.001689,0.001581,-0.001583,3.419E-4,-0.001774,4.825E-4,-0.00168,5.638E-5,junk,junk
