A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.002399,3.57E-4,0.002191,-5.011E-5,0.001703,1.329E-4,9.032E-4,2.452E-4,7.774E-4,8.731E-4,-1.307E-4,6.102E-4,-0.001329,4.197E-4,-0.001793,5.013E-5,junk
0.00317,4.25E-4,0.002782,-5.759E-5,0.002487,1.046E-4,0.001776,2.136E-4,-3.501E-5,9.495E-4,-0.001104,6.013E-4,-0.001971,4.617E-4,-0.002392,9.341E-5,junk
0.00286,4.443E-4,0.002395,-8.034E-5,0.001798,6.762E-5,0.001046,2.538E-4,6.269E-4,9.922E-4,1.104E-5,6.039E-4,-0.00115,4.677E-4,-0.001522,7.967E-5,junk
0.003065,3.45E-4,0.002905,-5.317E-5,0.002658,1.089E-4,0.001867,2.988E-4,2.085E-4,0.001029,-4.198E-4,5.899E-4,-0.001327,4.918E-4,-0.001744,1.304E-4,junk
0.003014,2.697E-4,0.00274,-1.012E-4,0.002492,6.469E-5,0.001653,2.785E-4,4.35E-4,0.001009,3.002E-5,5.512E-4,-0.001012,5.106E-4,-0.001312,1.256E-4,junk
0.002879,2.288E-4,0.00256,-1.0E-4,0.002291,6.165E-5,0.001517,2.887E-4,4.954E-4,0.001059,1.191E-4,5.701E-4,-8.803E-4,5.403E-4,-0.00124,1.512E-4,junk
0.002947,2.113E-4,0.002674,-1.183E-4,0.002376,3.643E-5,0.001568,2.873E-4,1.867E-4,9.961E-4,-1.75E-4,5.395E-4,-0.001023,5.151E-4,-0.001331,1.609E-4,junk
0.001895,2.191E-4,0.002095,-1.416E-4,0.001586,2.424E-5,9.291E-4,2.848E-4,7.102E-4,0.00109,5.577E-4,5.503E-4,-4.914E-4,5.508E-4,-8.183E-4,1.987E-4,junk
0.001556,1.257E-4,0.002235,-1.655E-4,0.00192,-1.199E-5,0.001149,2.608E-4,3.238E-5,0.001081,-1.092E-4,5.048E-4,-9.21E-4,5.329E-4,-0.001216,1.888E-4,junk
7.262E-4,1.226E-4,0.001598,-1.884E-4,0.001015,-4.736E-5,3.697E-4,2.254E-4,0.001142,0.001117,9.561E-4,5.348E-4,-1.627E-4,5.641E-4,-4.879E-4,2.176E-4,junk
