A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,junk,junk,junk,junk,junk
0.002006,-7.642E-7,5.657E-4,-7.179E-5,5.41E-4,-5.962E-5,2.302E-4,-2.736E-5,0.01064,-0.006927,5.567E-4,-2.124E-4,4.785E-4,1.925E-4,-4.284E-4,3.3E-4,junk,junk,junk,junk,junk
-0.004157,0.002106,5.731E-4,-1.728E-5,4.613E-4,-3.143E-5,7.404E-4,-2.831E-4,-0.001244,4.295E-5,-2.349E-5,2.318E-4,5.909E-4,3.17E-4,3.14E-4,1.329E-4,junk,junk,junk,junk,junk
