A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.009309,-0.0025,0.004559,8.154E-4,0.003838,9.655E-4,0.003118,0.001569,-0.002607,0.001406,1.061E-4,3.261E-4,-4.607E-4,2.942E-4,-8.226E-5,2.777E-4,one,one,junk
0.008377,-0.002431,0.003844,7.379E-4,0.003173,9.66E-4,0.002676,0.001533,-0.002535,0.001396,-6.86E-5,3.093E-4,-6.297E-4,2.891E-4,-2.704E-4,2.971E-4,one,one,junk
0.008749,-0.002422,0.004589,7.97E-4,0.003657,9.445E-4,0.003007,0.001528,-0.002777,0.001558,1.339E-4,3.054E-4,-3.211E-4,2.79E-4,5.047E-5,2.996E-4,one,one,junk
0.008807,-0.002539,0.00478,7.788E-4,0.003653,9.432E-4,0.002708,0.001383,-0.001807,0.001625,3.108E-4,3.53E-4,-1.076E-4,3.477E-4,2.129E-4,3.743E-4,one,one,junk
0.008665,-0.002476,0.004282,9.235E-4,0.003192,9.666E-4,0.002287,0.001427,-0.001236,0.001491,1.725E-4,3.464E-4,-2.082E-4,3.721E-4,5.479E-5,4.798E-4,one,one,junk
0.01207,-0.002218,0.005972,0.001112,0.00459,0.00118,0.003433,0.001754,-0.001317,0.001414,-5.863E-5,3.127E-4,-3.569E-4,3.68E-4,-6.385E-5,4.837E-4,one,one,junk
0.006502,-0.002305,0.003489,5.866E-4,0.002808,5.712E-4,0.001959,8.838E-4,-2.646E-4,0.001409,3.745E-4,3.323E-4,2.677E-4,3.896E-4,4.341E-4,4.889E-4,one,one,junk
0.00643,-0.002179,0.003194,6.702E-4,0.002545,7.156E-4,0.001919,0.001211,1.512E-4,0.001361,3.629E-4,3.468E-4,1.3E-4,4.012E-4,3.853E-4,5.064E-4,one,one,junk
0.008347,-0.002364,0.003739,6.709E-4,0.003194,7.443E-4,0.002336,0.001206,-4.079E-4,0.001306,6.747E-5,3.154E-4,-2.329E-4,3.542E-4,8.169E-6,4.612E-4,one,one,junk
0.00812,-0.002407,0.003418,6.078E-4,0.002765,7.7E-4,0.002236,0.001234,-2.182E-4,0.001244,3.285E-4,3.084E-4,9.274E-5,3.314E-4,2.881E-4,4.373E-4,one,one,junk
