A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.004866,3.72E-4,0.002327,4.363E-4,0.001885,8.447E-5,0.001051,8.121E-5,0.002032,0.003101,9.915E-4,5.39E-4,8.624E-4,4.783E-4,8.281E-4,5.963E-4,junk,junk,junk
0.001611,4.095E-4,3.276E-4,1.839E-4,6.03E-4,-9.215E-5,8.533E-5,2.11E-5,0.004511,0.003312,0.001343,5.464E-4,0.00158,4.239E-4,0.001603,3.253E-4,junk,junk,junk
0.00245,4.272E-4,0.001135,1.482E-4,0.001204,-7.293E-5,7.722E-4,8.196E-5,0.00456,0.004188,0.001437,8.02E-4,0.001538,6.603E-4,0.001448,5.27E-4,junk,junk,junk
0.002948,2.861E-4,6.602E-4,1.535E-4,9.661E-4,-4.575E-5,7.21E-4,1.143E-4,0.005072,0.004051,0.001639,6.804E-4,0.001306,7.438E-4,0.001876,7.116E-4,junk,junk,junk
0.003734,3.657E-4,9.933E-4,3.063E-4,0.001061,7.122E-5,7.728E-4,1.685E-4,0.004848,0.005409,0.00175,6.134E-4,0.002077,7.53E-4,0.002056,5.204E-4,junk,junk,junk
0.0052,3.745E-4,0.002015,3.741E-4,0.001617,1.016E-4,0.001167,1.831E-4,0.005517,0.004335,0.001942,7.421E-4,0.002322,4.642E-4,0.001769,7.658E-4,junk,junk,junk
0.002458,2.741E-4,-8.001E-5,1.805E-4,2.463E-4,-2.678E-5,2.071E-4,7.59E-5,0.005339,0.004942,0.001718,7.039E-4,0.002046,6.47E-4,0.002022,5.98E-4,junk,junk,junk
0.002304,2.164E-4,3.723E-4,1.217E-4,5.464E-4,-7.484E-5,4.373E-4,7.797E-5,0.005544,0.00472,0.001549,8.385E-4,0.001959,6.21E-4,0.001786,6.282E-4,junk,junk,junk
0.002852,1.947E-4,2.491E-4,5.251E-5,7.874E-4,-9.287E-5,7.637E-4,1.621E-4,0.00768,0.004118,0.002493,5.126E-4,0.002024,6.561E-4,0.001845,8.386E-4,junk,junk,junk
0.001613,-2.587E-5,-0.001186,-3.468E-5,-1.038E-4,-5.371E-5,3.408E-4,1.888E-4,0.006675,0.005827,0.00231,6.161E-4,0.00195,9.174E-4,0.001936,6.25E-4,junk,junk,junk
0.001951,4.394E-5,-9.017E-5,-2.485E-5,4.605E-4,-1.107E-4,7.481E-4,2.219E-4,0.00746,0.004177,0.002261,7.848E-4,0.00239,6.274E-4,0.002095,8.447E-4,junk,junk,junk
8.592E-4,2.006E-5,-0.001206,-1.164E-4,-1.419E-4,-1.853E-4,2.404E-4,1.709E-4,0.006058,0.006365,0.002644,8.289E-4,0.002399,0.001041,0.002251,8.78E-4,junk,junk,junk
-1.938E-4,8.857E-5,-0.00167,-9.314E-5,-5.595E-4,-1.411E-4,1.462E-4,1.788E-4,0.008067,0.006144,0.002118,0.001029,0.002438,8.72E-4,0.002139,0.001051,junk,junk,junk
0.001461,8.119E-5,-4.311E-4,-4.143E-5,2.76E-4,-1.707E-4,6.281E-4,2.272E-4,0.007154,0.006337,0.002573,9.525E-4,0.002106,9.763E-4,0.002823,7.521E-4,junk,junk,junk
7.599E-4,8.843E-5,-0.001451,-8.114E-5,-2.62E-4,-1.427E-4,2.624E-4,2.167E-4,0.00574,0.006954,0.001882,9.327E-4,0.002799,8.846E-4,0.00254,8.371E-4,junk,junk,junk
0.001125,2.024E-4,-7.043E-4,6.999E-6,-3.169E-5,-1.109E-4,5.255E-4,2.595E-4,0.006111,0.006143,0.002795,7.924E-4,0.001966,8.317E-4,0.002505,9.345E-4,junk,junk,junk
0.002044,1.782E-4,-5.504E-4,2.37E-5,2.039E-4,-1.059E-4,7.259E-4,2.682E-4,0.005882,0.007724,0.002404,9.637E-4,0.002345,0.001033,0.002351,9.335E-4,junk,junk,junk
9.509E-4,1.97E-4,-0.001361,4.822E-7,-4.654E-4,-6.763E-5,3.24E-4,2.936E-4,0.007019,0.005757,0.002762,7.095E-4,0.002645,9.461E-4,0.002259,8.962E-4,junk,junk,junk
0.002315,1.786E-4,-1.416E-4,6.228E-5,3.403E-4,-7.566E-5,8.815E-4,3.473E-4,0.004961,0.006422,0.00275,8.916E-4,0.00216,9.356E-4,0.002368,7.889E-4,junk,junk,junk
0.001854,1.987E-4,-9.469E-4,1.844E-5,-1.123E-4,-5.465E-5,5.657E-4,3.387E-4,0.00647,0.006427,0.002096,8.754E-4,0.00254,7.449E-4,0.001942,8.478E-4,junk,junk,junk
