A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.02538,0.006855,0.004868,0.001543,0.004658,0.00174,0.004829,0.001757,0.04905,0.02059,0.01123,0.003462,0.008855,0.002756,0.01067,0.003781,one,one,junk
0.02553,0.00707,0.00481,0.001434,0.004703,0.001816,0.004695,0.001643,0.04823,0.0205,0.01077,0.003343,0.008654,0.002665,0.01015,0.003679,one,one,junk
0.02408,0.006725,0.004871,0.001495,0.004411,0.001709,0.004806,0.001699,0.04777,0.02049,0.01093,0.003387,0.008423,0.00266,0.01022,0.003742,one,one,junk
0.02464,0.006679,0.004493,0.001394,0.004515,0.001682,0.004431,0.001605,0.04737,0.02044,0.01054,0.003275,0.008308,0.002642,0.009945,0.003626,one,one,junk
0.02285,0.006652,0.004613,0.001356,0.004229,0.001679,0.004501,0.001549,0.04705,0.02049,0.01038,0.003344,0.008297,0.002663,0.009808,0.003678,one,one,junk
0.01626,0.005096,0.003235,9.63E-4,0.003032,0.001116,0.003176,0.001137,0.04499,0.02035,0.009579,0.003068,0.007504,0.002509,0.009175,0.003421,one,one,junk
0.01967,0.005897,0.003738,0.001043,0.0037,0.001373,0.003607,0.001203,0.04553,0.02055,0.009053,0.003146,0.007914,0.00264,0.008982,0.003433,one,one,junk
0.002093,0.002611,9.385E-4,1.862E-4,5.485E-4,2.831E-4,8.914E-4,2.718E-4,0.04263,0.02022,0.008035,0.002852,0.006683,0.002373,0.008071,0.003137,one,one,junk
0.004174,0.003139,8.5E-4,2.734E-4,9.913E-4,4.458E-4,8.854E-4,3.811E-4,0.04391,0.02043,0.007977,0.002827,0.007307,0.002528,0.008356,0.003148,one,one,junk
0.007967,0.00417,0.001922,5.23E-4,0.001659,7.683E-4,0.001873,6.448E-4,0.04455,0.02048,0.008301,0.002945,0.007318,0.00247,0.008388,0.00324,one,one,junk
0.01089,0.0046,0.002312,7.88E-4,0.002169,9.052E-4,0.002347,9.394E-4,0.04523,0.0207,0.008512,0.002993,0.007695,0.002627,0.008972,0.003287,one,one,junk
0.02219,0.006939,0.004218,0.001324,0.004216,0.001664,0.00418,0.001509,0.04518,0.02061,0.007964,0.002909,0.007258,0.00251,0.008211,0.003164,one,one,junk
0.02052,0.0065,0.004285,0.001336,0.003894,0.001511,0.004254,0.001492,0.04465,0.02046,0.008068,0.002888,0.007351,0.002513,0.008503,0.003196,one,one,junk
0.02265,0.006869,0.004233,0.001374,0.004273,0.001612,0.004208,0.00157,0.04554,0.02059,0.008081,0.002882,0.007396,0.002555,0.008458,0.003179,one,one,junk
0.02453,0.007397,0.004881,0.001502,0.004592,0.001816,0.004819,0.001674,0.04527,0.02037,0.008069,0.002897,0.007416,0.002495,0.008391,0.003195,one,one,junk
0.02411,0.007035,0.00473,0.001527,0.004501,0.00168,0.004721,0.001713,0.04544,0.02044,0.008343,0.002895,0.007342,0.002526,0.008648,0.003211,one,one,junk
0.02508,0.007461,0.004686,0.001471,0.004675,0.001818,0.00461,0.001671,0.04569,0.02024,0.00828,0.002866,0.007433,0.00249,0.008454,0.003162,one,one,junk
0.02667,0.007871,0.005417,0.001756,0.005002,0.001974,0.005409,0.001945,0.04663,0.0204,0.008732,0.003023,0.007972,0.002613,0.009142,0.003334,one,one,junk
0.02501,0.006796,0.004613,0.001366,0.004597,0.001581,0.004507,0.001528,0.04726,0.02047,0.009005,0.002993,0.007856,0.002598,0.009071,0.003306,one,one,junk
0.01512,0.005895,0.003165,9.926E-4,0.002979,0.001254,0.003167,0.001118,0.04859,0.0205,0.009423,0.003158,0.008812,0.002727,0.009771,0.003468,one,one,junk
0.02021,0.006471,0.004055,0.001331,0.003813,0.001468,0.004053,0.001497,0.04959,0.02071,0.01016,0.003277,0.008814,0.002769,0.01018,0.003582,one,one,junk
0.02152,0.006774,0.004012,0.001257,0.00405,0.001561,0.003962,0.00142,0.0494,0.02052,0.009864,0.003182,0.008845,0.002704,0.009876,0.003486,one,one,junk
0.01999,0.006497,0.004177,0.001314,0.003777,0.001493,0.004149,0.001459,0.04985,0.02058,0.01011,0.0033,0.009037,0.002783,0.01025,0.003616,one,one,junk
0.02139,0.006565,0.003999,0.001292,0.004005,0.001488,0.003967,0.001455,0.0495,0.02048,0.01005,0.003192,0.008574,0.002676,0.009884,0.003493,one,one,junk
0.0219,0.007401,0.00436,0.001469,0.004205,0.001777,0.004366,0.001652,0.04848,0.02036,0.009346,0.003156,0.008586,0.002689,0.009548,0.003421,one,one,junk
0.0324,0.008301,0.006305,0.001963,0.005941,0.002136,0.006201,0.00216,0.04766,0.02027,0.009357,0.003053,0.007932,0.002588,0.009347,0.003364,one,one,junk
0.02386,0.006952,0.00442,0.001356,0.004495,0.001628,0.004328,0.001491,0.04749,0.02012,0.008964,0.002978,0.008067,0.002569,0.009076,0.003279,one,one,junk
0.01241,0.005028,0.002815,8.441E-4,0.00251,9.567E-4,0.00279,9.197E-4,0.04785,0.02018,0.009227,0.003068,0.008229,0.002587,0.009385,0.003381,one,one,junk
0.01018,0.004301,0.001968,6.299E-4,0.002055,7.207E-4,0.001954,7.026E-4,0.048,0.02016,0.009461,0.00305,0.008034,0.002572,0.009402,0.003348,one,one,junk
0.006111,0.004009,0.001516,4.536E-4,0.001531,6.407E-4,0.001528,4.97E-4,0.04812,0.02018,0.009215,0.003083,0.008411,0.002629,0.009388,0.00339,one,one,junk
0.01006,0.004589,0.002277,8.084E-4,0.00213,8.382E-4,0.00235,8.862E-4,0.04737,0.02006,0.009392,0.003037,0.007742,0.002513,0.009236,0.003364,one,one,junk
0.01339,0.005136,0.002531,8.026E-4,0.002741,0.00101,0.002518,8.902E-4,0.04773,0.02006,0.009261,0.003026,0.00837,0.00259,0.009408,0.003321,one,one,junk
0.01296,0.005483,0.002923,0.001001,0.002664,0.001116,0.002981,0.001091,0.04801,0.02011,0.00985,0.003156,0.0083,0.002586,0.009686,0.003483,one,one,junk
0.02661,0.007597,0.004986,0.001701,0.005056,0.00188,0.005006,0.001875,0.04767,0.02018,0.009823,0.003133,0.00832,0.002591,0.009645,0.00341,one,one,junk
0.02993,0.008301,0.005797,0.001849,0.005691,0.002134,0.005749,0.002003,0.048,0.02044,0.009569,0.00335,0.00889,0.002671,0.009601,0.003424,one,one,junk
0.02966,0.007864,0.005823,0.001888,0.005537,0.002015,0.00577,0.002047,0.0478,0.02039,0.01005,0.003376,0.008847,0.002676,0.00992,0.003488,one,one,junk
0.02853,0.007886,0.005309,0.001703,0.005409,0.001995,0.005246,0.001876,0.04813,0.02028,0.01003,0.003262,0.008928,0.002712,0.009854,0.003496,one,one,junk
0.02824,0.007768,0.005707,0.001808,0.005314,0.001999,0.005637,0.001953,0.04762,0.01996,0.01042,0.003262,0.008536,0.002604,0.009919,0.003572,one,one,junk
0.02817,0.007492,0.005301,0.001778,0.005464,0.001925,0.00534,0.001922,0.04828,0.02012,0.01042,0.003297,0.009013,0.00277,0.01026,0.003584,one,one,junk
0.02795,0.00769,0.005457,0.001738,0.005388,0.002,0.005412,0.001852,0.04833,0.02004,0.01029,0.003314,0.008795,0.002667,0.009943,0.003563,one,one,junk
0.02697,0.007375,0.005362,0.001793,0.005265,0.001878,0.00543,0.001927,0.04925,0.02029,0.01064,0.003396,0.009309,0.002811,0.01065,0.003657,one,one,junk
0.02875,0.007916,0.00533,0.001735,0.005519,0.002002,0.005352,0.001881,0.05038,0.02033,0.01053,0.003376,0.009334,0.002801,0.01034,0.003635,one,one,junk
0.02676,0.007684,0.005452,0.001742,0.005222,0.001904,0.005502,0.001866,0.05145,0.02045,0.01089,0.003495,0.009862,0.002891,0.011,0.003768,one,one,junk
0.02709,0.007585,0.005085,0.001697,0.005226,0.00184,0.00515,0.001842,0.05226,0.02055,0.01107,0.003463,0.009734,0.002911,0.011,0.003726,one,one,junk
0.02519,0.007534,0.004946,0.001576,0.004994,0.001826,0.005009,0.001696,0.05331,0.02056,0.01105,0.003579,0.0104,0.002984,0.01132,0.003808,one,one,junk
0.02522,0.007295,0.005027,0.001673,0.004921,0.001745,0.005148,0.001797,0.05326,0.02058,0.01135,0.003601,0.01007,0.002964,0.01137,0.003841,one,one,junk
0.02417,0.006963,0.004491,0.001413,0.004773,0.001637,0.004533,0.001518,0.05308,0.02052,0.0109,0.003524,0.01033,0.002999,0.01124,0.00375,one,one,junk
0.009215,0.004036,0.002258,5.877E-4,0.002055,6.5E-4,0.002302,6.008E-4,0.05062,0.02018,0.01004,0.003392,0.009349,0.002843,0.01037,0.003627,one,one,junk
