A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.008067,-2.111E-4,0.001034,3.408E-4,9.852E-4,3.555E-4,0.001161,3.918E-4,-0.001957,1.227E-4,-0.001076,-6.71E-5,-7.97E-4,-7.383E-5,-9.526E-4,-1.439E-4,junk,junk,junk
0.008176,-1.705E-4,0.0016,3.466E-4,0.001358,4.056E-4,0.001561,3.584E-4,3.921E-4,1.306E-4,7.159E-5,1.265E-5,2.353E-4,-7.564E-5,-6.766E-5,-1.108E-4,junk,junk,junk
0.008232,-3.096E-4,0.001331,3.705E-4,9.791E-4,3.732E-4,0.001362,4.453E-4,-0.001788,1.837E-4,-0.001154,-1.868E-5,-8.67E-4,-7.17E-5,-0.001118,-7.519E-5,junk,junk,junk
0.008674,-2.392E-4,0.001399,3.738E-4,0.001323,4.171E-4,0.001359,3.656E-4,7.635E-5,9.678E-5,-1.272E-4,-7.392E-5,3.535E-5,-7.655E-5,-2.193E-4,-1.219E-4,junk,junk,junk
0.008718,-1.868E-4,0.001793,4.278E-4,0.001324,4.567E-4,0.001738,4.513E-4,1.116E-4,1.424E-4,-1.899E-4,5.112E-5,3.313E-5,-4.141E-5,-2.96E-4,-5.718E-5,junk,junk,junk
0.01169,-3.148E-4,0.001908,5.825E-4,0.001698,6.215E-4,0.001885,6.202E-4,-0.001117,2.348E-4,-5.47E-4,1.038E-5,-2.518E-4,-6.736E-5,-6.401E-4,-9.551E-5,junk,junk,junk
0.01353,-2.579E-4,0.002822,6.219E-4,0.002304,7.668E-4,0.002545,6.924E-4,6.372E-4,3.1E-4,4.147E-4,1.302E-4,5.989E-4,8.021E-6,8.004E-5,-4.289E-5,junk,junk,junk
0.01472,-3.615E-4,0.00274,7.59E-4,0.002126,8.363E-4,0.002557,8.815E-4,-0.001711,3.726E-4,-5.248E-4,8.724E-5,-3.003E-4,-1.177E-5,-8.355E-4,-3.442E-5,junk,junk,junk
0.0178,-4.093E-4,0.003532,8.296E-4,0.003015,0.00104,0.003134,9.258E-4,2.758E-4,3.943E-4,2.902E-4,2.147E-4,6.119E-4,3.685E-5,-1.731E-4,-1.191E-6,junk,junk,junk
0.01667,-4.242E-4,0.003374,8.345E-4,0.002452,9.858E-4,0.00296,9.817E-4,-0.002038,3.907E-4,-7.019E-4,1.513E-4,-3.577E-4,-1.551E-5,-0.001037,-5.375E-6,junk,junk,junk
0.01665,-4.631E-4,0.003246,8.053E-4,0.002769,8.946E-4,0.002851,8.904E-4,6.53E-5,3.437E-4,1.731E-4,1.724E-4,3.69E-4,9.238E-6,-2.272E-4,-1.913E-5,junk,junk,junk
