A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,feedback1,feedback2,condition
0.001463,-4.297E-4,0.001139,-3.277E-4,0.001173,-1.869E-4,0.001274,-1.681E-4,0.001627,0.003144,3.947E-5,-7.276E-4,0.00135,-1.839E-4,9.588E-4,-1.324E-4,lessthanfifty,junk,junk,junk
0.002741,-4.711E-4,0.001292,-2.479E-4,0.001609,-1.836E-4,0.001589,-6.205E-5,0.001626,0.003297,-5.741E-5,-6.771E-4,0.00126,-7.507E-5,9.752E-4,-5.654E-5,lessthanfifty,junk,junk,junk
0.004011,-3.356E-4,0.001663,-2.676E-4,0.001841,-8.319E-5,0.001831,-6.207E-5,0.001708,0.003038,-2.587E-4,-9.917E-4,7.806E-4,-4.746E-4,5.098E-4,-5.468E-4,lessthanfifty,junk,junk,junk
0.00992,-6.94E-5,0.003709,7.9E-5,0.003186,2.562E-4,0.003304,4.232E-4,-4.16E-4,0.002496,-2.06E-4,-0.001671,3.102E-4,-0.001437,1.293E-4,-0.001481,lessthanfifty,junk,junk,junk
0.01996,1.458E-4,0.006902,4.636E-4,0.005852,8.01E-4,0.006093,8.624E-4,0.001977,0.002922,-5.631E-5,-9.055E-4,0.001129,-3.355E-4,8.446E-4,-3.605E-4,lessthanfifty,junk,junk,junk
0.02591,1.501E-4,0.009157,5.777E-4,0.006982,0.001002,0.007151,0.001086,0.00329,0.003226,1.453E-4,-4.943E-4,0.001627,1.369E-4,0.001236,2.065E-4,lessthanfifty,junk,junk,junk
0.00908,-5.675E-4,0.003214,-1.278E-4,0.003045,-1.106E-4,0.003098,-5.155E-5,0.003833,0.003489,1.448E-4,-3.222E-4,0.001706,3.528E-4,0.00133,4.276E-4,lessthanfifty,junk,junk,junk
-0.01422,-0.001176,-0.003757,-0.001153,-0.002468,-0.001313,-0.002794,-0.001342,0.004213,0.003566,2.663E-4,-3.151E-4,0.001936,3.717E-4,0.001411,4.326E-4,lessthanfifty,junk,junk,junk
-0.0372,-0.004897,-0.009963,-0.002822,-0.009368,-0.002516,-0.007214,-0.003611,0.004704,0.003413,1.537E-4,-2.785E-4,0.001666,3.487E-4,0.00132,4.762E-4,lessthanfifty,junk,junk,junk
-0.06254,-0.004137,-0.01543,-0.003245,-0.01154,-0.003979,-0.01314,-0.003544,0.006668,0.003226,3.236E-4,-2.524E-4,0.001998,4.305E-4,0.001527,4.734E-4,lessthanfifty,junk,junk,junk
-0.04484,-0.004159,-0.01107,-0.00279,-0.009294,-0.002727,-0.009066,-0.003068,0.006276,0.003471,1.614E-4,-1.248E-4,0.001778,5.384E-4,0.001421,6.433E-4,lessthanfifty,junk,junk,junk
-0.04061,-0.001704,-0.008399,-0.002359,-0.007552,-0.002152,-0.008044,-0.002056,0.005495,0.003595,1.21E-4,-3.151E-4,0.00167,3.429E-4,0.001404,3.826E-4,lessthanfifty,junk,junk,junk
-0.0285,-0.004655,-0.00889,-0.001759,-0.006821,-0.002013,-0.00631,-0.002677,0.005407,0.003494,1.028E-4,-3.297E-4,0.001511,3.234E-4,0.001233,3.233E-4,lessthanfifty,junk,junk,junk
-0.03285,-0.006032,-0.006615,-0.002468,-0.006041,-0.002171,-0.006435,-0.002337,0.00542,0.003635,9.179E-5,-3.456E-4,0.001523,2.525E-4,0.001285,3.322E-4,lessthanfifty,junk,junk,junk
-0.05629,-0.009419,-0.01382,-0.003197,-0.01001,-0.003831,-0.01232,-0.00346,0.005482,0.00356,-2.364E-6,-4.322E-4,0.001292,1.9E-4,0.001136,1.425E-4,lessthanfifty,junk,junk,junk
-0.05011,-0.007508,-0.01099,-0.003124,-0.009086,-0.003139,-0.01007,-0.003194,0.004686,0.003477,-1.935E-5,-5.777E-4,0.001268,-6.218E-5,0.001075,-4.158E-5,lessthanfifty,junk,junk,junk
-0.06059,-0.008287,-0.01449,-0.003598,-0.01201,-0.003837,-0.01271,-0.004031,0.004038,0.003554,-1.662E-6,-6.671E-4,0.001112,-1.627E-4,9.656E-4,-1.599E-4,lessthanfifty,junk,junk,junk
-0.05803,-0.007747,-0.01376,-0.003437,-0.01103,-0.00348,-0.01166,-0.003693,0.003427,0.003546,-7.18E-5,-7.996E-4,0.00102,-3.288E-4,8.135E-4,-3.957E-4,lessthanfifty,junk,junk,junk
-0.05208,-0.007207,-0.01213,-0.003024,-0.00981,-0.003162,-0.01041,-0.003285,0.002647,0.003518,-3.25E-5,-8.932E-4,8.818E-4,-5.157E-4,6.991E-4,-5.228E-4,lessthanfifty,junk,junk,junk
-0.04952,-0.007181,-0.01181,-0.003029,-0.009235,-0.00307,-0.009896,-0.003243,0.003262,0.00334,-1.863E-4,-9.177E-4,8.319E-4,-4.732E-4,6.5E-4,-5.556E-4,lessthanfifty,junk,junk,junk
-0.05517,-0.007044,-0.01274,-0.003157,-0.01004,-0.003298,-0.01098,-0.003344,0.003955,0.003589,-1.369E-4,-6.557E-4,0.001095,-1.855E-4,8.29E-4,-1.797E-4,lessthanfifty,junk,junk,junk
-0.04621,-0.006397,-0.01088,-0.002543,-0.007828,-0.002895,-0.009183,-0.002648,0.003376,0.004183,-9.447E-5,-4.411E-4,0.001096,6.32E-5,9.068E-4,6.901E-5,lessthanfifty,junk,junk,junk
-0.05021,-0.00648,-0.01149,-0.003026,-0.00881,-0.003192,-0.00988,-0.003426,0.003644,0.00441,1.275E-4,-3.685E-4,0.001269,1.121E-4,9.786E-4,6.451E-5,lessthanfifty,junk,junk,junk
-0.05857,-0.00907,-0.01351,-0.003615,-0.01106,-0.003662,-0.01122,-0.00417,0.003384,0.004791,3.291E-4,-1.871E-4,0.0012,1.285E-4,9.065E-4,1.854E-4,lessthanfifty,junk,junk,junk
-0.09687,-0.01394,-0.02344,-0.005626,-0.0183,-0.006416,-0.01987,-0.006553,0.003034,0.004912,3.073E-4,-2.61E-4,0.001145,1.263E-4,8.82E-4,7.702E-5,lessthanfifty,junk,junk,junk
