A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
-0.006324,-0.002881,7.571E-4,-0.001903,1.982E-4,-0.001384,-4.641E-4,-6.635E-4,-2.987E-4,0.00118,2.32E-4,-2.412E-4,1.142E-4,-2.54E-4,5.754E-5,-1.647E-4,two,one,junk
-0.005659,-0.002833,0.001218,-0.001887,0.001049,-0.001413,1.089E-4,-6.541E-4,5.303E-4,0.00126,4.565E-4,-1.434E-4,3.695E-4,-1.313E-4,3.176E-4,-1.312E-4,two,one,junk
-0.00559,-0.00304,8.927E-4,-0.001905,2.868E-4,-0.001407,-4.97E-4,-6.992E-4,0.00101,0.001362,4.971E-4,-8.03E-5,3.949E-4,-5.904E-5,2.82E-4,-5.554E-5,two,one,junk
-0.006217,-0.002983,8.166E-4,-0.001929,1.678E-4,-0.001414,-5.857E-4,-6.582E-4,0.001027,0.001378,4.867E-4,2.859E-5,3.45E-4,1.956E-5,3.454E-4,-1.883E-5,two,one,junk
-0.005547,-0.003002,0.001043,-0.001945,5.514E-4,-0.001416,-1.846E-4,-7.228E-4,0.001479,0.001378,6.659E-4,9.533E-5,6.329E-4,5.992E-5,5.304E-4,3.41E-5,two,one,junk
-0.006766,-0.002926,5.695E-4,-0.001993,-2.875E-4,-0.001438,-9.612E-4,-7.0E-4,0.001278,0.00144,6.079E-4,1.403E-4,5.502E-4,1.053E-4,4.573E-4,6.338E-5,two,one,junk
-0.005843,-0.003041,8.102E-4,-0.001932,5.29E-4,-0.001423,-1.423E-4,-7.28E-4,3.782E-4,1.336E-4,0.001403,-0.001655,-0.00134,-0.00153,-0.001406,-0.001344,two,one,junk
-0.00594,-0.002878,8.092E-4,-0.001973,3.496E-4,-0.001446,-4.126E-4,-7.156E-4,6.102E-4,-7.917E-4,0.002238,-0.003245,-0.002386,-0.003013,-0.002589,-0.002804,two,one,junk
-0.006703,-0.002952,2.774E-4,-0.001945,-3.148E-4,-0.001431,-9.109E-4,-7.323E-4,6.842E-4,-5.727E-4,0.001971,-0.003094,-0.002225,-0.002832,-0.002135,-0.002418,two,one,junk
-0.005894,-0.002944,9.471E-4,-0.001992,6.229E-4,-0.001424,-1.738E-4,-7.089E-4,0.001121,-6.53E-4,0.001881,-0.002964,-0.002189,-0.002697,-0.002091,-0.00228,two,one,junk
-0.005926,-0.002857,6.2E-4,-0.001927,1.249E-4,-0.001386,-5.844E-4,-6.99E-4,3.28E-4,-7.11E-4,0.002058,-0.003043,-0.002015,-0.002763,-0.001993,-0.002395,two,one,junk
-0.005956,-0.002834,6.23E-4,-0.001918,2.721E-4,-0.001372,-4.006E-4,-6.702E-4,-4.039E-4,-6.754E-4,0.001916,-0.002867,-0.001898,-0.002607,-0.001908,-0.002202,two,one,junk
-0.005567,-0.002885,7.109E-4,-0.001909,4.495E-4,-0.001369,-1.54E-4,-6.997E-4,-8.834E-4,-8.203E-4,0.001957,-0.002812,-0.001791,-0.002573,-0.001913,-0.002222,two,one,junk
-0.006506,-0.002929,4.257E-4,-0.001943,-1.907E-4,-0.001379,-7.605E-4,-6.721E-4,-1.899E-4,-7.347E-4,0.001944,-0.002698,-0.001613,-0.002495,-0.001715,-0.002108,two,one,junk
-0.003756,-0.002334,-2.066E-4,-0.001708,-3.649E-4,-0.001225,-6.169E-4,-7.794E-4,-2.232E-4,0.00294,-9.144E-5,8.569E-4,-2.816E-4,5.86E-4,-2.573E-4,7.221E-4,two,one,junk
-0.003859,-0.00233,-5.435E-4,-0.001681,-5.758E-4,-0.00127,-6.413E-4,-8.697E-4,-4.33E-6,0.002878,-1.91E-5,8.548E-4,-2.833E-4,5.667E-4,-2.653E-4,7.069E-4,two,one,junk
-0.004186,-0.002229,-5.169E-4,-0.001711,-3.197E-4,-0.001285,-5.205E-4,-8.957E-4,5.872E-4,0.002821,-8.638E-6,9.368E-4,-1.57E-4,6.195E-4,-1.079E-4,7.351E-4,two,one,junk
-0.005185,-0.00231,-0.001662,-0.001747,-0.001664,-0.001365,-0.001619,-9.973E-4,9.54E-4,0.002733,-6.427E-5,9.614E-4,-2.129E-4,6.171E-4,-2.885E-4,7.686E-4,two,one,junk
-0.004732,-0.002428,-0.001116,-0.001787,-8.98E-4,-0.001421,-0.001199,-0.001007,1.631E-4,0.002993,4.694E-5,0.001003,-4.776E-5,7.008E-4,-4.402E-5,7.94E-4,two,one,junk
-0.004986,-0.002406,-0.001525,-0.001799,-0.001384,-0.0014,-0.001539,-9.799E-4,3.198E-4,0.002864,-8.54E-5,0.00108,-4.509E-5,7.654E-4,-8.393E-5,8.478E-4,two,one,junk
-0.00321,-0.002234,-0.001076,-0.001735,-0.001,-0.001374,-0.001487,-8.738E-4,6.552E-4,0.00313,9.991E-5,0.001186,1.491E-4,8.618E-4,-4.283E-5,9.518E-4,two,one,junk
7.232E-4,-0.001941,8.036E-4,-0.001511,3.774E-4,-0.001077,-2.355E-4,-7.01E-4,0.001448,0.002928,2.349E-4,0.001192,3.224E-4,8.481E-4,1.766E-4,9.141E-4,two,one,junk
6.391E-4,-0.002221,8.329E-4,-0.001441,-5.915E-4,-9.631E-4,-8.341E-4,-5.058E-4,0.00196,0.00263,9.259E-5,0.001149,1.457E-4,8.147E-4,3.102E-5,9.04E-4,two,one,junk
0.001672,-0.00233,0.001908,-0.001372,8.417E-4,-8.743E-4,2.565E-4,-5.075E-4,0.002401,0.002475,2.356E-5,0.001145,5.59E-5,7.7E-4,-6.623E-5,8.866E-4,two,one,junk
0.001792,-0.002246,0.001735,-0.001346,9.183E-4,-8.014E-4,3.573E-4,-4.446E-4,0.001893,0.002439,6.671E-5,0.001096,2.895E-5,7.11E-4,7.845E-5,8.263E-4,two,one,junk
0.003099,-0.002251,0.002258,-0.001393,0.002097,-7.121E-4,0.001025,-4.7E-4,0.001743,0.002337,-9.582E-5,0.001087,-1.831E-4,6.988E-4,-9.832E-5,8.161E-4,two,one,junk
0.001746,-0.002206,0.002029,-0.001382,0.002799,-6.506E-4,0.00149,-5.676E-4,0.001872,0.002223,-2.679E-5,0.001019,-1.05E-4,6.331E-4,-2.576E-5,7.452E-4,two,one,junk
