A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,accuracy,feedback1,feedback2
3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,junk,hundred,one,one
7.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,junk,hundred,one,one
0.02714,0.006281,0.004911,0.001412,0.004869,0.001772,0.004987,0.001645,0.03804,0.01545,0.01046,0.002475,0.007123,0.001664,0.009216,0.003196,junk,hundred,one,one
3.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,junk,hundred,one,one
8.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,junk,hundred,one,one
0.02565,0.005923,0.004975,0.00145,0.00463,0.001671,0.005087,0.001685,0.03738,0.01542,0.01061,0.002415,0.007145,0.001644,0.009485,0.003187,junk,hundred,one,one
4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,junk,hundred,one,one
7.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,junk,hundred,one,one
5.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,junk,hundred,one,one
2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,junk,hundred,one,one
0.02684,0.006028,0.004757,0.001403,0.004866,0.00169,0.004866,0.001664,0.03782,0.01555,0.01047,0.002436,0.007393,0.001734,0.009503,0.00319,junk,hundred,one,one
2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,junk,hundred,one,one
2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,junk,hundred,one,one
5.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,junk,hundred,one,one
0.02603,0.006193,0.004939,0.001395,0.004628,0.001746,0.004989,0.001632,0.03702,0.01543,0.01022,0.002408,0.0067,0.001579,0.008851,0.003149,junk,hundred,one,one
8.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,junk,hundred,one,one
8.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,junk,hundred,one,one
6.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,junk,hundred,one,one
0.02569,0.005768,0.004844,0.001427,0.004676,0.001622,0.004979,0.001671,0.03665,0.01552,0.01039,0.0024,0.007177,0.00171,0.009459,0.003166,junk,hundred,one,one
3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,junk,hundred,one,one
1.0,5.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,junk,hundred,one,one
1.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,junk,hundred,one,one
0.02654,0.006108,0.004706,0.00136,0.00475,0.001726,0.004809,0.00161,0.03672,0.01559,0.01013,0.002413,0.006912,0.001688,0.00899,0.003132,junk,hundred,one,one
7.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,junk,hundred,one,one
5.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,junk,hundred,one,one
5.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,junk,hundred,one,one
3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,junk,hundred,one,one
0.02494,0.005858,0.004888,0.001377,0.004492,0.001655,0.004973,0.001612,0.03587,0.01549,0.01015,0.002396,0.006826,0.001622,0.009058,0.003146,junk,hundred,one,one
9.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,junk,hundred,one,one
1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,junk,hundred,one,one
0.02609,0.005842,0.004691,0.001412,0.004688,0.001656,0.004847,0.00167,0.03601,0.01561,0.0101,0.002375,0.006876,0.001716,0.009128,0.003131,junk,hundred,one,one
9.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,junk,hundred,one,one
10.0,5.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,junk,hundred,one,one
8.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,junk,hundred,one,one
0.02604,0.006024,0.004791,0.001327,0.004594,0.001724,0.004819,0.001581,0.03555,0.01556,0.00981,0.002344,0.006324,0.001586,0.008467,0.003098,junk,hundred,one,one
1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,junk,hundred,one,one
4.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,junk,hundred,one,one
