Uk1,YAxis,Uk2,PRbpm,SpO2,Time
147,126,15,62,97,2014-06-27 16:10:43.432914
147,127,15,62,97,2014-06-27 16:10:43.434789
147,127,15,62,97,2014-06-27 16:10:43.443843
147,127,15,62,97,2014-06-27 16:10:43.460750
147,127,15,62,97,2014-06-27 16:10:43.477593
147,127,15,62,97,2014-06-27 16:10:43.494044
147,127,15,62,97,2014-06-27 16:10:43.510917
147,127,15,62,97,2014-06-27 16:10:43.527572
147,127,15,62,97,2014-06-27 16:10:43.544278
147,127,15,62,97,2014-06-27 16:10:43.560954
147,127,15,62,97,2014-06-27 16:10:43.577591
147,127,15,62,97,2014-06-27 16:10:43.594352
147,127,15,62,97,2014-06-27 16:10:43.611127
147,127,15,62,97,2014-06-27 16:10:43.627819
147,127,15,62,97,2014-06-27 16:10:43.644490
147,127,15,62,97,2014-06-27 16:10:43.661395
147,127,15,62,97,2014-06-27 16:10:43.677922
147,127,15,62,97,2014-06-27 16:10:43.694777
147,127,15,62,97,2014-06-27 16:10:43.711412
147,127,15,62,97,2014-06-27 16:10:43.728180
147,127,15,62,97,2014-06-27 16:10:43.744909
147,4,0,62,97,2014-06-27 16:10:43.761454
147,20,2,62,97,2014-06-27 16:10:43.778143
147,31,3,62,97,2014-06-27 16:10:43.794880
147,33,4,62,97,2014-06-27 16:10:43.811596
147,25,3,62,97,2014-06-27 16:10:43.828104
147,10,1,62,97,2014-06-27 16:10:43.844795
212,127,15,62,97,2014-06-27 16:10:43.861518
212,127,15,62,97,2014-06-27 16:10:43.878415
148,121,15,62,97,2014-06-27 16:10:43.894968
148,110,13,62,97,2014-06-27 16:10:43.911666
148,99,12,62,97,2014-06-27 16:10:43.928271
148,90,11,62,97,2014-06-27 16:10:43.945129
148,80,10,62,97,2014-06-27 16:10:43.961746
148,73,9,62,97,2014-06-27 16:10:43.978661
148,67,8,62,97,2014-06-27 16:10:43.995030
148,61,7,62,97,2014-06-27 16:10:44.011948
148,56,7,62,97,2014-06-27 16:10:44.028570
148,51,6,62,97,2014-06-27 16:10:44.045341
148,47,5,62,97,2014-06-27 16:10:44.061984
148,43,5,62,97,2014-06-27 16:10:44.078772
148,40,5,62,97,2014-06-27 16:10:44.095353
148,37,4,62,97,2014-06-27 16:10:44.112251
148,33,4,62,97,2014-06-27 16:10:44.128872
148,30,3,62,97,2014-06-27 16:10:44.145663
148,28,3,62,97,2014-06-27 16:10:44.162309
148,26,3,62,97,2014-06-27 16:10:44.178968
